SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|SOURCE|REVIEWERS|CONFIDENCE
MEDIUM|internal/reconcile/emit.go:332|writeFindingsList renders the "(did you mean ...)" path-warning line with reconcile's esc() (emit.go:411), which HTML-escapes but does NOT escape backticks — unlike report's esc() (render.go:388) which does. A reviewer-cited File (or a git-tracked PathSuggestion) containing a backtick passes the raw backtick into report.md, opening a markdown inline code span around injected text. HTML is neutralized but markdown structure is not; the main bullet is safe because it uses codeSpan(), but this warning line uses esc() directly.|Make reconcile's esc() escape backticks identically to report's esc() (append strings.ReplaceAll(s, backtick, "&#96;")), or route the warning-line File/suggestion through codeSpan(). Add a reconcile test feeding a backtick-bearing File AND PathSuggestion through RenderMarkdown asserting no raw backtick survives.|maintainability|60|code-review|claude|MEDIUM
LOW|internal/reconcile/emit_test.go:175|No test exercises markup injection through PathSuggestion or through File on the warning line specifically. TestRenderMarkdown_BacktickFilePathRendersInert covers only the main codeSpan bullet, and the ShowsPathSuggestion tests use clean suggestions — so the backtick defense does not transfer to the warning line and no test would catch the drift regression.|Add a reconcile-side test feeding backtick/HTML-bearing File AND PathSuggestion through RenderMarkdown asserting no raw backtick survives; add the symmetric assertion on the report side (report/validate_test.go only tests clean suggestions).|testing|30|code-review|claude|MEDIUM
LOW|internal/reconcile/validate.go:21|validateFindingPaths returns early on empty root, but when root is set and there are zero findings it still shells out to git ls-files to build an index that is never consulted — an avoidable process spawn on empty reviews.|Add if len(findings) == 0 { return } before BuildFileIndex. Micro-optimization, not a correctness issue.|performance|5|code-review|claude|MEDIUM
LOW|internal/stream/fileindex.go:37|BuildFileIndex collapses every git failure (not-a-repo, git binary missing, corrupt repo, timeout/kill) into return nil with the error discarded entirely. The whole path-hardening feature can be silently disabled in CI with no log or metric signal, making a silent feature-off indistinguishable from the legitimate non-repo case.|Keep the nil-return contract but log the underlying error at debug/warn level before returning nil. Verify by injecting a bogus PATH and asserting the log fires while the index is still nil.|ops|15|code-review|claude|MEDIUM
MEDIUM|internal/stream/fileindex.go:50|exec.Command error swallowed silently|Remove TrimSpace as git ls-files -z output is strictly NUL-delimited and requires no whitespace trimming|correctness|15|code-review|bruce|MEDIUM
LOW|internal/stream/fileindex.go:50|Potential for trailing NUL character in path|Remove TrimSpace as git ls-files -z output is strictly NUL-delimited and requires no whitespace trimming|correctness|15|code-review|otto|MEDIUM
LOW|internal/stream/fileindex.go:50|strings.TrimSpace may inadvertently strip valid leading/trailing spaces from git-tracked filenames|Remove TrimSpace as git ls-files -z output is strictly NUL-delimited and requires no whitespace trimming|correctness|15|code-review|greta|MEDIUM
LOW|internal/stream/fileindex.go:60|The index doc claims keys are platform-independent because cited paths are normalized via filepath.ToSlash, but ToSlash is a no-op on non-Windows builds (atcr runs on macOS/Linux). A reviewer or Windows-trained LLM citing backslash paths (internal\auth\validate.go) is therefore NOT normalized — Has() and MissingSuggestion() silently return no match and no suggestion.|Replace filepath.ToSlash with an explicit strings.ReplaceAll(p, backslash, "/") (plus ToSlash) in indexFromPaths and the lookup methods so backslashes normalize regardless of build OS. Add a test asserting Has/MissingSuggestion succeed for a backslash-cited path.|error-handling|30|code-review|claude|MEDIUM
LOW|internal/stream/fileindex.go:60|indexFromPaths does not deduplicate NUL-split empty strings|Replace filepath.ToSlash with an explicit strings.ReplaceAll(p, backslash, "/") (plus ToSlash) in indexFromPaths and the lookup methods so backslashes normalize regardless of build OS. Add a test asserting Has/MissingSuggestion succeed for a backslash-cited path.|error-handling|30|code-review|bruce|MEDIUM
LOW|internal/stream/fileindex.go:113|Case folding uses strings.ToLower, which the doc calls "Unicode-simple case folding." strings.ToLower is not proper Unicode case folding (no title-case / Turkish dotless-i / German ss / final-sigma handling). Harmless for ASCII Go source paths but the documented contract overstates the guarantee.|Downgrade the comment to "ASCII-lowercase, not full Unicode case folding," or switch to golang.org/x/text/cases.Fold. Lowest-effort correct fix is the comment.|docs|5|code-review|claude|MEDIUM
LOW|internal/stream/suggest.go:93|tier1's multi-candidate branch can suggest a sibling for a cited path that is itself a tracked file but absent on disk (git-tracked yet missing from the working tree). When such a path reaches MissingSuggestion via the existsOutsideOrAbsent branch (validate.go:90-95) and a same-basename sibling is tracked, the loop skips self (c == rel) but returns the sibling as a "correction" — the single-candidate branch guards self (line 88) but the multi-candidate branch does not guard against correcting a path that is itself tracked.|After the scoring loop, if rel itself is in candidates (the cited path is tracked), return "" — a tracked path is never a hallucination to correct regardless of on-disk state. Add a test: indexFromPaths({"a/validate.go","b/validate.go"}); assert MissingSuggestion("a/validate.go") == "".|correctness|30|code-review|claude|MEDIUM
LOW|internal/stream/suggest.go:120|tier2 computes Levenshtein (O(n*m) with two []rune + two int-row allocations) plus splitStem for every basename in the cited directory, with no length-difference early-out and no memoization across findings citing the same dir. Bounded (one dir, Tier-1 misses only) so not critical, but allocates per comparison.|Add a cheap early-out: skip candidates whose stem length differs from the cited stem by more than floor((1-threshold)*maxlen) before computing Levenshtein (length diff is a lower bound on edit distance). Confirm suggest tests still pass; add a benchmark over a large synthetic dir.|performance|30|code-review|claude|MEDIUM
LOW|internal/stream/suggest.go:148|segOverlap uses set intersection; O(n*m) for large repos|Use a map for one side and iterate the other; negligible for typical repos|performance|10|code-review|bruce|MEDIUM
HIGH|internal/stream/suggest.go:156|prefixDerivation incorrectly flags validator/validate as derivation|Check for specific derivation suffixes instead of HasPrefix|correctness|10|code-review|bruce|MEDIUM
LOW|internal/stream/validate.go:68|The lexical and containment escape checks compare against ".."+filepath.Separator. Correct on the macOS/Linux runtime (filepath.Join/Rel emit OS separators), but brittle: if a future caller passes slash-form paths into filepath.Rel on Windows, the prefix check would mismatch and a ../foo escape could pass the guard. Latent cross-platform fragility, not a live break.|Normalize both sides with filepath.ToSlash and compare against "../", or assert the platform. Add a table test using both separator forms.|security|15|code-review|claude|MEDIUM
LOW|internal/stream/validate.go:86|EvalSymlinks errors on root are silently swallowed|Warn or fall back to lexical containment only when root cannot be resolved|error-handling|10|code-review|bruce|MEDIUM
