# Merged TD Stream from direct review
# SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|EVIDENCE|REVIEWER

HIGH|internal/debate/cluster.go:46|filterMergedClusters returns items unchanged only when len(mergedIDs)==0; if legacy pre-6.2 merged records exist (ClusterMerged=true, ClusterID=""), filter still does a full pass instead of fast-pathing out, wasting work proportional to gray-zone count on every legacy-data re-run.|Fast-path also when no finding carries a non-empty ClusterID (i.e. mergedIDs is empty), and additionally short-circuit gray-zone scan when no item has a gray-zone cluster whose ID could match — though the current `len(mergedIDs)==0` check is the primary gate. Verify gate still triggers on legacy-only data.|performance|5|legacy ClusterMerged records with empty ClusterID do not enter mergedIDs but the only early return is len(mergedIDs)==0 which is already true on legacy data, so this is fine; flagging absence of an additional safety check.|bruce
MEDIUM|internal/debate/cluster.go:43|filterMergedClusters now takes clusterIdx but no nil check; a nil/empty map is safe for reads (returns zero value, ok=false), but a caller passing nil by mistake silently treats every gray-zone item as not-suppressed, defeating idempotency on every re-run until noticed.|Document the nil-safe contract explicitly in the comment, or add `require clusterIdx != nil` style precondition; alternatively, the existing `len(mergedIDs)==0` guard already prevents reaching the lookup when no merged records exist, so the risk is limited to mixed-data re-runs.|correctness|5|empty clusterIdx → ok=false → item kept → re-debated → potentially re-merged (overwriting the prior survivor if no downstream guard exists); comment claims self-heal via applyOneClusterMerge's already-merged guard, but that guard is not visible in this diff and is out-of-scope to verify.|bruce
LOW|internal/debate/cluster.go:212|applyOneClusterMerge stamps merged.ClusterID from c.ID, but c.ID is not validated to be non-empty; if AmbiguousCluster.ID is ever empty for a gray-zone cluster, the survivor is stamped with "" and filterMergedClusters will never match it, causing that cluster to be re-debated forever.|Assert/require c.ID != "" at the top of applyOneClusterMerge (gray-zone clusters should always carry a stable ID by construction) and document the invariant; or warn-and-skip with a metric if observed in practice.|correctness|5|merged.ClusterID = c.ID with c.ID possibly ""; downstream filter requires non-empty ID so the survivor is permanently invisible to idempotency.|bruce
LOW|internal/reconcile/emit.go:110|ClusterID field comment claims "it is never set by any reconcile-time path" but this is a property enforced only by convention; a future reconcile-time producer that sets ClusterID directly would silently bypass filterMergedClusters' identity match (unless ID happens to equal an AmbiguousCluster.ID).|Either enforce via a package-private setter, or loosen the doc claim ("intended only for debate inline-merge stamping; reconcile-time producers must leave it empty").|maintainability|5|ClusterID is an exported field with no constructor guard; doc states an invariant the type system does not enforce.|bruce
LOW|internal/debate/cluster_test.go:471|TestFilterMergedClusters_LegacyEmptyClusterIDDoesNotSuppress asserts that an empty-ClusterID merged record suppresses nothing, but the test only covers the single-cluster case; it does not verify the multi-cluster mixed-data scenario (one legacy record + one new ID-stamped record) where the legacy record must still suppress nothing while the new record suppresses its own cluster.|Add a sub-case with two clusters and a findings slice containing one legacy (no ClusterID) and one new (ClusterID set) merged survivor; assert only the new-ID cluster's item is suppressed.|correctness|10|legacy-only path tested; legacy+new mixed-data path untested, which is the realistic re-run scenario during rollout.|bruce
LOW|internal/debate/debate.go:123|runDebate now passes clusterIdx into filterMergedClusters, but grayClusters is empty when there are no gray-zone members; indexClusters still allocates an empty map. This is a no-op cost but worth noting since the call sits on every reconcile path.|Inline a guard `if len(grayClusters)==0 { df.Items = filterMergedClusters(df.Items, findings, nil) }` or have filterMergedClusters accept nil and document it; current cost is negligible (empty map alloc) so this is purely a clarity note.|performance|3|indexClusters([]) returns non-nil empty map; harmless but the pre-diff code did not depend on this allocation at all.|bruce
HIGH|internal/debate/cluster.go:55|Missing null check for clusterIdx lookup|Add check for nil cluster before accessing c.ID|error-handling|10|clusterIdx[FindingKey{...}] may return nil c|bruce
HIGH|internal/debate/cluster.go:55|Inefficient repeated clusterIdx lookup|Store cluster lookup result to avoid double map access|performance|5|clusterIdx[FindingKey{...}] called twice in condition|bruce
HIGH|internal/debate/cluster.go:55|Incorrect suppression logic|Should check mergedIDs[c.ID] only when c is not nil|correctness|8|Potential nil pointer dereference on c.ID|bruce
HIGH|internal/debate/cluster.go:55|Unnecessary computation|Compute clusterIdx key once per item|performance|3|FindingKey{File: it.File, Line: it.Line, Problem: it.Problem} computed twice|bruce
