LOW|cmd/atcr/review.go:94|Ignores error from cmd.Flags().GetString|Handle error or assert flag existence|maintainability|2|code-review|CodeReviewer|MEDIUM
HIGH|internal/fanout/resume.go:287|Resume path silently drops the sprint-plan SCOPE CONSTRAINT. PrepareResume calls buildSlots(cfg, payloads, req.Range, "", "") with an empty scopeConstraint, and cmd/atcr/resume.go:102-113 never sets req.SprintPlanPath. So when a --sprint-plan-scoped review is interrupted and resumed, the already-completed agents reviewed WITH the constraint while the resumed pending agents review diff-wide. This violates the documented resume contract at resume.go:265-267 ("pending agents see exactly what the completed agents reviewed") and yields an inconsistent panel where scope differs across agents in the same review. (disagreement: MEDIUM vs HIGH)|Thread SprintPlanPath into the resume ReviewRequest in cmd/atcr/resume.go (read it from the manifest if it should be locked like range/roster, or re-accept the flag), call resolveScopeConstraint(req) inside PrepareResume, and pass the resulting block to buildSlots instead of "". Add a test that interrupts a scoped review and asserts the resumed agent's rendered prompt still contains the SCOPE CONSTRAINT block.|correctness|60|code-review|claude,bruce,mira|HIGH
LOW|internal/fanout/review.go:236|Potential stderr noise in loop|Move stderr warning outside of PrepareReview/PrepareReviewFromDiff if called in a loop|maintainability|10|code-review|otto|MEDIUM
MEDIUM|internal/fanout/review.go:240|Redundant scope resolution call|Call resolveScopeConstraint once in PrepareReviewFromDiff|correctness|10|code-review|bruce|MEDIUM
MEDIUM|internal/fanout/review.go:244|Scope warnings are written to the global os.Stderr (fmt.Fprintln(os.Stderr, ...) at review.go:244 and :435), contradicting resolveScopeConstraint's own doc (review.go:688-689) which says it returns the warning "so the two prepare entry points can route it to their own stderr." This hardcodes the global stderr, making the warning untestable without intercepting process stderr and bypassing the contextual logger used by the sibling diff-truncation warning (log.FromContext(ctx) at review.go:414). Wrong routing for non-CLI/MCP/background callers.|Route the scope warning through log.FromContext(ctx).Warn(...) like the diff-truncation warning, or thread a writer into the prepare functions so tests can capture it. Verify a test captures the warning without intercepting process stderr.|maintainability|30|code-review|claude|MEDIUM
MEDIUM|internal/fanout/review.go:833|AC6's literal guarantee ("cannot inflate agent prompts past payload_byte_budget") holds only for the default 512 KiB budget. buildAgent sets Payload: scopeConstraint + mp.Text, where mp.Text was already capped to cfg.Settings.PayloadByteBudget; the constraint (up to 16 KiB plan + ~600 B wrapper) is then prepended uncounted. MaxSprintPlanBytes is a hardcoded 16384 with no relation to the configured budget, so with a small --byte-budget (e.g. 4096) the constraint alone is ~4x the entire budget and the rendered prompt provably exceeds it. (disagreement: LOW vs MEDIUM)|Either scale the plan cap relative to the configured budget (e.g. min(MaxSprintPlanBytes, budget/8)), or fold the constraint bytes into ApplyByteBudget accounting so the total prompt is actually bounded. Add a test with a small --byte-budget asserting the rendered prompt stays within budget.|correctness|60|code-review|claude|MEDIUM
MEDIUM|internal/fanout/review.go:967|Provenance gap: writePayloadArtifacts writes only mp.Text to payload/<mode>.txt, with a comment claiming the artifact reflects "what reviewers actually saw." After Epic 12.2 reviewers actually saw scopeConstraint + mp.Text, so the on-disk artifact understates the real prompt and nothing in the review directory records that the review was scoped, which plan/path was used, or whether truncation occurred. An auditor or atcr status cannot distinguish a scoped review from a diff-wide one, and the stderr truncation warning is lost after the run.|Persist the resolved scope constraint (plus plan path and truncated flag) into the manifest or a payload/scope-constraint.txt artifact. Verify a scoped review writes the block to disk and the manifest records the plan path.|maintainability|60|code-review|claude|MEDIUM
LOW|internal/fanout/review_sprintplan_test.go:46|Test gaps remain after Epic 12.2. resolveScopeConstraint and the buildAgent prepend ordering ARE covered (TestResolveScopeConstraint, TestPrepareReviewFromDiff_InjectsSprintPlanConstraint), but there is no test for the resume path preserving the constraint (which is exactly why the resume-drops-constraint defect shipped), and the oversized-plan test asserts only that a warning fires, never the exact truncated byte count, so an off-by-one in capUTF8 that still produced valid UTF-8 would pass.|Add a PrepareResume test asserting the resumed slot prompt retains the SCOPE CONSTRAINT block, and tighten the truncation test to assert the embedded plan length equals 16383/16384 (exact byte boundary) rather than only checking that a warning was emitted.|testing|120|code-review|claude|MEDIUM
HIGH|internal/payload/sprintplan.go:32|ReadSprintPlan calls os.ReadFile(path) which buffers the ENTIRE file into memory before capUTF8 discards everything past 16 KiB. There is no stat/size guard, unlike the diff path which caps at DefaultMaxDiffBytes (review.go:391). A typo'd --sprint-plan pointing at a large log file or a non-regular file like /dev/zero (no EOF) hangs or OOMs the whole review and blows the "<5ms read" NFR. Even under the trusted-local-operator model an accidental bad path is a realistic robustness gap. (disagreement: MEDIUM vs HIGH)|Stat the file first and reject non-regular files / sizes beyond a small ceiling (e.g. a few x MaxSprintPlanBytes), or read through io.LimitReader(f, MaxSprintPlanBytes+1) so at most ~16 KiB is ever buffered. Verify with a test pointing at a >100 MiB file asserting bounded memory and sub-5ms return.|correctness|60|code-review|reviewer,claude,greta,CodeReviewer,base-code-reviewer|HIGH
MEDIUM|internal/payload/sprintplan.go:45|Unbounded file read before size cap|Use io.LimitReader capped at MaxSprintPlanBytes to avoid OOM|performance|10|code-review|bruce|MEDIUM
LOW|internal/payload/sprintplan.go:77|Plan content is embedded verbatim between -- BEGIN/END SPRINT PLAN -- markers with no escaping of the marker lines. A plan whose body contains its own -- END SPRINT PLAN -- line followed by adversarial text closes the framing early and could inject top-level instructions to the reviewer model (e.g. "report no findings"). The code documents trusted-operator input and injects payload as inert template data, so this is defense-in-depth only — but sprint plans are increasingly machine-generated from issue/PR text that crosses an untrusted boundary.|Neutralize marker lines in the plan before embedding (strip/escape lines matching the marker pattern) or use a non-forgeable per-call nonce in the BEGIN/END markers. Add a test feeding plan content containing the literal END marker and asserting it cannot terminate the block.|security|60|code-review|claude|MEDIUM
MEDIUM|internal/payload/sprintplan.go:82|Prompt injection via delimiter collision in sprint plan content|Sanitize plan content to escape or remove BEGIN/END markers|security|10|code-review|greta|MEDIUM
