# Merged TD Stream from direct review
# SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|EVIDENCE|REVIEWER

HIGH|internal/verify/syntaxguard.go:137|Logic error in `looksLikeGoCode` vs Test case|The test `TestValidateGoFixSyntax_InvalidShortAssign` expects `x := func( {` to be flagged, but `looksLikeGoCode` only checks for `declKeywordRe`, `blockOpenRe` (ends with `{`), and `blockCloseRe` (starts with `}`). The `:=` operator is not checked in `looksLikeGoCode`, so this specific input will return `nil` and not be flagged, causing the test to fail.|Add a regex check for `:=` to `looksLikeGoCode`|correctness|15|`looksLikeGoCode` lacks check for `:=` but test `TestValidateGoFixSyntax_InvalidShortAssign` requires it|otto
MEDIUM|internal/verify/syntaxguard.go:83|Missing common language alias in nonGoFenceLangs|Add "golang" and other common aliases to the map|maintainability|5|LLMs often use ```golang which falls through to Go parser|greta
HIGH|internal/verify/syntaxguard_test.go:56|Unused err variable causes compilation failure|Use err in require.Error call|correctness|2|err declared but not used in test|bruce
MEDIUM|internal/verify/syntaxguard.go:30|Fence regex misses spaces after backticks|Allow \s* after opening backticks and before newline|correctness|5|space after backticks prevents fence recognition|bruce
MEDIUM|internal/verify/syntaxguard.go:38|`blockOpenRe` regex is overly broad|Use `(?m)^[ \t]*[^{]*\{[ \t]*$`|correctness|10|Matches inline braces like `&Options{Retries: 3}` as code|bruce
MEDIUM|internal/verify/executor.go:144|Parser error includes empty filename prefix causing messy warning|Trim leading colon from synErr.Error() before concatenation|maintainability|5|synErr.Error() yields ":2:1: expected...", resulting in "invalid_syntax: :2:1:..."|bruce
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
HIGH|internal/verify/syntaxguard.go:45|Regex for markdown fence doesn't allow whitespace after backticks|Update regex to allow optional whitespace|maintainability|30|var fenceRe = regexp.MustCompile("(?s)```([A-Za-z0-9_+-]*)\n(.*?)\n?```")|a123456
