# Merged TD Stream from direct review
# SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|EVIDENCE|REVIEWER

MEDIUM|internal/fanout/postprocess.go:38|Potential slice memory leak|Use a new slice instead of slicing the original when dropping findings|performance|15|`kept := findings[:0]` keeps the original underlying array alive even if many findings are dropped|otto
HIGH|internal/fanout/postprocess.go:42|severityRank map uses string keys but findings are compared with strings.ToUpper — inconsistent; if a finding severity is lowercase, it maps to 0 (below LOW), dropping it silently|Normalize finding severity to upper-case before lookup, or pre-normalize in ParseModelOutput|correctness|10|severityRank[strings.ToUpper(f.Severity)] uses upper-case key but map keys are "CRITICAL","HIGH","MEDIUM","LOW" — lowercase input maps to 0, dropping findings incorrectly|dax
MEDIUM|internal/fanout/postprocess.go:42|severityRank map is package-level mutable global — concurrent fan-out agents could race if map is modified (though currently read-only)|Guard with sync.RWMutex or make it a function returning a copy|maintainability|5|var severityRank = map[string]int{...} — package-level mutable map|dax
MEDIUM|internal/fanout/postprocess.go:42|severityRank duplicates reconcile's private severityRank — drift risk if rubric changes|Extract shared severity ranking to a common package or auto-generate from rubric|maintainability|15|severityRank mirrors reconcile's private severityRank — kept local to avoid cross-package dependency|dax
LOW|internal/fanout/postprocess.go:42|enforceConstraints sorts in-place, mutating caller's slice — callers may not expect mutation|Document mutation behavior or return a new slice|maintainability|5|sort.SliceStable mutates findings slice in-place|dax
LOW|internal/fanout/artifacts.go:143|findingsFor passes r.MinSeverity and r.MaxFindings directly to enforceConstraints — if Result fields are empty/nil, enforcement is no-op; but no validation that MinSeverity is a valid rubric level|Add validation in buildAgent or enforceConstraints that MinSeverity is a recognized level|correctness|5|MinSeverity: a.MinSeverity — no validation that value is a valid rubric level|dax
LOW|internal/fanout/scope_inject_test.go:1|Test file has typo in filename: "scope_inject_test.go" should be "scope_inject_test.go" — inconsistent with Go conventions|Rename file to scope_inject_test.go|maintainability|2|scope_inject_test.go filename has typo "inject"|dax
MEDIUM|internal/registry/config.go:248|Scope entries not validated for newlines or control chars, enabling prompt injection via ScopeFocus|Reject scope entries containing \n, \r, or other control characters at load validation|security|10|scope entries only checked for non-empty; newlines pass into LLM prompt|greta
HIGH|internal/fanout/postprocess_test.go:78|max_findings=1 but expects 2 findings|Fix expected to []string{"CRITICAL"}|correctness|5|Test "min_severity then max_findings compose" has max_findings=1 but expects 2 severities|bruce
MEDIUM|internal/fanout/postprocess.go:27|Finding severity not trimmed before rank lookup|Trim severity with strings.TrimSpace before severityRank lookup|correctness|2|Untrimmed severity ranks as unknown and may be dropped|atcr
MEDIUM|internal/registry/config.go:243|Whitespace-only min_severity triggers invalid load error|Check normalized value instead of raw string|correctness|5|YAML "min_severity: '  '" fails validation instead of being treated as unset|bruce
HIGH|src/auth.go:42|Missing input validation|Add length check|security|5|user input passed directly to query|bruce
MEDIUM|internal/fanout/postprocess.go:36|Variable `min` shadows Go 1.21+ built-in `min(a,b)`|Rename to `minRank` to avoid shadowing and improve clarity|maintainability|2|`min := severityRank[floor]` shadows the built-in inside the if block|claude
MEDIUM|internal/fanout/postprocess.go:39|Model severity lookup uses ToUpper but not TrimSpace, inconsistent with minSeverity normalization|Apply `strings.ToUpper(strings.TrimSpace(f.Severity))` consistently in lookups|correctness|5|Finding "HIGH " would rank 0 (unknown) and be dropped at any min_severity floor|claude
MEDIUM|internal/fanout/postprocess_test.go|Tests don't capture stderr to verify AC4 warning logs when findings are dropped/truncated|Add stderr-capturing test asserting "dropped" and "truncated" messages are emitted|maintainability|10|AC4 requires log verification; current tests only check return values, not warning logs|claude
LOW|internal/fanout/postprocess.go:14|`severityRank` map duplicated from internal/reconcile/merge.go:17|Extract shared canonical severityRank in a neutral package and import from both|maintainability|15|Rubric changes (e.g. adding INFO) must be made in lockstep in two places|claude
LOW|internal/fanout/scope_inject_test.go:27|Test asserts NotContains "Review Focus" which is fragile to future persona changes|Compare unscoped prompt against a captured baseline or check for specific scope marker|maintainability|5|If a default persona template ever adds "Review Focus" for another purpose, test breaks|claude
