MEDIUM|docs/registry.md:0|[Epic 7.0 AC10] Acceptance criterion partially delivered: "Cost analysis shows fix generation is cheaper than having all models suggest fixes." The cost benefit is structural (one executor model vs N reviewers each suggesting fixes) and described qualitatively in the epic Problem/Solution and CHANGELOG.md:3, but no quantitative cost-analysis artifact was produced. AC10 is not in the epic's IN-scope Boundaries list. (intent_note: AC10 de-scoped per epic Clarifications — not in IN-scope Boundaries)|Produce a short cost-analysis note (docs or epic appendix) quantifying executor fix-generation cost as a fraction of total review cost (target <20% per Success Criteria), or formally de-scope AC10 and rely on the qualitative architectural argument already documented.|docs|60|code-review|claude|MEDIUM
LOW|internal/reconcile/emit.go:137|Result.JSONFindings() hand-copies fields into JSONFinding and omits FixWarning (and ClusterMerged/ClusterID). Today this is harmless because FixWarning is set only by the verify fix phase, which marshals the struct directly, and the comment instructs reconcile-time producers to leave it empty — but it is a field-addition footgun: every new omitempty field must be remembered in two serializers with no compiler help, and a future reconcile-time producer of FixWarning would silently drop it.|Build JSONFinding from Merged by struct assignment/embedding so all fields flow automatically, or add a reflection-based drift-guard test asserting JSONFindings() populates every JSONFinding field. At minimum add FixWarning to the literal.|maintainability|30|code-review|claude|MEDIUM
LOW|internal/registry/config.go:148|ExecutorConfig.BatchFixes is declared and accepted from YAML (batch_fixes) and passes validation, but a full grep of non-test code shows zero readers — no code path branches on it. A user setting batch_fixes: true is silently misled into thinking batching is active. The struct comment documents it as reserved for an unbuilt feature. (intent_note: batch_fixes reserved per epic Open-Q2 — batching deferred to Option B)|Remove the field until the batched path exists, or emit a load-time warning when batch_fixes is set true so the user is not misled that it does something.|maintainability|15|code-review|claude|MEDIUM
MEDIUM|internal/registry/config.go:410|Missing validation for BatchFixes|Use strings.TrimSpace(e.Provider) == "" and strings.TrimSpace(e.Model) == "" so a whitespace-only value reports the clear "required field missing" error, matching the rest of the file.|maintainability|15|code-review|bruce|MEDIUM
LOW|internal/registry/config.go:410|validateExecutor checks e.Provider == "" and e.Model == "" for emptiness instead of strings.TrimSpace, inconsistent with the validateProvider/validateAgent idiom elsewhere in the file. A YAML value of provider: " " (quoted space) is non-empty, passes the missing-field check, and falls into the unknown-provider branch producing the confusing error "executor references unknown provider ' '" instead of "required field missing". Model has no whitespace guard at all, so model: " " is accepted and passed to the provider verbatim.|Use strings.TrimSpace(e.Provider) == "" and strings.TrimSpace(e.Model) == "" so a whitespace-only value reports the clear "required field missing" error, matching the rest of the file.|maintainability|15|code-review|claude|MEDIUM
LOW|internal/registry/config.go:410|Case-sensitive role validation confuses users|Use strings.TrimSpace(e.Provider) == "" and strings.TrimSpace(e.Model) == "" so a whitespace-only value reports the clear "required field missing" error, matching the rest of the file.|maintainability|15|code-review|bruce|MEDIUM
LOW|internal/registry/config.go:425|Incomplete TimeoutSecs validation|Validate TimeoutSecs when not nil|maintainability|3|code-review|bruce|MEDIUM
LOW|internal/registry/examples_test.go:15|Hardcoded path|Use filepath.Join for portability|maintainability|3|code-review|bruce|MEDIUM
LOW|internal/registry/examples_test.go:22|Hardcoded path|Use filepath.Join for portability|maintainability|3|code-review|bruce|MEDIUM
MEDIUM|internal/verify/executor.go:0|[Epic 7.0 AC9] Acceptance criterion not delivered: "Performance test shows <10% overhead for fix generation." No Benchmark or performance test exists in internal/verify/ measuring fix-generation overhead. CI exercises fix generation only with an injected fake completer, so the <10% overhead claim is unproven. AC9 is not in the epic's recorded IN-scope Boundaries list, so this was implicitly de-scoped, but the AC checkbox remains unsatisfied. (intent_note: AC9 de-scoped per epic Clarifications — not in IN-scope Boundaries)|Add a Go benchmark (or a timing-based test) that measures runVerify wall-clock with vs without an executor configured over a representative finding set, asserting the executor phase adds <10% overhead — or formally de-scope AC9 in the epic and document why (per-finding LLM latency dominates and is provider-bound).|testing|120|code-review|claude|MEDIUM
LOW|internal/verify/executor.go:66|The fix min_severity floor is resolved with the same empty-check + DefaultFixMinSeverity fallback in three places: generateFixes (executor.go:66-69), the snapshot pre-check (pipeline.go:169-171), and applyDefaults (config.go:601). On a loaded registry applyDefaults already canonicalizes it, so the two inline fallbacks are defensive dead code that exist only for in-memory test structs — a drift surface where a fix in one copy can miss the others.|Extract a single EffectiveFixMinSeverity() method on ExecutorConfig (mirroring EffectiveTimeoutSecs) and call it from both generateFixes and the pipeline pre-check, deleting the inline fallbacks.|maintainability|30|code-review|claude|MEDIUM
LOW|internal/verify/executor.go:70|generateFixes loops findings one at a time and blocks on each callExecutor, so wall-clock cost is the sum of all executor latencies. This is asymmetric with the adjacent skeptic phase, which deliberately uses a bounded worker pool (reg.Verify.MaxParallel, pipeline.go:210-226). On a review with many HIGH/VERIFIED findings the serial loop is materially slower with no documented rationale. Per-finding generation is the stated MVP design (Open-Q2 Option A), so this may be intentional. (intent_note: per-finding serial design accepted per epic Open-Q2 Option A)|Either reuse the bounded-semaphore + WaitGroup pattern around the per-finding body (writing each result to its own index to keep the in-place mutation race-free), or add a comment explaining the intentional serial design and per-finding budget.|performance|60|code-review|claude|MEDIUM
LOW|internal/verify/executor.go:70|The generateFixes for-loop never checks ctx.Err() between iterations. On SIGINT/cancellation mid-run each remaining callExecutor is still entered; with a nil fix_timeout the provider call may not honor cancellation promptly, so the loop grinds through every remaining finding instead of bailing.|Either reuse the bounded-semaphore + WaitGroup pattern around the per-finding body (writing each result to its own index to keep the in-place mutation race-free), or add a comment explaining the intentional serial design and per-finding budget.|performance|60|code-review|claude|MEDIUM
HIGH|internal/verify/executor.go:78|Missing nil check for dispatcher|Add null check for disp before calling readFixSnippet|maintainability|10|code-review|bruce|MEDIUM
