MEDIUM|cmd/atcr/resume.go:52|Inconsistent error handling for flag conflicts|Use consistent error return pattern for all flag checks|maintainability|5|code-review|dax|MEDIUM
LOW|cmd/atcr/resume.go:58|runResume fail-closes on --fail-on/--verify/--require-verified with an explicit rationale, but --fresh, --thorough, and --min-severity (which exist only to tune the --verify stage) are accepted silently and discarded. A user running `atcr review --resume latest --thorough` gets no feedback that the flag did nothing; the author's own silent-ignore-is-dangerous reasoning applies here too, so the rejection set is internally inconsistent.|Extend the rejection loop to include fresh, thorough, min-severity (all inert without --verify, which is already rejected). Add a table test asserting each of these combined with --resume returns exit 2.|error-handling|15|code-review|claude|MEDIUM
MEDIUM|cmd/atcr/resume.go:72|Potential nil pointer if gitrange.Resolve returns error with nil result|Add nil check before accessing res fields|correctness|5|code-review|dax|MEDIUM
MEDIUM|cmd/atcr/resume.go:96|Missing validation of ReviewRequest fields before passing to PrepareResume|Validate required fields in ReviewRequest|error-handling|10|code-review|dax|MEDIUM
LOW|cmd/atcr/resume.go:109|The correlate-review-id + install-redactor + post-fan-out interrupt-check block is copy-pasted between runReview (review.go) and runResume (resume.go) and has ALREADY drifted (the missing interrupt Warn and an inlined vs hoisted redact root). Two near-identical critical paths that have drifted are a maintenance liability: the next redaction/interrupt change must be made in two places.|Extract a shared correlateAndRedact(ctx,id,repo) helper and a shared reportInterrupt(cmd,ctx,result,prep) that does Warn + stderr notice + coded error; call both from runReview and runResume. Verify both paths still produce identical Warn records and exit codes.|maintainability|60|code-review|claude|MEDIUM
MEDIUM|cmd/atcr/resume.go:122|Potential race condition/incorrect range resolution|The code calls gitrange.Resolve with current flags but does not verify if those flags were the same as the original run before passing them to PrepareResume.|correctness|15|code-review|otto|MEDIUM
LOW|cmd/atcr/resume.go:143|Error message could be more descriptive for interrupted resume|Include agent completion counts in interrupt message|maintainability|5|code-review|dax|MEDIUM
MEDIUM|cmd/atcr/resume.go:149|runResume's graceful-interrupt branch prints the human stderr notice and returns the coded error but, unlike the fresh path, does NOT emit log.FromContext(ctx).Warn("review interrupted by signal"). review.go:205-212 deliberately mirrors the stderr notice as a structured, review_id-correlated Warn so an interrupted run leaves a greppable log record. The resume path correlates its ctx with the review id earlier but then drops that observability on the most important failure event, so monitoring/CI grepping logs for interrupted resumes finds nothing (breaks the AC9/AC10 greppability parity).|Add log.FromContext(ctx).Warn("review interrupted by signal") immediately before the stderr Fprint in runResume's ctx.Canceled branch, mirroring review.go:209. Verify by asserting a Warn record carrying the review_id attribute is emitted when ctx is canceled during a resumed fan-out.|maintainability|15|code-review|claude|MEDIUM
LOW|cmd/atcr/resume_test.go:33|Test modifies global user config directory|Use t.TempDir and override HOME env var|maintainability|5|code-review|greta|MEDIUM
MEDIUM|cmd/atcr/resume_test.go:45|Hardcoded test key environment variable name|Use constant for test key env var|maintainability|5|code-review|dax|MEDIUM
LOW|cmd/atcr/resume_test.go:156|Test helper execResume doesn't handle context cancellation|Add context timeout to prevent test hangs|correctness|5|code-review|dax|MEDIUM
