MEDIUM|cmd/atcr/github.go:205|Potential for excessive API calls during fallback|Add a limit to the number of individual comments posted in fallback|performance|15|code-review|otto|MEDIUM
HIGH|cmd/atcr/github.go:214|posted count lost on hard error during fallback|Return posted count in error case is fine but skipped count discarded|correctness|5|code-review|bruce|MEDIUM
LOW|cmd/atcr/github.go:220|Dedup-count correctness on the fallback path is unasserted. Every fallback test stubs GET /comments to return [], so deduped is always 0 and the "(N already present)" reporting in postCommentsIndividually is never exercised. A bug dropping or double-counting the passed-through deduped value would go undetected.|Add a fallback test where GET /comments returns one pre-existing "ATCR found:" comment matching one finding; assert returned deduped==1 and only the non-deduped comment is POSTed individually.|correctness|30|code-review|claude|MEDIUM
MEDIUM|cmd/atcr/github.go:220|Fallback loop does not check context cancellation between iterations|Add a fallback test where GET /comments returns one pre-existing "ATCR found:" comment matching one finding; assert returned deduped==1 and only the non-deduped comment is POSTed individually.|correctness|30|code-review|bruce|MEDIUM
LOW|cmd/atcr/github.go:220|Fallback loop has no inter-call delay, regressing rate-limit safety from original 100ms delay|Add a fallback test where GET /comments returns one pre-existing "ATCR found:" comment matching one finding; assert returned deduped==1 and only the non-deduped comment is POSTed individually.|correctness|30|code-review|bruce|MEDIUM
MEDIUM|cmd/atcr/github.go:220|Fallback per-comment loop has no context-cancellation check between iterations|Add a fallback test where GET /comments returns one pre-existing "ATCR found:" comment matching one finding; assert returned deduped==1 and only the non-deduped comment is POSTed individually.|correctness|30|code-review|bruce|MEDIUM
LOW|cmd/atcr/github.go:220|Fallback per-comment loop has no inter-call delay, regressing the rate-limit safety the original 100ms sleep provided|Add a fallback test where GET /comments returns one pre-existing "ATCR found:" comment matching one finding; assert returned deduped==1 and only the non-deduped comment is POSTed individually.|correctness|30|code-review|bruce|MEDIUM
MEDIUM|cmd/atcr/github.go:220|Fallback path posts N comments sequentially without delay, could hit GitHub API rate limits for PRs with many findings|Add a fallback test where GET /comments returns one pre-existing "ATCR found:" comment matching one finding; assert returned deduped==1 and only the non-deduped comment is POSTed individually.|correctness|30|code-review|bruce|MEDIUM
MEDIUM|cmd/atcr/github.go:220|Fallback path posts N comments sequentially without delay, could hit GitHub API rate limits|Add a fallback test where GET /comments returns one pre-existing "ATCR found:" comment matching one finding; assert returned deduped==1 and only the non-deduped comment is POSTed individually.|correctness|30|code-review|bruce|MEDIUM
MEDIUM|cmd/atcr/github.go:220|Fallback path posts N comments sequentially without delay, risking GitHub secondary rate limits|Add a fallback test where GET /comments returns one pre-existing "ATCR found:" comment matching one finding; assert returned deduped==1 and only the non-deduped comment is POSTed individually.|correctness|30|code-review|bruce|MEDIUM
LOW|cmd/atcr/github.go:227|Prints success message even when 0 comments posted|Either document the partial-write asymmetry in the postCommentsIndividually doc comment, or have runGithub still post the check run on inline-comment error so the gate verdict is never lost.|error-handling|60|code-review|bruce|MEDIUM
LOW|cmd/atcr/github.go:227|422-skip count lost on hard error return|Either document the partial-write asymmetry in the postCommentsIndividually doc comment, or have runGithub still post the check run on inline-comment error so the gate verdict is never lost.|error-handling|60|code-review|greta-backup|MEDIUM
LOW|cmd/atcr/github.go:227|Partial-failure in the fallback leaves orphaned inline comments with no check run. When postCommentsIndividually posts K comments then hits a non-422 error, runGithub returns before CreateCheckRun, so the PR has K orphaned comments but no gate verdict / GITHUB_OUTPUT. Not a regression (the batch path also hard-fails) but the fallback is non-atomic, widening blast radius; recoverable since re-runs dedup the orphans via the ATCR found: prefix.|Either document the partial-write asymmetry in the postCommentsIndividually doc comment, or have runGithub still post the check run on inline-comment error so the gate verdict is never lost.|error-handling|60|code-review|claude|MEDIUM
LOW|cmd/atcr/github.go:236|The fallback success summary prints "posted 0 inline comment(s) ... via per-comment fallback" to stdout even when all comments were 422-skipped, alongside the stderr off-diff warning - noisy and inconsistent with the batch path, whose all-422 case prints only the stderr warning and returns with no stdout summary.|Skip the stdout summary when posted==0 && skipped==len(comments), or align the batch path to also print a summary; pick one reporting convention.|maintainability|15|code-review|claude,bruce|HIGH
LOW|cmd/atcr/github_test.go:433|Test doesn't verify codedError exitFailure code|Assert error is codedError with exitFailure code|correctness|5|code-review|greta-backup|MEDIUM
MEDIUM|cmd/atcr/github_test.go:440|postCommentsIndividually partial-failure path is untested. TestPostInlineComments_FallbackPerCommentHardErrorPropagates uses a single finding, so posted is always 0 and the "inline comment fallback failed after N posted" error branch with posted>0 (e.g. comment 3 of 5 fails after 2 succeed) is never exercised. A regression that mis-counts posted or reorders the increment vs. the error return would pass CI silently.|Add a test with 3+ findings where the mock server returns 201 for the first N then 403 for a later comment; assert the returned error message contains the correct posted count and that N+1 POSTs hit /comments. Verify with go test ./cmd/atcr/.|maintainability|30|code-review|claude|MEDIUM
LOW|cmd/atcr/github_test.go:440|Fallback hard-error test does not verify exitFailure code|Add a test with 3+ findings where the mock server returns 201 for the first N then 403 for a later comment; assert the returned error message contains the correct posted count and that N+1 POSTs hit /comments. Verify with go test ./cmd/atcr/.|maintainability|30|code-review|reviewer|MEDIUM
LOW|cmd/atcr/github_test.go:440|Hard-error test does not verify error is codedError with exitFailure|Add a test with 3+ findings where the mock server returns 201 for the first N then 403 for a later comment; assert the returned error message contains the correct posted count and that N+1 POSTs hit /comments. Verify with go test ./cmd/atcr/.|maintainability|30|code-review|bruce|MEDIUM
LOW|cmd/atcr/github_test.go:440|Hard-error propagation test does not verify error is a codedError with exitFailure|Add a test with 3+ findings where the mock server returns 201 for the first N then 403 for a later comment; assert the returned error message contains the correct posted count and that N+1 POSTs hit /comments. Verify with go test ./cmd/atcr/.|maintainability|30|code-review|bruce|MEDIUM
LOW|internal/ghaction/render.go:115|BuildCheckOutput contains two textual Conclusion(findings, failOn) call sites - one in the total==0 branch and one on the non-empty path. Per invocation only one runs (early return) so AC2 holds, but the duplication is avoidable and the doc comment slightly overstates the dedup since the empty-case call was moved inside rather than removed.|Lift a single conclusion, failCount := Conclusion(findings, failOn) to the top of BuildCheckOutput before the total==0 check and reuse it in both branches.|maintainability|15|code-review|claude|MEDIUM
MEDIUM|internal/ghaction/render.go:115|Conclusion called on empty findings in early-return branch|Lift a single conclusion, failCount := Conclusion(findings, failOn) to the top of BuildCheckOutput before the total==0 check and reuse it in both branches.|maintainability|15|code-review|dax|MEDIUM
