# Merged TD Stream from direct review
# SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|EVIDENCE|REVIEWER

LOW|internal/astgroup/parsers/src/braceparser/main.go:41|Potential memory leak in pins map|Implement a mechanism to limit the growth of the pins map or ensure all allocated memory is freed by the host|resource-management|30|pins map grows indefinitely as alloc is called but free is managed by host|otto
LOW|internal/astgroup/parsers/src/braceparser/main.go:50|Negative length bypasses bounds check and panics|Add n < 0 validation before slicing|security|2|src := buf[:n] panics if n is negative|greta
LOW|internal/astgroup/parsers/src/braceparser/parse_core.go:174|Shadowed variable name|Rename inner 'line' variable|correctness|5|shadowing 'line' with 'line := i+1' inside same scope|bruce
MEDIUM|internal/astgroup/parsers/src/braceparser/parse_core.go:289|Unused 'heredocPending' tracking|Remove heredocPending variable or use it|maintainability|3|heredocPending set but never read before state change|bruce
MEDIUM|internal/astgroup/parsers/src/braceparser/parse_core.go:522|Incomplete heredoc handling|Add explicit handling for unclosed heredoc|error-handling|10|heredoc without terminator leaves scanner in stHeredoc at EOF|bruce
LOW|internal/astgroup/parsers/src/braceparser/main.go:51|Empty source returns EndLine=1 instead of 0|Document or fix EndLine for empty source|maintainability|2|EndLine:1 for empty input may surprise callers expecting 0|bruce
MEDIUM|internal/astgroup/parsers/src/braceparser/parse_core.go:167|No bounds check before unsafe pointer cast|Add length check before unsafe.Pointer(&b[0])|security|5|make([]byte, n) with n<=0 sets n=1 but no validation of buf access|bruce
LOW|internal/astgroup/parsers/src/braceparser/parse_core.go:456|Inefficient string allocation|Use bytes.Equal instead of string conversion|performance|3|string(src[i:i+len(s)]) == s converts to string unnecessarily|bruce
MEDIUM|internal/astgroup/parsers/src/braceparser/configs.go:86|Missing 'use strict' or module-level strict for JS|Document TS/JS config covers strict mode implicitly|maintainability|2|no explicit handling of "use strict" as keyword vs directive|bruce
LOW|internal/astgroup/parsers/src/braceparser/parse_core.go:220|Rust char literal Unicode escapes with braces not handled|Extend charLiteralLen to skip \u{...} sequences|correctness|30|charLiteralLen returns 0 for \u{7f}, braces affect depth|bruce
LOW|internal/astgroup/parsers/src/braceparser/parse_core.go:140|Bash param expansion state ignores quotes, braces in quoted strings affect depth|Add quote tracking in stParamExp state|correctness|30|${var}"}" decrements paramDepth on } inside quotes|bruce
LOW|internal/astgroup/parsers/src/braceparser/main.go:1|Wasm ABI (alloc/free/parse/emit/pins) duplicated across three parser modules|Extract shared ABI into common guest package|maintainability|60|~29 lines identical ABI code in goparser/pyparser/braceparser|bruce
LOW|internal/astgroup/parsers/src/braceparser/parse_core.go:260|Arrow function detection uses > bestIdx, could prefer => over preceding keyword|Change to >= or validate => not preceded by function keyword|correctness|15|classifyHeader returns anonymous func for "function => {" header|bruce
LOW|internal/astgroup/parsers/src/braceparser/parse_core.go:283|Scanner does not handle \r line ending, may miscount lines on Windows files|Handle \r as newline or normalize input before scanning|correctness|5|line counting only increments on \n; \r not handled|reviewer
MEDIUM|internal/astgroup/parsers/src/braceparser/main.go:49|Missing negative length check causes panic on negative n|Add n < 0 to guard condition|error-handling|2|src := buf[:n] panics if n < 0; guard only checks > len(buf)|bruce
