# Merged TD Stream from direct review
# SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|EVIDENCE|REVIEWER

MEDIUM|internal/sandbox/docker.go:185|Potential shell injection via Script|Use a more secure way to pass scripts to the container|security|30|Script is passed via Stdin to `/bin/sh -s`, but if the shell image is compromised or the script contains specific escape sequences, it could be risky|otto
HIGH|internal/registry/sandbox.go:52|Undefined variable MaxTimeoutSecs in SandboxConfig.Validate|Define MaxTimeoutSecs as a constant|correctness|5|if s.TimeoutSecs != nil && (*s.TimeoutSecs <= 0 |bob2| *s.TimeoutSecs > MaxTimeoutSecs)|reviewer
HIGH|internal/sandbox/docker.go:196|Unbounded output buffer before truncation risks host OOM|Use a capped writer during cmd.Run instead of buffering all output|security|15|cmd.Stdout=&buf buffers full output before truncate|bruce
HIGH|internal/tools/exec_tools.go:118|Model can bypass configured timeout ceiling via run_script|Clamp user timeout to d.execTimeout maximum|security|5|model timeout argument has no upper bound|bruce
MEDIUM|internal/sandbox/docker.go:225|Context cancellation reported as timeout in dockerCmd|Check cctx.Err()==context.DeadlineExceeded explicitly|error-handling|2|cctx.Err()!=nil misreports cancellation as timeout|bruce
MEDIUM|internal/tools/exec_tools.go:82|Argument injection via unvalidated 'target' parameter|Validate target does not start with '-' or prepend '--'|security|10|cmd = append(cmd, t) passes LLM input directly to test runner|greta
MEDIUM|internal/sandbox/docker.go:226|Docker runtime errors (exit 125+) masked as app exit|Return error for docker exit >= 125 or check stderr|correctness|15|docker run failure (exit 125) treated as app exit, may false-confirm|bruce
MEDIUM|internal/tools/exec_tools.go:100|LLM-provided timeout unbounded, overriding config limits|Cap timeout to config default or MaxTimeoutSecs|performance|5|timeout = time.Duration(a.Timeout) * time.Second allows arbitrary long runs|bruce
LOW|internal/sandbox/docker.go:208|Output buffer grows unbounded before truncation|Wrap stdout with io.LimitedReader or cap buffer|performance|10|cmd.Stdout = &buf reads all output into host memory before truncation|bruce
HIGH|internal/tools/exec_tools.go:88|Unbounded run_script content size|Limit content size (e.g., 64KB) before dispatch to sandbox to prevent OOM|security|10|runScriptHandler accepts arbitrary-length content from LLM with no size cap before passing to docker|bruce
MEDIUM|internal/tools/exec_tools.go:95|Uncapped run_script timeout|LLM-supplied timeout should be capped at d.execTimeout to prevent exceeding configured budget|security|5|timeout := time.Duration(a.Timeout) * time.Second has no upper bound; LLM can pass any value|bruce
MEDIUM|internal/sandbox/docker.go:107|/scratch tmpfs has exec flag unnecessarily|Use --tmpfs /scratch:rw,noexec,size=...; run_script feeds via stdin so scratch need not be executable|security|5|--tmpfs /scratch:rw,exec allows execution of binaries written to scratch, weakening defense-in-depth|bruce
LOW|internal/sandbox/docker.go:124|renderCommand embeds raw script body into evidence|Redact or hash script bodies; secrets in repro scripts leak to findings.json|security|15|renderCommand returns "/bin/sh -s <<'EOF'\n"+spec.Script+"\nEOF" which is persisted verbatim in evidence_exec.command|bruce
MEDIUM|internal/registry/sandbox.go:40|SandboxConfig.Validate doesn't reject argv elements starting with -|Reject Command elements starting with "-" as defense against config-level flag confusion|security|5|execTestCmd tokens are not checked for leading "-" which could be misinterpreted by some tooling|bruce
LOW|internal/sandbox/docker.go:75|DockerContainer resource caps not validated to fit host|Validate Memory/CPUs/PidsLimit against host resources before spawning to prevent host OOM|performance|20|Caps are accepted as-is; a misconfigured 512m x 4 can still OOM small hosts|bruce
HIGH|internal/report/render.go:179|Reproduced badge shown for non-reproduced findings|Check verdict is confirmed before rendering badge|correctness|10|EvidenceExec attached even when exit=0 or verdict=unverifiable; badge says Reproduced incorrectly|bruce
MEDIUM|internal/sandbox/docker.go:195|Preflight trivial container omits resource cap flags|Include --memory, --cpus, --pids-limit in preflight run|correctness|15|preflight run lacks --memory/--cpus/--pids-limit; invalid values pass preflight but fail on real runs|bruce
MEDIUM|internal/tools/exec_tools.go:108|run_script timeout not capped to operator default|Cap user-specified timeout to execTimeout|security|5|model can set arbitrary timeout; e.g. 86400s keeps container running far beyond operator intent|bruce
