MEDIUM|internal/tdmigrate/fixtures_test.go:96|Test expects tabs rejected but yaml.v3 allows tab indentation|Add custom tab-checking before decode, or configure decoder to reject tabs|correctness|5|code-review|patricia|MEDIUM
LOW|internal/tdmigrate/generate.go:13|GenerateTable's docstring claims per-item data is "preserved verbatim" and the regenerated parse is "semantically equal" to the original, but cell() rewrites pipe to slash and newlines to spaces, so table to table is intentionally lossy (the parse_test fixture "a / b / c" demonstrates it). The claim holds only at the shard layer and will mislead a maintainer who relies on table-level round-trip equality for a diff or verification step.|Correct the GenerateTable docstring to state that round-trip equality holds at the shard layer only and the regenerated table is a deliberately lossy single-line summary; SCHEMA.md already documents this correctly.|maintainability|15|code-review|claude|MEDIUM
LOW|internal/tdmigrate/generate.go:45|Potential column misalignment in Markdown table|Use a consistent number of spaces or a dedicated table library for alignment|maintainability|15|code-review|otto|MEDIUM
LOW|internal/tdmigrate/generate.go:49|cell() only sanitizes pipes and newlines, not other markdown|Escape backticks, asterisks, brackets for safer markdown table cells|maintainability|5|code-review|bob|MEDIUM
LOW|internal/tdmigrate/item.go:63|Item.File field accepts arbitrary strings without validation|Add optional path format validation (file:line pattern) for consistency|maintainability|10|code-review|bob|MEDIUM
LOW|internal/tdmigrate/item.go:120|Validate iterates over map for required fields|Use an ordered slice of structs instead|maintainability|3|code-review|base|MEDIUM
LOW|internal/tdmigrate/parse.go:16|Drift regex misses malformed headers without colon|Add catch-all for any `### [date] From` line|correctness|5|code-review|base|MEDIUM
LOW|internal/tdmigrate/parse.go:28|flush() discards any section with zero items with no diagnostic. If a recognized section header's rows all fail the pipe gate (formatting drift), the entire provenance section vanishes silently, contradicting the function's own zero-data-loss claim.|When a section header was seen but produced zero parseable items, emit a hard error (or at minimum a stderr warning) instead of silently dropping the section.|error-handling|30|code-review|claude|MEDIUM
MEDIUM|internal/tdmigrate/parse.go:39|Section regexes fail on trailing whitespace or CRLF|Inside an active section, route a line carrying the expected number of internal pipe separators but lacking a leading pipe through rowToItem, or hard-error on the ambiguous line rather than silently skipping it.|correctness|60|code-review|base|MEDIUM
LOW|internal/tdmigrate/parse.go:39|driftHeader only catches a drifted provenance header that contains a colon (regex `From ([^:]+):`). A colonless drifted header such as `### [2026-01-01] From Standup` matches neither sectionHeader nor driftHeader, falls through without resetting cur, and every item beneath it is silently re-attributed to the PREVIOUS shard (wrong date/label/source) while still passing Shard.Validate.|Inside an active section, route a line carrying the expected number of internal pipe separators but lacking a leading pipe through rowToItem, or hard-error on the ambiguous line rather than silently skipping it.|correctness|60|code-review|claude|MEDIUM
MEDIUM|internal/tdmigrate/parse.go:39|Section header regex fails on CRLF line endings due to trailing \r|Inside an active section, route a line carrying the expected number of internal pipe separators but lacking a leading pipe through rowToItem, or hard-error on the ambiguous line rather than silently skipping it.|correctness|60|code-review|greta|MEDIUM
LOW|internal/tdmigrate/parse.go:39|The in-section row gate skips any line that does not start with a leading pipe after trimming. GitHub-Flavored Markdown permits tables without leading pipes, and a hand edit can drop one, so a genuine data row is silently dropped with no loud failure — a zero-data-loss gap the epic forbids.|Inside an active section, route a line carrying the expected number of internal pipe separators but lacking a leading pipe through rowToItem, or hard-error on the ambiguous line rather than silently skipping it.|correctness|60|code-review|claude|MEDIUM
LOW|internal/tdmigrate/parse.go:39|splitRow ignores escaped pipes \|Inside an active section, route a line carrying the expected number of internal pipe separators but lacking a leading pipe through rowToItem, or hard-error on the ambiguous line rather than silently skipping it.|correctness|60|code-review|15|MEDIUM
MEDIUM|internal/tdmigrate/parse.go:58|splitRow doesn't handle escaped pipes in markdown cells|Use a splitter that respects backslash-escaped pipes, or document that source table must not contain them|maintainability|5|code-review|multi-agent|MEDIUM
MEDIUM|internal/tdmigrate/parse.go:67|splitRow splits a table row on every pipe with no pipe-escaping. The writer side (generate.go cell) sanitizes pipe to slash so machine output is safe, but a hand-edited README row that contains a literal pipe inside Problem/Fix adds phantom cells; if the cell count happens to land on 9 or 11 the row is silently re-interpreted (a 9-column row with two stray pipes parses as an 11-column reconciled row, mapping Problem text into Reviewers/Confidence) — silent corruption instead of the mandated loud failure.|Detect and reject unbalanced or unescaped pipes (or unescape backslash-pipe before splitting) and hard-error on an inconsistent raw pipe count. Add a fixture: a 9-column row whose Problem contains a literal pipe must error, not parse to 11 cells.|correctness|60|code-review|claude|MEDIUM
LOW|internal/tdmigrate/parse.go:93|Column semantics are encoded as bare positional indices (cells[0]..cells[10]) with magic 9/11 counts and a hardcoded "Group" header sentinel, and the same column layout is independently re-encoded in generate.go. There is no shared schema constant tying reader and writer together, so a future column insertion in one file silently desynchronizes the round-trip — the exact silent-corruption class this epic exists to eliminate.|Introduce shared column-order/count constants consumed by both parse.go and generate.go, and add a round-trip test that fails if either side's column order changes independently.|maintainability|60|code-review|claude|MEDIUM
LOW|internal/tdmigrate/run.go:42|Unused args parameter in newFlags|Remove args parameter from function signature|maintainability|3|code-review|bruce|MEDIUM
LOW|internal/tdmigrate/run.go:47|The usage constant documents migrate as taking only [--readme PATH] [--items DIR] and omits --allow-empty, the single most dangerous flag (it permits writing a zero-section store, wiping the shards); the flag surfaces only in the per-FlagSet -h dump.|Add [--allow-empty] to the migrate line in the usage constant with a one-line note that it permits writing a zero-section (wiped) store.|maintainability|5|code-review|claude|MEDIUM
