SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|SOURCE|REVIEWERS|CONFIDENCE
LOW|internal/fanout/artifacts.go:143|findingsFor passes r.MinSeverity and r.MaxFindings directly to enforceConstraints — if Result fields are empty/nil, enforcement is no-op; but no validation that MinSeverity is a valid rubric level at the enforcement call site|Add validation in buildAgent or enforceConstraints that MinSeverity is a recognized level|correctness|5|code-review|dax|MEDIUM
LOW|internal/fanout/engine.go:284|Every Result-building path threads MinSeverity/MaxFindings (single-shot engine.go:393-394, tool loop loop.go:98, fallbacks review.go:603-604) except the serial-lane cancellation short-circuit, which hand-builds a bare Result with no constraints. Benign today (timeout slot with empty Content), but the two cancellation lanes now construct Results differently — a future change stamping synthetic findings onto cancelled slots would skip guardrails only on the serial lane.|Route this branch through invokeSlot like the parallel cancellation case (engine.go:260) instead of hand-building a Result, or add the two constraint fields. Verify both cancellation lanes' Results are structurally identical.|correctness|15|code-review|claude|MEDIUM
MEDIUM|internal/fanout/postprocess.go:14|The severity-rank rubric {CRITICAL:4,HIGH:3,MEDIUM:2,LOW:1} is independently redefined in fanout/postprocess.go:17, reconcile/merge.go, verify, report, plus a set-form copy reviewSeverities in registry/config.go. postprocess looks up severityRank[strings.ToUpper(...)] while reconcile looks up the raw value, so a future severity change or non-canonical casing silently desyncs fan-out truncation from reconcile merging. The postprocess copy was newly added by Epic 2.2. (disagreement: LOW vs MEDIUM)|Extract a single canonical severity package (or export from internal/stream) exposing the ordered rank map plus normalizeSeverity, and have registry/fanout/reconcile/verify/report consume it. Verify by deleting the local maps and confirming the suite passes with one source of truth.|maintainability|120|code-review|claude|MEDIUM
MEDIUM|internal/fanout/postprocess.go:27|Finding severity not trimmed before rank lookup — TrimSpace is absent at the finding side of the lookup even though MinSeverity is normalized at config load|Trim severity with strings.TrimSpace before severityRank lookup|correctness|2|code-review|atcr|MEDIUM
HIGH|internal/fanout/postprocess.go:35|Severity normalization gap: severityRank map uses string keys but findings are compared with strings.ToUpper only — lowercase or whitespace-padded severity values map to rank 0 (below LOW) and are silently dropped. Model severity lookup uses ToUpper but not TrimSpace, inconsistent with MinSeverity normalization at config load.|Normalize finding severity consistently (strings.ToUpper + strings.TrimSpace) before severityRank lookup; add test with lowercase and mixed-case severities asserting no silent drop.|correctness|15|code-review|claude,dax|HIGH
MEDIUM|internal/fanout/postprocess.go:35|enforceConstraints filters in place via kept := findings[:0], overwriting the caller's backing array, and sort.SliceStable reorders that same array. Safe today because the only caller (findingsFor) passes a freshly-parsed slice it never reuses, but any future caller holding the pre-enforcement slice would see its data silently clobbered and reordered.|Allocate kept := make([]stream.Finding, 0, len(findings)) to keep the input immutable, or assert the precondition at the call site. Add a test asserting the original slice is unchanged after enforceConstraints.|maintainability|15|code-review|claude,dax,otto|HIGH
LOW|internal/fanout/postprocess.go:35|When min_severity is a non-empty but unknown value, severityRank[floor] returns 0; every real severity ranks >= 1, so the >= 0 comparison keeps everything — the floor silently becomes a no-op and emits no warning. Safe today only because registry load validates MinSeverity in a different package; the function itself fails open.|In enforceConstraints, add an explicit check: if severityRank[floor] == 0 (unknown level), log a warning and return early (no-op), rather than silently keeping all findings as if no floor were set.|error-handling|10|code-review|claude|MEDIUM
MEDIUM|internal/fanout/postprocess.go:35|Variable `min` shadows Go 1.21+ built-in min(a,b) function|Rename local variable to avoid shadowing the built-in (e.g. minVal or floor)|correctness|5|code-review|claude|MEDIUM
MEDIUM|internal/fanout/postprocess.go:35|severityRank is a package-level var with no sync protection — concurrent fan-out agents racing a future map write would trigger a data race. Currently read-only, but there is no const, comment, or compile-time guard documenting this invariant.|Mark severityRank with a comment documenting it as read-only after init. If mutation is ever needed, use a sync.Map or initialize a local copy.|correctness|15|code-review|dax|MEDIUM
MEDIUM|internal/fanout/postprocess.go:53|enforceConstraints has no self-defense against max_findings <= 0. The guard len(findings) > *maxFindings fires for 0, all findings are sorted, then findings[:0] discards ALL of them while stderr reports "truncated to max_findings 0" — a silent total drop disguised as a cap. Relies entirely on registry validation in a different package; any direct caller or future config path that bypasses that guard silently destroys an agent's entire output.|In enforceConstraints, treat *maxFindings <= 0 as "no cap" (skip the truncation block), mirroring the absent-cap behavior. Add a unit test passing maxFindings=0 asserting all findings pass through with truncated==0.|error-handling|15|code-review|claude|MEDIUM
MEDIUM|internal/fanout/postprocess_test.go|Tests don't capture stderr to verify AC4 warning logs when findings are dropped or truncated — the warning path is executed but never asserted|Add stderr-capturing test asserting "dropped" and "truncated" messages are emitted when the respective constraints fire|maintainability|10|code-review|claude|MEDIUM
MEDIUM|internal/fanout/postprocess_test.go:60|TestEnforceConstraints tests over-cap and under-cap but never maxFindings == len(findings) (the exact boundary where the guard flips). Also never feeds unknown/garbage or mixed-case severity (e.g. "BLOCKER", "high"), so the severityRank[...]==0 fallback and the finding-side strings.ToUpper are unexercised — a regression changing > to >= or deleting ToUpper would not be caught.|Add a case with maxFindings=len(in) asserting no truncation; add a case with a "BLOCKER" finding under a LOW floor asserting it is dropped; add a case with lowercase finding severity exercising normalization.|testing|30|code-review|claude|MEDIUM
HIGH|internal/fanout/postprocess_test.go:78|Test asserts max_findings=1 but expects 2 findings in the result — the test assertion is incorrect and does not match the declared cap|Fix expected output to []string{"CRITICAL"} (the single highest-severity finding that should survive the cap)|correctness|5|code-review|bruce|MEDIUM
MEDIUM|internal/fanout/review.go:600|buildFallbackAgent overrides the fallback's MinSeverity/MaxFindings with the primary's (review.go:603-604) and the fallback's Scope never reaches it (Prompt is copied from primary.Prompt which already baked in the primary's scope). A user who sets scope/min_severity/max_findings on an agent that only ever runs as a fallback gets them silently ignored. Zero test coverage across all four Epic 2.2 test files.|Add a test that builds a slot whose fallback declares its own min_severity/max_findings/scope and asserts the primary's constraints win. Optionally emit a load-time warning when a fallback-only agent sets these fields so the silent-ignore is visible.|testing|60|code-review|claude|MEDIUM
LOW|internal/fanout/scope_inject_test.go:1|Reviewer flagged filename inconsistency with Go conventions but provided identical source and target names — finding text is self-contradicting; verify actual filename against Go test file naming conventions before acting|Confirm scope_inject_test.go filename matches the package under test; rename if a genuine mismatch exists|maintainability|2|code-review|dax|MEDIUM
LOW|internal/fanout/scope_inject_test.go:27|TestBuildAgent_InjectsScopeFocus verifies the scoped agent's Invocation.Prompt carries the scope focus text, but for the unscoped agent only checks Prompt does NOT contain "Review Focus" — it never checks the unscoped Invocation.Prompt. Also, asserting NotContains on the exact string "Review Focus" is fragile to persona wording changes.|Add an assertion that the unscoped agent's Invocation.Prompt also does NOT contain "Review Focus", mirroring the scoped-agent assertion. Consider asserting the exact injected scope string for the scoped case to lock both wording and join correctness.|maintainability|5|code-review|claude|MEDIUM
LOW|internal/payload/scope.go:22|ScopeFocus concatenates each scope string verbatim into the persona prompt via strings.Join with no escaping or length bound. Validation rejects blank/whitespace entries but not content or length — a pathological multi-KB scope entry bloats every agent prompt, and the trust assumption (scope is operator-controlled input) is undocumented at the injection site.|Document at scope.go that scope is trusted operator input and intentionally not escaped. Optionally bound each entry's length (e.g. reject > 64 chars at config.go scope validation) to prevent accidental prompt bloat.|security|30|code-review|claude|MEDIUM
LOW|internal/payload/scope_focus_test.go:16|TestScopeFocus only checks category substring presence; the soft-not-hard contract ("not a hard limit — still report any genuinely critical issue") is never asserted and could be deleted with green tests. The blank-skip assertion checks only for literal ", ," patterns, so a trailing blank entry would pass undetected.|Assert the exact rendered string for a known input to lock wording and join correctness; assert the "not a hard limit" clause is present in the output.|testing|15|code-review|claude|MEDIUM
MEDIUM|internal/registry/config.go:243|Whitespace-only min_severity values (e.g. "   ") trigger an invalid load error because validation checks the raw string rather than the normalized (trimmed) value, producing a confusing error message|Check the strings.TrimSpace normalized value instead of the raw string in min_severity validation|correctness|5|code-review|bruce|MEDIUM
MEDIUM|internal/registry/config.go:248|Scope entries are not validated for newlines or control characters, enabling prompt injection via ScopeFocus — a scope entry containing \n can break out of the injected focus block and add arbitrary text to the agent persona prompt|Reject scope entries containing \n, \r, or other control characters at load validation|security|10|code-review|greta|MEDIUM
LOW|internal/registry/config.go:283|validate() rejects max_findings <= 0 but accepts any positive value up to math.MaxInt, unlike every other bounded field in the file (timeout_secs, max_turns, tool_budget_bytes each have documented ceilings). max_findings is the odd one out with a floor but no ceiling — functionally harmless but inconsistent with the file's own validation conventions.|Add a documented ceiling constant (e.g. MaxFindingsCap) for consistency with other bounded fields, or add a comment explaining why max_findings is intentionally unbounded above.|correctness|15|code-review|claude|MEDIUM
LOW|internal/registry/config.go:317|applyDefaults canonicalizes MinSeverity to upper-case so downstream comparisons are stable, but Scope entries are never trimmed/canonicalized at store — validation trims for the blank check without persisting the trimmed value, so " performance " survives into ScopeFocus. Asymmetric normalization between the two adjacent Epic 2.2 fields.|Trim-and-store scope entries in applyDefaults (mirroring MinSeverity canonicalization right above it), or document that scope is normalized lazily at render time. Add a test with whitespace-padded scope entries asserting the stored/rendered form.|correctness|30|code-review|claude|MEDIUM
LOW|internal/registry/config.go:344|AgentsByRole godoc warns that returned AgentConfig values' Scope slice and pointer fields alias the registry backing memory and mutating them corrupts the shared registry, but no test asserts this contract. Scope is a newly load-bearing Epic 2.2 reference field.|Add a test documenting the aliasing (mutate a returned config's Scope element and assert the registry changed) as a regression anchor, or have AgentsByRole deep-copy Scope and the pointers and assert non-aliasing.|testing|30|code-review|claude|MEDIUM
LOW|internal/registry/config_review_constraints_test.go:75|TestRegistryLoad_EmptyScopeEntry tests "" but not a whitespace-only entry "   ", even though validation uses strings.TrimSpace(s)=="" specifically to catch whitespace-only entries. The TrimSpace branch is unverified — it could be removed and only the "" case would still fail.|Add a case with scope: ["performance", "   "] asserting a load error mentioning scope, locking the TrimSpace branch.|testing|5|code-review|claude|MEDIUM
HIGH|src/auth.go:42|Missing input validation (intent_note: src/auth.go is not within epic 2.2 scope — epic covers internal/fanout, internal/registry, and internal/payload only; this finding is likely a reviewer hallucination; verify file existence before acting)|Add length check|security|5|code-review|bruce|MEDIUM
