# Reconciled TD Stream
# Format: SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|SOURCE|REVIEWERS|CONFIDENCE

MEDIUM|Escape or inline-code-fence cell content (wrap each value in a backtick span after escaping embedded backticks) so findings text renders inert. Verify a finding whose Problem contains a markdown link and a fake |CRITICAL|" row renders as literal text.|security|60|code-review|claude|MEDIUM
MEDIUM|action.yml:28|Required GitHub permissions (checks:write and, for inline comments, pull-requests:write) are documented only in the one-line github-token input description. A composite action cannot declare permissions:; a consumer who omits permissions:{checks:write} gets a late runtime 403 from the atcr github step with no early signal.|Document the required permissions: block prominently (docs + a comment at top of runs:) and/or add a preflight that fails fast with a clear "missing checks:write" message instead of relying on the API 403 surfacing late.|maintainability|30|code-review|claude|MEDIUM
LOW|action.yml:37|Cache path uses absolute action path|Use relative path like go.sum|maintainability|2|code-review|bruce|MEDIUM
LOW|action.yml:51|cache-dependency-path assumes go.sum exists at github.action_path|Pin to a full commit SHA to harden the composite action's supply chain|correctness|10|code-review|bruce|MEDIUM
MEDIUM|action.yml:51|BASE_REF fallback produces invalid ref when github.base_ref empty|Pin to a full commit SHA to harden the composite action's supply chain|correctness|10|code-review|bruce|MEDIUM
LOW|action.yml:51|actions/setup-go pinned to floating major tag, not commit SHA|Pin to a full commit SHA to harden the composite action's supply chain|correctness|10|code-review|atcr-reviewer|MEDIUM
HIGH|action.yml:70|Invalid GitHub Actions expression syntax|Use conditional logic in shell step instead of||0|code-review|10|MEDIUM
LOW|action.yml:74|Potential shell injection via input interpolation|Use environment variables for all inputs in the `run` block to avoid script injection|security|10|code-review|otto|MEDIUM
MEDIUM|action.yml:78|Malformed base ref origin/ when triggered on non-pull_request events|Fail fast with a clear error if github.event_name != pull_request and inputs.base-ref is empty|correctness|10|code-review|bruce|MEDIUM
HIGH|action.yml:93|HEAD_SHA prefers PR head commit which does not exist for fork PRs|Use github.sha merge commit SHA for all events|correctness|5|code-review|atcr-reviewer|MEDIUM
LOW|action.yml:99|PR_NUMBER is set from github.event.pull_request.number, empty on non-pull_request triggers. With INLINE=true on such a trigger, --pr "" reaches the pr<=0 guard (cmd/atcr/github.go:93) and fails as a usage error (exit 2) — safe, but with a generic "requires --pr" message rather than a clear "inline-comments requires a pull_request event" diagnosis.|Guard INLINE=true against an empty PR_NUMBER in the action shell and emit an explicit error, mirroring the HEAD_SHA fallback pattern (action.yml:93-95), or document the constraint.|error-handling|15|code-review|claude|MEDIUM
MEDIUM|cmd/atcr/github.go:148-167|Sequential inline comment posting is slow for PRs with many findings|Use GitHub's batch POST /repos/{owner}/{repo}/pulls/{pull_number}/reviews endpoint|performance|45|code-review|bruce|MEDIUM
LOW|cmd/atcr/github.go:148-167|Conclusion is computed twice for the same findings/failOn inputs|Use GitHub's batch POST /repos/{owner}/{repo}/pulls/{pull_number}/reviews endpoint|performance|45|code-review|bruce|MEDIUM
HIGH|cmd/atcr/github.go:8|missing import "path/filepath"|Add import "path/filepath"|correctness|5|code-review|atcr_bot|MEDIUM
LOW|cmd/atcr/github.go:33|usageArgs function not defined in file|Verify usageArgs is imported/defined in package|maintainability|5|code-review|bruce|MEDIUM
MEDIUM|cmd/atcr/github.go:125|No rate-limit handling for bulk comment posts|Add sleep/backoff between API calls|performance|10|code-review|bruce|MEDIUM
LOW|cmd/atcr/github.go:139|The exit-code gate compares the literal string conclusion == "failure"; Conclusion/BuildCheckOutput switch on raw "failure"/"success"/"neutral" literals across render.go:71,120,122 and github.go:139. These GitHub conclusion values are stringly-typed magic constants with no shared definition, so a typo at one site would silently never trigger exit 1 while still posting a check.|Define typed constants (conclusionFailure="failure", etc.) in the ghaction package and use them at every comparison and emission site. Verify no raw "failure"/"success"/"neutral" literals remain.|maintainability|15|code-review|claude|MEDIUM
MEDIUM|cmd/atcr/github.go:150|postInlineComments treats all errors as failures, including expected 422; should distinguish 422 and only count non-422 errors as failures for systemic problem detection|correctness|30|0|code-review|bob2|MEDIUM
MEDIUM|cmd/atcr/github.go:166|postInlineComments treats posted==0 && failed>0 as a systemic error and exits 1, but the documented benign case (a 422 for a finding whose line is not in the PR diff) breaks this at small N: a review with exactly one anchorable finding that legitimately 422s off-diff fails CI, the precise case the function comment says must not fail the run.|Inspect the client error status code: treat 422/unprocessable (off-diff) as expected/skipped and only fail on systemic auth/permission errors (401/403) dominating. Verify with one off-diff finding: run should succeed "0 posted, 1 skipped", not exit 1.|error-handling|60|code-review|claude|MEDIUM
LOW|docs/ci-integration.md:23|Out of scope reference to GitHub Action|Remove or update to reflect current implementation|maintainability|1|code-review|REVIEWER|MEDIUM
MEDIUM|internal/ghaction/client.go:80-115|No retry on transient GitHub API failures (5xx/429/network)|Add exponential backoff retry for transient status codes and network errors|error-handling|30|code-review|bruce|MEDIUM
LOW|internal/ghaction/client.go:27|Hard-coded 30s HTTP timeout may be insufficient on slow networks|Make timeout configurable via Client field with longer default|performance|5|code-review|bruce|MEDIUM
LOW|internal/ghaction/client.go:32|The default client uses a hard-coded per-request Timeout of 30s and runGithub passes cmd.Context() (no deadline), so there is no aggregate bound across the N inline-comment POSTs — a slow GitHub can keep the job alive for 30s*findings. The 30s value is also not configurable.|In baseURL() or runGithub validate the API URL parses as an absolute https URL (allow http only for 127.0.0.1/test) before attaching the Authorization header.|correctness|30|code-review|claude|MEDIUM
LOW|internal/ghaction/client.go:32|baseURL() only trims trailing slashes; it does not validate that APIURL is https or a sane host before the bearer token is attached (client.go:87). Normally GITHUB_API_URL is trustworthy, but a non-empty-but-malformed api-url (e.g. http://...) would send the token over plaintext to an attacker-influenced endpoint with no guard.|In baseURL() or runGithub validate the API URL parses as an absolute https URL (allow http only for 127.0.0.1/test) before attaching the Authorization header.|correctness|30|code-review|claude|MEDIUM
MEDIUM|internal/ghaction/client.go:70|Missing User-Agent header required by GitHub API|Add User-Agent header to HTTP requests|security|5|code-review|bruce|MEDIUM
MEDIUM|internal/ghaction/client.go:98|post() treats every non-2xx identically as a terminal error with no retry/backoff. GitHub returns 429/403 with Retry-After for secondary rate limits and transient 502/503; with inline-comments enabled postInlineComments loops one POST per finding (cmd/atcr/github.go:157), so a large finding set can trip secondary rate limits and every subsequent comment fails, converting a transient throttle into "all comments failed → exit 1". No Retry-After/backoff handling exists in the package.|Add minimal retry-with-backoff honoring Retry-After / x-ratelimit-reset for 429/403-rate-limit and 5xx in post(), capped at a few attempts within the context deadline; at minimum distinguish rate-limit responses from genuine 4xx.|error-handling|120|code-review|claude|MEDIUM
LOW|internal/ghaction/client.go:98|On a non-2xx response only the body message is surfaced; GitHub's most actionable error context for 403/429 (x-ratelimit-remaining, retry-after, x-github-request-id) is discarded, so the resulting error cannot distinguish "missing checks:write permission" from "rate limited" — the diagnosis a consumer needs.|Add minimal retry-with-backoff honoring Retry-After / x-ratelimit-reset for 429/403-rate-limit and 5xx in post(), capped at a few attempts within the context deadline; at minimum distinguish rate-limit responses from genuine 4xx.|error-handling|120|code-review|claude|MEDIUM
MEDIUM|internal/ghaction/comments.go:30|BuildInlineComments skips a finding only when File is empty or Line<=0 (comments.go:33); it never checks Problem. A finding with File/Line set but Problem=="" yields commentBody output "ATCR found: ." (comments.go:52) — a posted, content-free inline PR comment. There is no lower bound on body content.|In BuildInlineComments also skip findings whose trimmed Problem is empty (or have commentBody return "" and skip empties in the caller). Verify with {file:a.go, line:5, problem:""}: no comment produced.|error-handling|15|code-review|claude|MEDIUM
MEDIUM|internal/ghaction/comments.go:43|Markdown injection via Problem/Fix/executor fields in PR comment body|Backtick-escape or strip markdown from user-controlled fields before rendering|security|15|code-review|atcr-reviewer|MEDIUM
MEDIUM|internal/ghaction/comments.go:50|Unsanitized markdown in PR inline comments|Sanitize or escape f.Problem and f.Fix to prevent malicious markdown/HTML rendering|security|10|code-review|greta|MEDIUM
MEDIUM|internal/ghaction/render.go:114-115|Truncation count can read "0 of N shown" when first row exceeds byte budget|Track a separate shownCount variable incremented after WriteString, not the loop index i|correctness|10|code-review|bruce|MEDIUM
