# SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|SOURCE|REVIEWERS|CONFIDENCE
MEDIUM|internal/llmclient/client.go:312|send() wins a half-open probe via breaker.Allow() (sets probeInFlight=true) then resolves it in a plain switch after dispatch(). There is no defer guarding the probe slot, so a panic in dispatch (or a future early-return added between Allow and the switch) skips RecordSuccess/RecordFailure/ReleaseProbe and leaks the slot. Per breaker.go:106-111 this wedges the circuit half-open forever for that provider — every later caller fails fast permanently, defeating recovery. Engine recovers slot panics but leaves the breaker wedged. (Independent reviewer rated HIGH; downgraded to MEDIUM as a dispatch panic is unexpected.)|In send(), capture whether Allow() granted a probe and defer a release-if-unresolved (e.g. defer func(){ if !resolved { breaker.ReleaseProbe() } }()), so a panic still frees the slot. Add a test that panics inside dispatch and asserts the circuit later admits a probe.|error-handling|60|code-review|claude|MEDIUM
MEDIUM|internal/llmclient/client.go:357|isBreakerFailure returns true for context.DeadlineExceeded, so a client-side deadline expiry (the per-agent TimeoutSecs in engine.go:438-441 or the global fan-out deadline) records a breaker FAILURE — and on a half-open probe reopens the circuit and restarts the full 60s cooldown — even when the provider is healthy but the caller's own budget ran out. AC10 intends provider timeouts to trip, but does not distinguish a provider stall from a caller-initiated deadline. (Merged: batches 2 and 3 raised the same issue.)|Distinguish the caller's own deadline from a provider stall: when ctx.Err()==DeadlineExceeded originates from an ancestor/agent deadline, treat it like cancellation (ReleaseProbe / record nothing); count only a client request-timeout as a breaker failure. At minimum document the conflation as accepted in isBreakerFailure and the send switch (the order-coupled context.Canceled re-test there is load-bearing).|error-handling|120|code-review|claude|MEDIUM
MEDIUM|internal/llmclient/client.go:321|Redundant error classification branch — isBreakerFailure already returns false for context.Canceled, making the explicit case unreachable if isBreakerFailure is evaluated first.|Remove `case errors.Is(err, context.Canceled)` or reorder.|correctness|2|code-review|bruce|MEDIUM
MEDIUM|internal/fanout/metrics.go:37|recordAgentOutcome zeroes apiCalls for any result whose error unwraps to context.DeadlineExceeded/Canceled, assuming no request was made. But a per-agent timeout routinely fires AFTER real HTTP round-trips (and mid tool-loop after several Chat turns already hit the wire), so atcr_api_calls_total undercounts real provider traffic exactly when a provider is degraded. The no-request assumption is only provably safe for CircuitOpenError and pre-first-send cancellation.|Use max(1, r.Turns) for the deadline case instead of a flat 0, or thread a real calls-attempted counter out of the client rather than inferring from the terminal error class. Keep the apiCalls=0 path only for CircuitOpenError.|performance|60|code-review|claude|MEDIUM
MEDIUM|internal/circuitbreaker/breaker.go:219|Provider name injected into metric label unescaped, may break Prometheus format. metrics.Key(NameCircuitBreakerState, LabelProvider, b.provider) produces a key with the raw provider string, no escaping.|Escape provider label using the metric label encoding helper.|maintainability|10|code-review|code-reviewer|MEDIUM
LOW|internal/circuitbreaker/breaker.go:128|Potential probe leak on panic — the probeInFlight flag is set to true in Allow() but only released in RecordSuccess, RecordFailure, or ReleaseProbe. If the logic between Allow() and these calls panics, the circuit remains half-open indefinitely.|Wrap the call site in internal/llmclient/client.go with a defer that calls ReleaseProbe if no verdict is recorded.|correctness|15|code-review|otto|MEDIUM
LOW|internal/circuitbreaker/breaker.go:87|New accepts any threshold and cooldown with no validation. A threshold<=0 makes RecordFailure's failureCount>=threshold trip on the first failure. Registry.Get always passes sane defaults, but New is exported and documented for direct construction, so a caller passing 0 gets a circuit that trips on a single blip with no error or clamp.|Clamp non-positive threshold to DefaultThreshold and non-positive cooldown to DefaultCooldown inside New (or document and panic). Add a table test passing 0/-1 asserting no trip on a single failure.|maintainability|15|code-review|claude|MEDIUM
LOW|internal/circuitbreaker/breaker.go:99|The half-open probe slot is held for the probe caller's entire call (which may span a multi-second retry/backoff schedule); during that window every other agent fails fast even if the provider recovered. No upper bound or watchdog on slot-hold; a probe that hangs short of cancellation wedges the circuit for the full HTTP timeout. Intentional per design, but the unbounded hold is an availability tradeoff worth documenting. (intent_note: single in-flight half-open probe with concurrent agents failing fast is the accepted design per epic clarifications, Technical Approach.)|Document the max slot-hold = client HTTP timeout and ensure dispatch always returns within it; optionally add a probe-deadline so a wedged probe self-releases.|error-handling|30|code-review|claude|MEDIUM
LOW|internal/circuitbreaker/breaker.go:175|ReleaseProbe unconditionally clears probeInFlight regardless of state, but its doc claims it is a no-op outside half-open. Harmless today (the flag only matters in half-open) but code and comment disagree — a latent trap if the flag semantics ever broaden.|Either gate the clear behind if b.state==StateHalfOpen to match the documented contract, or fix the comment to state it always clears the flag.|maintainability|5|code-review|claude|MEDIUM
LOW|internal/circuitbreaker/breaker.go:199|State transitions update only the Prometheus gauge; there is no log line at open/half-open/close. For a feature whose purpose is detecting provider outages, the lack of a structured log at trip/recover is an observability gap — Epic 4.0 relationship states circuit-breaker state changes should be logged.|Emit a structured log (provider, old->new state, failureCount) inside transition or at open/RecordSuccess call sites. Add a test capturing the logger asserting one line per trip and recovery.|maintainability|30|code-review|claude|MEDIUM
LOW|internal/circuitbreaker/breaker.go:211|setMetric is called while holding b.mu and invokes metrics.Gauge(...), which acquires the metrics registry mutex. No cycle today (metrics never calls back), but holding b.mu across an out-of-package lock for a fixed-per-provider gauge lookup is fragile and unnecessary.|Cache the *gauge pointer in the Breaker struct at New() (the key is fixed per provider) so transitions call only the lockless gauge.Set, removing the cross-package lock acquisition under b.mu.|performance|30|code-review|claude|MEDIUM
LOW|internal/circuitbreaker/registry.go:26|Registry.Get("") is unguarded and would create and cache a real stateful breaker keyed on the empty string. The empty-provider no-op is enforced one layer up in send (client.go:305-307), so production holds, but any future caller that forgets the upstream guard gets a breaker for "" that can trip and fail-fast every unkeyed call.|Have Get("") return a throwaway always-closed breaker (or document/panic) so the no-op invariant lives with the registry rather than depending on every caller pre-checking.|error-handling|30|code-review|claude|MEDIUM
LOW|internal/fanout/engine.go:449|The provider-context bridge sets the provider from a.Provider, which is empty for a directly-constructed agent or a fallback whose registry entry resolved without a provider. An empty provider silently disables the breaker (by design for doctor), so a misconfigured production agent gets NO circuit protection and no warning. (intent_note: empty-provider breaker no-op is intentional per epic clarifications for doctor/direct paths; the production-misconfig warning ask is additive, not a contradiction.)|Log at debug/warn when a tools-enabled production agent reaches invokeAgent with an empty Provider, so a silent breaker bypass is observable; exempt doctor/direct-construction paths.|error-handling|30|code-review|claude|MEDIUM
