HIGH|internal/atomicfs/atomic.go:75|Missing error check on Lstat result|Check errors.Is for fs.ErrNotExist|correctness|5|code-review|REVIEWER|MEDIUM
HIGH|internal/atomicfs/atomic.go:85|Unsafe error handling|Check errors.Is for syscall.EXDEV|correctness|5|code-review|REVIEWER|MEDIUM
LOW|internal/atomicfs/atomic.go:89|bakOld RemoveAll error aborts entire backup even if prior .bak.old doesn't exist|Skip RemoveAll error when bakOld doesn't exist (ENOENT) to avoid unnecessary failure|error-handling|5|code-review|bruce|MEDIUM
MEDIUM|internal/atomicfs/atomic.go:94|Missing entry-time cleanup of .bak.tmp-* stragglers|Add glob/read-dir to remove .bak.tmp-* siblings at start|correctness|10|code-review|bruce|MEDIUM
LOW|internal/atomicfs/atomic.go:110|Unused error variable|Add explicit else branch that sets staged or returns error for non-regular/non-directory|maintainability|10|code-review|REVIEWER|MEDIUM
MEDIUM|internal/atomicfs/atomic.go:110|staged variable may be used uninitialized if info.IsDir() and info.Mode().IsRegular() are both false|Add explicit else branch that sets staged or returns error for non-regular/non-directory|maintainability|10|code-review|bruce|MEDIUM
LOW|internal/atomicfs/atomic.go:120|Unused variable in error message|Remove unused 'got' variable|maintainability|5|code-review|REVIEWER|MEDIUM
LOW|internal/atomicfs/atomic.go:135|Redundant error check|Log or return error if restore fails|maintainability|15|code-review|REVIEWER|MEDIUM
MEDIUM|internal/atomicfs/atomic.go:135|Potential data loss on restore failure|Log or return error if restore fails|maintainability|15|code-review|otto|MEDIUM
MEDIUM|internal/atomicfs/atomic.go:149|swapStagedBackup does not clean up the staged temp file/dir on failure|Remove staged temp on failed swap to avoid leaking .bak.tmp-* artifacts|correctness|15|code-review|bruce|MEDIUM
MEDIUM|internal/atomicfs/atomic.go:155|Staged temp file/dir leaks on swap failure|Add os.RemoveAll(staged) before returning error|error-handling|5|code-review|bruce|MEDIUM
LOW|internal/atomicfs/atomic.go:180|Two independent package-level vars named renameFn with identical doc comments now exist — one in atomicfs (atomic.go:180), one in fanout (reviewdir.go:366). A maintainer patching fault-injection in one may assume it affects the other; worse, backupCrossDevice's inner os.Rename (reviewdir.go:395) bypasses BOTH seams, so cross-device inner-swap atomicity is not test-injectable through either var. The asymmetry is undocumented.|Rename one var (e.g. fanoutRenameFn) or add a comment noting the two are independent and that backupCrossDevice's inner os.Rename bypasses both seams.|maintainability|15|code-review|claude|MEDIUM
MEDIUM|internal/fanout/reviewdir.go:280|Missing error validation|Validate path before Rename|error-handling|5|code-review|REVIEWER|MEDIUM
HIGH|internal/fanout/reviewdir.go:295|Unsafe path concatenation|Use filepath.Join for backup paths|security|5|code-review|REVIEWER|MEDIUM
LOW|internal/fanout/reviewdir.go:300|Inefficient string operations|Use fmt.Sprintf for error messages|maintainability|4|code-review|REVIEWER|MEDIUM
LOW|internal/fanout/reviewdir.go:305|backupOld/backupNew RemoveAll errors abort backup even if stragglers don't exist|Skip RemoveAll errors for non-existent paths to be resilient|error-handling|5|code-review|bruce|MEDIUM
MEDIUM|internal/fanout/reviewdir.go:310|Missing error context|Add context to RemoveAll error|error-handling|5|code-review|REVIEWER|MEDIUM
MEDIUM|internal/fanout/reviewdir.go:318|backupExisting() unconditionally RemoveAll's <path>.bak.old and <path>.bak.new at entry, but forceBackupOutputDir() only calls guardForeignBackup(dir+".bak") — the two staging siblings are not guarded. On an arbitrary --output-dir a user who owns <output-dir>.bak.old or <output-dir>.bak.new has it silently deleted by --force, re-opening the Epic 4.7 "never silently delete user data" contract. NOTE: epic clarification Q4 deliberately scoped the guard to .bak only (atcr-internal suffixes); this finding re-raises that decision as worth reconsidering, not a defect against the recorded scope. (intent_note: deferred per epic §Clarifications Q4 — extending guardForeignBackup to .bak.old/.bak.new is out of scope)|In forceBackupOutputDir() (reviewdir.go:440) extend the guard to guardForeignBackup(dir+".bak.old") and guardForeignBackup(dir+".bak.new") before backupExisting, or refuse if either exists non-empty. Add a test pre-creating a foreign <output-dir>.bak.old with user content and assert --force errors instead of deleting it.|security|60|code-review|claude|MEDIUM
LOW|internal/fanout/reviewdir.go:318|Inefficient directory cleanup|In forceBackupOutputDir() (reviewdir.go:440) extend the guard to guardForeignBackup(dir+".bak.old") and guardForeignBackup(dir+".bak.new") before backupExisting, or refuse if either exists non-empty. Add a test pre-creating a foreign <output-dir>.bak.old with user content and assert --force errors instead of deleting it.|security|60|code-review|REVIEWER|MEDIUM
LOW|internal/fanout/reviewdir.go:328|TOCTOU window between os.Lstat(backup) and the later os.Rename(backup,backupOld) at both swap sites (reviewdir.go:328-329, atomic.go:150-151). Another process or a symlink swap could change what backup is between check and use. Window is tiny and atcr is a single-user dev tool, but the epic's threat model names symlink/TOCTOU, so the accepted risk should be documented.|Document the accepted window as a comment given the single-user trust model, or use renameat/RENAME_NOREPLACE semantics where available.|security|30|code-review|claude|MEDIUM
MEDIUM|internal/fanout/reviewdir.go:332|backupCrossDevice does not clean up backupNew on copy failure|Remove backupNew on copyTree/CopyPath failure to avoid stale staging artifact|correctness|10|code-review|bruce|MEDIUM
MEDIUM|internal/fanout/reviewdir.go:340|backupCrossDevice vacate failure triggers rollback, overwriting successful new backup|Document or handle partial state; backup exists but path not vacated|correctness|15|code-review|greta|MEDIUM
