SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|SOURCE|REVIEWERS|CONFIDENCE
MEDIUM|cmd/atcr/report.go:68|Silent error suppression on ReadAmbiguousClusters hides corrupted or tampered ambiguous.json|Log warning or annotate report output when ambiguous.json read fails|security|10|code-review|greta|MEDIUM
LOW|cmd/atcr/report_test.go:70|Incomplete ambiguous-sidecar test|Assert rendered output contains the gray-zone cluster content|maintainability|3|code-review|bruce|MEDIUM
LOW|internal/mcp/handlers.go:267|MCP handleReport surfaces the radar only embedded in format==md; there is no MCP equivalent of the CLI --disagreements flag, so an MCP client cannot request the focused/ranked radar view or its JSON machine-contract (RenderDisagreementsJSON). The format-to-radar dispatch is also duplicated between cmd/atcr/report.go:57-89 and handlers.go:267-279 (the CLI has a third branch the MCP lacks), the root cause of the parity gap. Out of this epic's ACs but a CLI/MCP-parity TD.|Extract a shared report.RenderReport(w, findings, df, opts) both call sites invoke, and add a disagreements option to ReportArgs mirroring the CLI; or explicitly document the radar as markdown-embed-only over MCP.|maintainability|120|code-review|claude|MEDIUM|intent_note: deferred per epic §Out of Scope
MEDIUM|internal/mcp/handlers.go:267|Silent error suppression on ReadAmbiguousClusters hides corrupted or tampered ambiguous.json|Log warning or annotate report output when ambiguous.json read fails|security|10|code-review|greta|MEDIUM
MEDIUM|internal/reconcile/disagree.go:100|Exact problem match may double-surface gray-zone members with slightly different texts|Use file+line as key for gray-zone exclusion, drop problem|correctness|10|code-review|code-reviewer|MEDIUM
MEDIUM|internal/reconcile/disagree.go:118|Inconsistent out-of-scope normalization: the per-finding check at disagree.go:120 uses exact f.Category == CategoryOutOfScope (case-sensitive, untrimmed) while allOutOfScope (disagree.go:166) lower-cases and trims before comparing. A finding categorized " Out-Of-Scope " is treated as in-scope by the per-finding tier (enters the radar) yet out-of-scope by the cluster guard -- contradictory decisions for the same string. (disagreement: LOW vs MEDIUM)|Route both checks through one normalized helper categoryIsOutOfScope(f.Category) (lower+trim); add a test with " Out-Of-Scope " asserting it is excluded from the radar.|correctness|15|code-review|bruce,claude|HIGH
LOW|internal/reconcile/disagree.go:118|Solo finding condition includes zero reviewers|Route both checks through one normalized helper categoryIsOutOfScope(f.Category) (lower+trim); add a test with " Out-Of-Scope " asserting it is excluded from the radar.|correctness|15|code-review|bruce|MEDIUM
MEDIUM|internal/reconcile/disagree.go:130|The switch treats len(f.Reviewers) <= 1 as a solo finding, so a malformed finding with an EMPTY Reviewers slice (len==0, data corruption) is silently promoted to a solo-tension radar item with a fabricated Independence of 1 via atLeastOne, misrepresenting reviewer count rather than being flagged. (disagreement: LOW vs MEDIUM)|Distinguish len==0 (skip or flag as malformed) from len==1 (true solo); add a test with an empty Reviewers slice asserting it is not surfaced as a normal solo with independence 1.|correctness|15|code-review|code-reviewer,claude|HIGH
LOW|internal/reconcile/disagree.go:159|LoadDisagreements discards the ReadAmbiguousClusters error (clusters, _ := ...) with no log/metric/stderr, so a corrupt or truncated ambiguous.json silently drops every gray-zone cluster across the CLI default-report path and the entire MCP path with zero operator visibility. Compounding it, cmd/atcr/report.go is inconsistent: the --disagreements branch (report.go:59) surfaces the same corrupt-file error as exit 2 while the default md branch (report.go:81) silently degrades -- same file, same corruption, opposite behavior depending on an unrelated flag.|Plumb a logger (the MCP handler already has e.log) or return the error so call sites can warn on degradation; pick one corrupt-ambiguous.json policy and apply it to both report.go paths.|error-handling|30|code-review|claude|MEDIUM
MEDIUM|internal/reconcile/disagree.go:165|Unsafe severity rank lookup in spread calculation (disagreement: LOW vs MEDIUM)|Add check for len(c.Findings) > 0 before accessing index 0|correctness|10|code-review|bruce,otto|HIGH
