# TD_STREAM_MERGED - Reconciled Technical Debt Items
# TARGET: 28.0_telemetry_expansion_cloud_sync (epic)
# SOURCES: claude, multi-agent
# Format: SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|SOURCE|REVIEWERS|CONFIDENCE
# --- DATA BELOW THIS LINE ---
LOW|cmd/atcr/cloudsync.go:96|The final branch of resolveSyncCloudOutcome (preserve an already-coded failure, lines 96-100) is unreachable from both callers: review.go gates the deferred push behind if !cloudSyncPushable(err) return so only a non-coded err reaches it, and reconcile.go only passes nil or the plain exit-1 gateErr. The errors.As(runErr, &runCoded) check can never be true in production.|Drop the dead branch and document that callers guarantee a non-coded runErr, or keep it with a comment/test marking it a defensive backstop for a future caller.|maintainability|15|code-review|claude|MEDIUM
MEDIUM|cmd/atcr/config.go:30|Long help text warns about ATCR_DISABLE_AST_GROUPING direction but does not document what exit code an I/O failure (missing config file) produces|Add exit-code expectation to the Long doc: "on I/O failure (missing/unwritable .atcr/config.yaml) returns exit 1"|observability|10|code-review|mira|MEDIUM
HIGH|cmd/atcr/config.go:41|(newConfigSetCmd) No tests for runConfigSet error branches (unsupported key, invalid bool, repoRoot, SetTelemetrySetting) and success path|Change to return `nil` and call `cmd.Help()` or use a dedicated help command|idiom|45|code-review|dax,otto|HIGH
LOW|cmd/atcr/flags.go:39|Hardcoded production endpoint URL in binary is a maintenance hazard if the backend migrates|Make the default configurable via build-time ldflags or a well-documented constant; document the migration path in the inline comment|configuration|15|code-review|mira,otto|HIGH
LOW|cmd/atcr/flags.go:54|addRangeFlags runs its own validation BEFORE the chained prev hook while addSyncCloudFlags runs prev BEFORE its own logic. Chaining correctly preserves both hooks (nothing dropped), but the opposite ordering is an undocumented easy-to-trip inconsistency: a future precondition needing a specific order will hit surprising behavior on a command that installs both.|Standardize the chain order across both helpers (prev-first or own-first) and document the chosen invariant in a comment.|maintainability|15|code-review|claude|MEDIUM
MEDIUM|cmd/atcr/flags_test.go:28|(TestAddSyncCloudFlags_RegisteredOnReviewAndReconcile) No test verifies placeholder warning absent when --sync-cloud not set or endpoint overridden|Add test cases for warning absence to prevent false positive warnings|testing|15|code-review|dax|MEDIUM
MEDIUM|cmd/atcr/main.go:52|Telemetry Send dispatches a detached goroutine (WithoutCancel + 3s timeout) but nothing drains it before process exit: main.go calls os.Exit immediately after the command returns and production never calls client.Wait (Wait/wg exist but are test-only). Send fires at the very end of the run right before return then os.Exit, so once a real endpoint is wired the 3s request almost never completes and pings are dropped on essentially every run (latent now only because defaultTelemetryEndpoint is empty). Found by two independent reviewers.|Wire a bounded telemetryClient.Wait() (short cap ~1-2s) into main() before os.Exit (or the shutdown path) so an in-flight ping can complete without blocking indefinitely; the existing Wait()/wg seam was built for exactly this.|correctness|60|code-review|claude|MEDIUM
MEDIUM|cmd/atcr/review.go:420|The review telemetry ping computes status from err at review.go:421-424, but there err is only the fanout.ExecuteReview result; the --fail-on/--verify/--debate gate runs later (~lines 501-584). A run where all agents succeed but findings survive the gate (process exits 1) sends telemetry status=success, contradicting the reconcile path which was deliberately moved to send AFTER the gate (TD-009).|Move the review telemetry Send to after the one-shot reconcile/verify/debate/gate resolves the final outcome (mirroring reconcile.go), or compute the telemetry status from the finalized returned error rather than the pre-gate ExecuteReview error.|correctness|60|code-review|claude|MEDIUM
LOW|cmd/atcr/telemetry.go:61|telemetryGate calls registry.LoadTelemetrySetting("."), re-reading and re-parsing .atcr/config.yaml a second time per run. On the review path fanout.LoadReviewConfig(".") already parsed the full project config including Telemetry *bool (project.go:95), and on reconcile resolveGateThreshold already read the config; the already-parsed value is discarded and the file re-read.|Thread the already-loaded cfg.Project.Telemetry (review) / single config read (reconcile) into the gate and call telemetryEnabled(env, cfg.Project.Telemetry) directly, eliminating the redundant disk read and YAML parse.|performance|30|code-review|claude|MEDIUM
LOW|cmd/atcr/telemetry.go:116|dominantLang returns the extension of the single file with the most changed lines; if that dominant file has no extension (Makefile, Dockerfile) it returns empty even when other changed files carry a clear language (e.g. several .go files), and the doc comment says empty only occurs when no file is present or has an extension, misrepresenting this case and yielding a misleading empty lang label.|Fall back to the highest-line file that DOES have an extension, or tighten the comment to state the label is empty whenever the single dominant file lacks an extension.|maintainability|15|code-review|claude|MEDIUM
