# Merged TD Stream from direct review
# SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|EVIDENCE|REVIEWER

MEDIUM|go.mod:13|wazero marked as // indirect but is a direct dependency|Move wazero to the direct require block|maintainability|5|require github.com/tetratelabs/wazero v1.12.0 // indirect — astgroup imports it directly|dax
MEDIUM|internal/astgroup/host.go:185|maxSourceBytes check bypassed on empty src via alloc(1)|Guard maxSourceBytes before empty-src alloc adjustment|correctness|3|if len(src) > maxSourceBytes { return error } then n=1 for empty src|dax
LOW|internal/astgroup/host.go:163|Parser pointer-stability not guaranteed if initErr is non-nil after first success|Cache parser before returning on subsequent calls|correctness|5|if h.initErr != nil after a successful parser was cached, Parser returns error instead of cached parser|dax
LOW|internal/astgroup/cover.go:55|coveringChain descends through non-block nodes but blockIdx increments for skipped blocks|blockIdx should only increment when isBlock(ch) and ch covers the line|correctness|10|blockIdx++ occurs before the line-range check; should move inside the covering branch|dax
LOW|internal/astgroup/grouper.go:93|MerkleHash called on block node which still contains line numbers in its children|Strip line numbers before hashing or ensure MerkleHash ignores them|correctness|5|MerkleHash recurses into children which carry StartLine/EndLine — hash invariance depends on field exclusion|dax
LOW|internal/astgroup/merkle.go:25|MerkleHash includes children's StartLine/EndLine via recursive hash of full Node|Children hashes include line fields, breaking drift invariance|correctness|10|MerkleHash(Node) recurses into Node.Children which embed StartLine/EndLine in their own hash|dax
HIGH|reconcile/grouper.go:49|Incorrectly clusters all file-level findings together|Process all findings in file through grouper, then proximity cluster unkeyed|correctness|15|fileLevel, lined := splitFileLevel(byFile[file]); if len(fileLevel) > 0 { clusters = append(clusters, fileLevel) }|reviewer
MEDIUM|internal/astgroup/grouper.go:118|Potential race condition in cache update|Move cache assignment after successful parsing|correctness|15|g.cache[file] = pf is called before parsing; concurrent calls for same file will get an empty 'ok: false' pf|otto
LOW|go.mod:8|wazero marked indirect but is direct dependency|Run go mod tidy to fix directive|maintainability|1|require github.com/tetratelabs/wazero v1.12.0 // indirect|bruce
MEDIUM|internal/astgroup/host.go:216|Close races with in-flight Parse calls|Add in-flight parse waitgroup or closed flag before closing runtime|correctness|10|runtime.Close can run while wasmParser.Parse holds parser lock|bruce
MEDIUM|internal/astgroup/host.go:190|Unchecked wasm return length can cause OOM|Cap rlen to a safe maximum before memory.Read|security|10|rlen from plugin used directly for slice allocation|greta
MEDIUM|internal/astgroup/grouper.go:62|Symlink escape bypasses path containment|Resolve symlinks with EvalSymlinks before Rel check|security|15|filepath.Clean does not resolve symlinks|greta
HIGH|internal/astgroup/merkle.go:14|MerkleHash uses unbounded recursion on AST depth|Replace with iterative post-order traversal or add depth limit to prevent stack overflow on deeply nested code|correctness|30|Recursive MerkleHash(n Node) calls itself for each child without depth bound|bob
MEDIUM|internal/astgroup/host.go:177|Hardcoded 8MB source limit rejects large files|Make maxSourceBytes configurable via Host option or increase to 64MB with documentation|performance|10|const maxSourceBytes = 1 << 23 caps guest memory but may fall back to proximity on legitimate files|bob
MEDIUM|internal/astgroup/parsers/src/pyparser/main.go:107|scanTripleQuotes heuristic doesn't handle escaped quotes|Add escape-sequence handling or document known limitation for PoC parser|correctness|20|strings.HasPrefix(line[i:], `"""`) misses \"\"\" inside strings causing false block detection|bob
LOW|internal/astgroup/grouper.go:58|Path traversal check uses OS-specific separator|Use filepath.ToSlash(rel) and check for "../" prefix for cross-platform consistency|security|10|strings.HasPrefix(rel, ".."+string(filepath.Separator)) fails on Windows paths with backslash|bob
MEDIUM|internal/astgroup/benchmark_test.go:85|Benchmark requires zero false positives (astFP == 0)|Relax to allow small FP rate (e.g., <1%) or document as strict AC3 gate for PoC|maintainability|5|require.Equal(t, 0, astFP) is brittle for heuristic parsers; may cause flaky CI|bob
MEDIUM|internal/astgroup/cover.go:45|coveringChain returns early on first covering child without verifying non-overlap|Add assertion or comment that AST children have non-overlapping line ranges|correctness|15|for i := range n.Children returns on first match; assumes valid AST with disjoint child spans|bob
LOW|internal/reconcile/grouper.go:54|File-level findings (Line<=0) grouped into single cluster per file|Verify this matches legacy proximity behavior for Line<=0 findings|correctness|10|clusters = append(clusters, fileLevel) groups all file-level findings regardless of line distance|bob
MEDIUM|internal/astgroup/benchmark_test.go:87|Potential division by zero if corpus has no positives|Add require.Greater(t, positives, 0) before division|correctness|2|astRecall := float64(astTP) / float64(positives)|bruce
HIGH|go.mod:12|wazero marked as `// indirect` but `internal/astgroup` directly imports it|Run `go mod tidy` to flip the marker to direct|correctness|5|`internal/astgroup/host.go` imports `github.com/tetratelabs/wazero` directly while require line says `// indirect`|bruce
HIGH|internal/astgroup/parsers/src/goparser/go.mod:5|go.mod requires Go 1.26 which is unreleased/uncertain|Use the actually-installed Go version (e.g. 1.23) so `build.sh` can regenerate the .wasm|correctness|5|`go 1.26` directive; current stable Go is 1.23.x, breaking parser rebuild|onestone
HIGH|internal/astgroup/parsers/src/pyparser/go.mod:3|go.mod requires Go 1.26 which is unreleased/uncertain|Use the actually-installed Go version so `build.sh` can rebuild pyparser.wasm|correctness|5|`go 1.26` directive blocks the manual regeneration path for the Python plugin|onestone
MEDIUM|internal/astgroup/host.go:181|Host.Close() is not idempotent and will error on double-close|Track a `closed bool` and return nil on subsequent calls|error-handling|10|`h.runtime.Close(h.ctx)` errors if runtime is already closed; tests + production both call Close via defer|onestone
MEDIUM|internal/reconcile/gate.go:222|Wazero runtime + WASI imports are eagerly created for every reconcile even when no Go/Python files are present|Lazy-init the grouper on first GroupKey call (or skip construction when opts.Root is empty / no relevant findings)|performance|15|`astGrouperFor(opts.Root)` runs `NewHost()` + `wasi_snapshot_preview1.Instantiate` unconditionally|onestone
MEDIUM|internal/astgroup/host.go:218|maxSourceBytes silently downgrades files >8 MiB to proximity grouping with no log|Log a warning (e.g. `slog.Warn("astgroup: source too large, falling back to proximity", "size", n)`) so users know why AST grouping dropped|maintainability|10|`return Node{}, fmt.Errorf("astgroup: source too large (%d bytes > %d)", ...)` is swallowed by `grouper.treeFor` returning `pf.ok = false`|onestone
MEDIUM|internal/astgroup/host.go:152|wasmParser.mu serializes all parses for the same language, so concurrent findings in one Go/Python file are single-threaded|Maintain a small pool of instantiated wasm modules per language and round-robin calls|performance|30|`p.mu sync.Mutex` wraps every `Parse`; one wasm instance per language caps throughput at one parse at a time|onestone
MEDIUM|internal/astgroup/grouper.go:80|Grouper caches parsed AST keyed by the cleaned `file`, but a symlink or relative-vs-absolute spelling pointing to the same on-disk file yields two cache entries and two parse runs|Normalize via `filepath.EvalSymlinks` after resolving (with containment check still enforced) and cache by that key|performance|15|`filepath.Clean(f.File)` does not collapse `subdir/./x.go` vs `subdir/x.go` symlink targets|onestone
LOW|internal/astgroup/parsers/src/pyparser/main.go:79|scanTripleQuotes heuristic treats `\"\"\"` inside a regular string as opening/closing a triple-quoted block|Mark as known limitation in a comment; this is a PoC parser but the docstring comment overstates correctness|maintainability|5|heuristic does not model backslash escapes; `r"""`/`f"""` work but `\"\"\"` does not|onestone
LOW|internal/astgroup/parsers/src/goparser/main.go:47|`unsafe.Pointer(&b[0])` captured into an int32 key assumes a wasip1 reactor only; a future native build would yield a non-zero-segment pointer|Add a build-tag or `runtime.GOOS == "wasip1"` guard around the wasmexport code so misuse fails fast at build time|correctness|5|host relies on `pins[p] = b` + `int32(uintptr(unsafe.Pointer(&b[0])))`; no assertion this is a wasm context|onestone
LOW|internal/reconcile/astgrouping.go:25|astGrouperFor returns `nil, noop` when disabled but its cleanup is named identically to the active path; readers can confuse them|Rename the disabled branch's cleanup to `noopCleanup` or document the contract inline|maintainability|3|`return nil, func() {}` — cleanup is correct but the indirection obscures intent at the call site|onestone
MEDIUM|internal/astgroup/host.go:221|Missing bounds check on alloc Call result|Check len(res)>0 before accessing res[0]|correctness|5|res[0] panics if wasm alloc returns no values|bruce
MEDIUM|internal/astgroup/host.go:234|Missing bounds check on parse Call result|Check len(pr)>0 before accessing pr[0]|correctness|5|pr[0] panics if wasm parse returns no values|bruce
LOW|internal/astgroup/parsers/build.sh:15|Invalid -buildmode=c-shared for WASI wasm target|Remove -buildmode=c-shared; use plain go build|maintainability|3|c-shared is for C shared libs, not wasm modules|bruce
