# Clean multi-agent stream (archer hallucinations excluded; reviewer labels corrected)
# SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|EVIDENCE|REVIEWER
MEDIUM|internal/scorecard/scorecard.go:118|Error from diagWriter is silently discarded|Log or return the error from fmt.Fprintf|error-handling|5|_, _ = fmt.Fprintf(w, "scorecard: write failed: %v\n", err)|dax
MEDIUM|internal/scorecard/scorecard.go:199|Error from diagWriter is silently discarded|Log or return the error from fmt.Fprintf|error-handling|5|_, _ = fmt.Fprintf(w, "scorecard: write failed: %v\n", err)|dax
MEDIUM|internal/scorecard/scorecard.go:235|Error from diagWriter is silently discarded|Log or return the error from fmt.Fprintf|error-handling|5|_, _ = fmt.Fprintf(w, "scorecard: verification read failed: %v\n", err)|dax
MEDIUM|internal/scorecard/scorecard.go:248|Error from diagWriter is silently discarded|Log or return the error from fmt.Fprintf|error-handling|5|_, _ = fmt.Fprintf(w, "scorecard: verification parse failed: %v\n", err)|dax
MEDIUM|internal/scorecard/scorecard.go:276|Error from diagWriter is silently discarded|Log or return the error from fmt.Fprintf|error-handling|5|_, _ = fmt.Fprintf(w, "scorecard: verification finding %s:%d has no matching raised finding; verdict attribution skipped\n", vfind.File, vfind.Line)|dax
MEDIUM|internal/scorecard/store.go:114|Error from diagWriter is silently discarded|Log or return the error from fmt.Fprintf|error-handling|5|_, _ = fmt.Fprintf(w, "scorecard: skipping over-long line (> %d bytes) in %s\n", maxLineBytes, path)|dax
MEDIUM|internal/scorecard/store.go:145|Error from diagWriter is silently discarded|Log or return the error from fmt.Fprintf|error-handling|5|_, _ = fmt.Fprintf(w, "scorecard: skipping malformed record in %s: %v\n", path, err)|dax
MEDIUM|internal/scorecard/store.go:155|Error from diagWriter is silently discarded|Log or return the error from fmt.Fprintf|error-handling|5|_, _ = fmt.Fprintf(w, "scorecard: skipping record with unsupported schema_version %d (> %d) in %s\n", r.SchemaVersion, SchemaVersion, path)|dax
MEDIUM|internal/scorecard/store.go:211|Error from diagWriter is silently discarded|Log or return the error from fmt.Fprintf|error-handling|5|_, _ = fmt.Fprintf(diagWriter(opts.Writer), "scorecard: run %s spans adjacent month files (clock skew or late write)\n", runID)|dax
HIGH|internal/scorecard/store.go:30|diagWriter misses typed-nil io.Writer (non-nil interface wrapping nil pointer)|Use reflect.ValueOf(w).IsNil() check or recover wrapper|correctness|15|var buf *bytes.Buffer; diagWriter(io.Writer(buf)) != nil → panic on Write|greta
LOW|internal/scorecard/store.go:194|Redundant call to diagWriter|Remove diagWriter call and use opts.Writer directly since ReadRecords already resolves it|performance|2|`fmt.Fprintf(diagWriter(opts.Writer), ...)` called after `w := diagWriter(opts.Writer)` is already available in the call chain|otto
LOW|internal/scorecard/store.go:208|Inconsistent writer resolution in FindByRunID|Use the already-resolved `w` variable instead of calling `diagWriter(opts.Writer)` again|maintainability|5|`diagWriter(opts.Writer)` called again despite `w := diagWriter(opts.Writer)` at line 191|bob
