# Merged TD Stream from direct review
# SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|EVIDENCE|REVIEWER

LOW|action.yml:74|Potential shell injection via input interpolation|Use environment variables for all inputs in the `run` block to avoid script injection|security|10|`BASE_REF="$BASE_REF_INPUT"` is used, but `PR_BASE_REF` is interpolated via `${{ github.base_ref }}` in `env:` which is safe, but the pattern is inconsistent|otto
HIGH|action.yml:93|HEAD_SHA prefers PR head commit which does not exist for fork PRs|Use github.sha merge commit SHA for all events|correctness|5|github.event.pull_request.head.sha unavailable on forks; check run posts to base repo|atcr-reviewer
MEDIUM|internal/ghaction/comments.go:50|Unsanitized markdown in PR inline comments|Sanitize or escape f.Problem and f.Fix to prevent malicious markdown/HTML rendering|security|10|fmt.Fprintf(&b, "ATCR found: %s.", strings.TrimSpace(f.Problem))|greta
LOW|internal/ghaction/render.go:63|Incomplete markdown sanitization for check output table|Escape additional markdown control characters to prevent formatting breaks|security|5|cell() only replaces pipes and newlines|greta
HIGH|cmd/atcr/github.go:8|missing import "path/filepath"|Add import "path/filepath"|correctness|5|See anchorDir and readReconciledFindings using filepath without import|atcr_bot
MEDIUM|cmd/atcr/github.go:150|postInlineComments treats all errors as failures, including expected 422; should distinguish 422 and only count non-422 errors as failures for systemic problem detection|correctness|30|See loop in postInlineComments where any error increments failed|atcr_bot|bob2
MEDIUM|internal/ghaction/comments.go:43|Markdown injection via Problem/Fix/executor fields in PR comment body|Backtick-escape or strip markdown from user-controlled fields before rendering|security|15|fmt.Fprintf inserts f.Problem/f.Fix raw into markdown rendered on PR|atcr-reviewer
MEDIUM|internal/ghaction/render.go:74|Markdown injection in check-run table cells via Problem/Confidence|Sanitize markdown in cell() (e.g., wrap in backticks, strip links/emphasis)|security|15|cell() only escapes | and newlines; [text](url) renders as clickable link|atcr-reviewer
LOW|internal/ghaction/render.go:140|Check-run Summary duplicates Title verbatim|Use a distinct summary (e.g., gate verdict line) so the check UI shows different text|maintainability|5|return CheckOutput{Title: title, Summary: title, Text: b.String()}|atcr-reviewer
LOW|action.yml:55|actions/setup-go pinned to floating major tag, not commit SHA|Pin to a full commit SHA to harden the composite action's supply chain|security|5|uses: actions/setup-go@v5|atcr-reviewer
HIGH|action.yml:70|Invalid GitHub Actions expression syntax|Use conditional logic in shell step instead of || in expression|correctness|10|`HEAD_SHA: ${{ github.event.pull_request.head.sha || github.sha }}` uses unsupported || operator|bruce
MEDIUM|action.yml:53|BASE_REF fallback produces invalid ref when github.base_ref empty|Add check for empty PR_BASE_REF before constructing origin/ ref|correctness|5|`BASE_REF="origin/$PR_BASE_REF"` becomes "origin/" if base_ref empty|bruce
MEDIUM|internal/ghaction/client.go:70|Missing User-Agent header required by GitHub API|Add User-Agent header to HTTP requests|security|5|GitHub API rejects requests without User-Agent header|bruce
LOW|internal/ghaction/render.go:33|FixAttribution parsing assumes exact "; fix by " delimiter|Make parsing more robust to whitespace variations in evidence|maintainability|10|Splits on "; " but evidence may have inconsistent spacing|bruce
LOW|cmd/atcr/github.go:33|usageArgs function not defined in file|Verify usageArgs is imported/defined in package|maintainability|5|Args: usageArgs(cobra.MaximumNArgs(1)) references undefined function|bruce
MEDIUM|cmd/atcr/github.go:125|No rate-limit handling for bulk comment posts|Add sleep/backoff between API calls|performance|10|for _, c := range comments { client.CreateReviewComment...|bruce
LOW|action.yml:37|Cache path uses absolute action path|Use relative path like go.sum|maintainability|2|cache-dependency-path: ${{ github.action_path }}/go.sum|bruce
MEDIUM|action.yml:78|Malformed base ref origin/ when triggered on non-pull_request events|Fail fast with a clear error if github.event_name != pull_request and inputs.base-ref is empty|correctness|10|action.yml BASE_REF fallback produces origin/ when PR_BASE_REF is empty on push events|bruce
MEDIUM|cmd/atcr/github.go:148-167|Sequential inline comment posting is slow for PRs with many findings|Use GitHub's batch POST /repos/{owner}/{repo}/pulls/{pull_number}/reviews endpoint|performance|45|postInlineComments loops one HTTP request per finding via client.CreateReviewComment|bruce
MEDIUM|internal/ghaction/client.go:80-115|No retry on transient GitHub API failures (5xx/429/network)|Add exponential backoff retry for transient status codes and network errors|error-handling|30|client.post returns immediately on any non-2xx or network error without retry|bruce
MEDIUM|internal/ghaction/render.go:114-115|Truncation count can read "0 of N shown" when first row exceeds byte budget|Track a separate shownCount variable incremented after WriteString, not the loop index i|correctness|10|BuildCheckOutput uses loop index i for shown count; at i=0 message says 0 of 100|bruce
LOW|cmd/atcr/github.go:128-130|Conclusion is computed twice for the same findings/failOn inputs|Reuse the first conclusion value or pass it into BuildCheckOutput|performance|5|runGithub calls Conclusion then BuildCheckOutput which calls Conclusion again internally|bruce
LOW|action.yml:51|cache-dependency-path assumes go.sum exists at github.action_path|Verify the file exists or fall back to github.action_path/go.mod|correctness|10|actions/setup-go@v5 cache step references github.action_path/go.sum which may not exist|bruce
LOW|internal/ghaction/client.go:27|Hard-coded 30s HTTP timeout may be insufficient on slow networks|Make timeout configurable via Client field with longer default|performance|5|httpClient returns &http.Client{Timeout: 30 * time.Second}; no override hook|bruce
LOW|internal/ghaction/render.go:40|FixAttribution may parse evidence prose starting with "fix by " as executor name, causing misleading attribution|Require token to be the last semicolon-separated segment or validate against known executor names|correctness|10|segment "fix by hand" would return "hand"|reviewer
LOW|docs/ci-integration.md:23|Out of scope reference to GitHub Action|Remove or update to reflect current implementation|maintainability|1|References an action that is not part of the current scope|REVIEWER
