LOW|internal/fanout/ingest_review_test.go:159|Unused t.Setenv("ATCR_TEST_KEY", "secret") in test|Remove the unused env var line — it is set but never read|maintainability|2|code-review|bruce,claude|HIGH
MEDIUM|internal/fanout/review.go:354|Internal error uses CLI flag names|Use parameter names OutputDir and IDOverride|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/fanout/review.go:375|Unbounded strings.Builder causes reallocations|Pre-size strings.Builder with Grow before the loop to avoid repeated reallocations|performance|10|code-review|bruce|MEDIUM
MEDIUM|internal/fanout/review.go:375|ForceMode overrides agent config unconditionally|Only apply forceMode when the review request explicitly requests diff ingestion, preserving agent config otherwise|performance|10|code-review|bruce|MEDIUM
LOW|internal/payload/ingest.go:163|The trailing-empty-line tolerance `if lines[i] == "" && i == n-1` in looseSectionStarts handles exactly ONE trailing empty line. A loose diff ending in `\n\n` (a final blank context line plus the terminating newline) produces two empty trailing lines; the guard skips only the last, then looseHeaderAt runs on the penultimate empty line and the parse errors with "unexpected content". Confirmed empirically: a diff ending `...+b\n\n` is rejected. A blank trailing line is benign and should round-trip, not abort ingestion.|In looseSectionStarts, loop the trailing-empty-line skip to consume all trailing "" lines (not just i==n-1), or treat a blank line inside an open hunk as a context line. Add a fixture ending in `\n\n` asserting successful round-trip.|error-handling|15|code-review|claude|MEDIUM
HIGH|internal/payload/ingest.go:185|Trailing `\ No newline at end of file` markers are silently discarded instead of being attached to their hunk, causing the outer parser to abort with an unexpected-content error for an otherwise valid loose unified diff.|Collect backslash-prefixed no-newline markers into the current hunk immediately after the counted body lines are exhausted. Add fixtures carrying `\ No newline at end of file` on the last hunk line and on an interior file of a multi-file loose diff; assert both round-trip verbatim.|correctness|120|code-review|claude|MEDIUM
MEDIUM|internal/payload/ingest.go:179|Inflated hunk counts from an untrusted diff are trusted blindly, allowing the body parser to swallow the next file's header triple and silently merge two distinct files into one entry. Because the bytes are still preserved the round-trip contract test passes, so this corruption is invisible to existing tests, but it is reachable from malformed/hostile externally-sourced diffs that the epic explicitly anticipates ingesting.|Cap body consumption at the next old-path/new-path/hunk marker boundary and emit a parse error when a hunk claims more lines than it actually contains. Add a two-file fixture with an over-counted first hunk; assert both files are parsed separately.|security|120|code-review|claude|MEDIUM
LOW|internal/payload/ingest.go:218|strings.Split allocates slice for entire section|Use strings.IndexByte loop to iterate|performance|5|code-review|bruce|MEDIUM
LOW|internal/payload/ingest.go:234|splitLinesWithOffsets builds two parallel slices (lines and offsets) sized to the full line count of a diff up to DefaultMaxDiffBytes (10 MiB) with no pre-sized capacity, so both grow by repeated append/realloc; diffSectionPath then re-runs strings.Split(section, "\n") per file, allocating a third whole-section copy. The work is linear and cap-bounded (not a DoS), but it is an avoidable allocation spike on the ingestion hot path for large multi-file diffs.|Pre-size the slices with bytes.Count(s, "\n")+1, and restructure diffSectionPath to scan only the section's leading header-triple lines instead of splitting the entire section body. Verify allocation count via a benchmark on a large multi-file diff.|performance|30|code-review|claude|MEDIUM
MEDIUM|internal/payload/ingest.go:293|Unvalidated path extraction from untrusted diff content|Sanitize extracted paths or reject traversal sequences before returning FileEntry|security|15|code-review|greta|MEDIUM
LOW|internal/payload/ingest.go:307|headPathFromGitHeader extracts the head path by taking everything after the LAST ` b/` token via strings.LastIndex. For a path that itself contains ` b/` (e.g. `diff --git a/my b/dir.go b/my b/dir.go`) it selects the wrong boundary and returns "dir.go" instead of "my b/dir.go". Confirmed empirically. Impact is narrow: it only affects header-only git sections (binary/mode-only) with no new-path header line — the new-path line is preferred when present — and spaced paths containing ` b/` are uncommon, but the file is silently mislabeled in the review.|For the header-only fallback, the `diff --git` format is genuinely ambiguous for spaced paths; at minimum document the limitation in the diagnostic, or split the header at its midpoint using the matching `a/` prefix length. Low priority given rarity. Add a binary-section fixture with a spaced ` b/` path.|correctness|30|code-review|claude|MEDIUM
LOW|internal/payload/ingest.go:322|Lexical path guard bypassable via symlinks|Use filepath.EvalSymlinks or explicitly document symlink risk for untrusted trees|security|5|code-review|greta|MEDIUM
