# Merged TD Stream from direct review
# SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|EVIDENCE|REVIEWER

LOW|internal/reconcile/disagree.go:461|Potential for inconsistent escaping if renderText doesn't escape|The `RadarTextRenderer` type is a generic `func(string) string`. If a caller passes a renderer that does not perform escaping (unlike `esc` or `escTrunc`), it could introduce markdown injection vulnerabilities in the Problem/Detail fields.|correctness|15|`renderText(it.Problem)` assumes the provided function handles escaping|otto
MEDIUM|internal/reconcile/disagree.go:413|RadarTextRenderer func parameter lacks enforced escaping contract|Document requirement or wrap in interface to guarantee escaping and prevent future XSS|security|10|func(string) string allows identity pass-through by caller|greta
LOW|internal/report/disagree.go:27|escTrunc may truncate raw input before escaping causing malformed output|Ensure truncation occurs after escaping or on safe rune boundaries|security|5|escTrunc(500-rune cap) applied to free-text fields|greta
MEDIUM|internal/reconcile/disagree.go:436|Missing nil check for renderText|Add nil check or panic|error-handling|2|renderText(it.Problem) called without nil check|bruce
MEDIUM|internal/reconcile/disagree.go:439|Missing nil check for renderText|Add nil check or panic|error-handling|2|renderText(it.Detail) called without nil check|bruce
MEDIUM|internal/reconcile/disagree.go:468|Missing nil check for renderText|Add nil check or panic|error-handling|2|renderText(p.Problem) called without nil check|bruce
MEDIUM|internal/report/disagree_test.go:0|Missing test file update per sprint plan scope|Update tests to remove references to deleted functions (writeRadarSection, writeRadarItems, formatScore, reviewerOrUnknown)|correctness|10|Sprint plan lists this file in scope; diff omits it; tests would fail to compile if they reference removed funcs|bruce
MEDIUM|internal/report/disagree_test.go:0|Missing test file update per sprint plan scope|Update tests if they reference removed helpers (writeRadarSection, writeRadarItems, formatScore, reviewerOrUnknown)|correctness|10|Sprint plan lists this file as in-scope; removed internal helpers in internal/report/disagree.go may break test compilation|bruce
MEDIUM|internal/report/disagree_test.go:0|Missing test file update per sprint plan scope|Update tests if they reference removed internal helpers (writeRadarSection, writeRadarItems, formatScore, reviewerOrUnknown) or update test fixtures if needed|correctness|10|Sprint plan lists this file as in-scope; diff removes helpers that may be referenced in the test file|bruce
MEDIUM|internal/report/disagree_test.go:0|Missing test file update per sprint plan scope|Update tests to remove references to deleted helpers (writeRadarSection, writeRadarItems, formatScore, reviewerOrUnknown) or confirm no test changes are needed|correctness|10|Sprint plan lists this file as in-scope; diff removes internal helpers in internal/report/disagree.go that tests may reference|bruce
MEDIUM|internal/report/disagree_test.go:1|Sprint plan lists this file as in-scope but diff omits it|Update tests to remove references to deleted helpers; if no test references exist, document why|correctness|10|internal/report/disagree.go diff removed writeRadarSection/writeRadarItems/formatScore/reviewerOrUnknown; tests may reference them|bruce
MEDIUM|internal/report/disagree_test.go:1|Sprint plan lists this file as in-scope but diff omits it|Update tests to remove references to deleted helpers; if no test references exist, document why|correctness|10|internal/report/disagree.go diff removed writeRadarSection/writeRadarItems/formatScore/reviewerOrUnknown; tests may reference them|bruce
MEDIUM|internal/report/disagree_test.go:1|Sprint plan lists this file as in-scope but diff omits it|Update tests to remove references to deleted helpers; if no test references exist, document why|correctness|10|internal/report/disagree.go diff removed writeRadarSection/writeRadarItems/formatScore/reviewerOrUnknown; tests may reference them|bruce
MEDIUM|internal/report/disagree_test.go:1|Sprint plan lists this file as in-scope but diff omits it|Update tests to remove references to deleted helpers; if no test references exist, document why|correctness|10|internal/report/disagree.go diff removed writeRadarSection/writeRadarItems/formatScore/reviewerOrUnknown; tests may reference them|bruce
MEDIUM|internal/report/disagree_test.go:1|Sprint plan lists this file as in-scope but diff omits it|Update tests to remove references to deleted helpers; if no test references exist, document why|correctness|10|internal/report/disagree.go diff removed writeRadarSection/writeRadarItems/formatScore/reviewerOrUnknown; tests may reference them|bruce
MEDIUM|internal/report/render_test.go:1|Sprint plan lists render tests as in-scope; diff updates internal/report/render.go which may have rendered output tests needing fixture updates|Verify test fixtures still produce byte-identical output with the new shared renderer; update if needed|correctness|10|render.go now uses reconcile.WriteRadarSection; if tests snapshot the rendered output, fixtures may need updates|bruce
MEDIUM|internal/report/disagree_test.go:1|Sprint plan lists this file as in-scope but diff omits it|Update tests to remove references to deleted helpers; if no test references exist, document why|correctness|10|internal/report/disagree.go diff removed writeRadarSection/writeRadarItems/formatScore/reviewerOrUnknown; tests may reference them|bruce
MEDIUM|internal/report/disagree_test.go:1|Sprint plan lists this file as in-scope but diff omits it|Update tests to remove references to deleted helpers; if no test references exist, document why|correctness|10|internal/report/disagree.go diff removed writeRadarSection/writeRadarItems/formatScore/reviewerOrUnknown; tests may reference them|bruce
MEDIUM|internal/report/disagree_test.go:1|Sprint plan lists this file as in-scope but diff omits it|Update tests to remove references to deleted helpers; if no test references exist, document why|correctness|10|internal/report/disagree.go diff removed writeRadarSection/writeRadarItems/formatScore/reviewerOrUnknown; tests may reference them|bruce
MEDIUM|internal/report/disagree_test.go:1|Sprint plan requires test updates but diff omits report test file|Update tests to remove references to deleted helpers; if no test references exist, document why|correctness|10|internal/report/disagree.go diff removed 4 internal helpers; tests may reference them|bruce
MEDIUM|internal/report/disagree_test.go:1|Sprint plan requires test updates but diff omits report test file|Update tests to remove references to deleted helpers; if no test references exist, document why|correctness|10|internal/report/disagree.go diff removed 4 internal helpers; tests may reference them|bruce
MEDIUM|internal/report/disagree_test.go:1|Sprint plan requires test updates but diff omits report test file|Update tests to remove references to deleted helpers; if no test references exist, document why|correctness|10|internal/report/disagree.go diff removed 4 internal helpers; tests may reference them|bruce
MEDIUM|internal/report/disagree_test.go:1|Sprint plan requires test updates but diff omits report test file|Update tests to remove references to deleted helpers; if no test references exist, document why|correctness|10|internal/report/disagree.go diff removed writeRadarSection/writeRadarItems/formatScore/reviewerOrUnknown; tests may reference them|bruce
