HIGH|internal/debate/cluster.go:13|Misleading comment|Update comment to reflect ClusterID-based filtering|maintainability|2|code-review|bruce|MEDIUM
HIGH|internal/debate/cluster.go:62|Early return optimization|Move len(mergedIDs)==0 check before item loop|performance|2|code-review|bruce|MEDIUM
LOW|internal/debate/cluster_test.go:92|Overly specific test assertion|Assert on Problem field instead of item identity|maintainability|3|code-review|bruce|MEDIUM
LOW|internal/debate/cluster_test.go:118|Incomplete legacy test|Missing assertion that ClusterID field is absent in legacy finding|maintainability|3|code-review|bruce|MEDIUM
LOW|internal/debate/cluster_test.go:471|TestFilterMergedClusters_LegacyEmptyClusterIDDoesNotSuppress asserts that an empty-ClusterID merged record suppresses nothing, but the test only covers the single-cluster case; it does not verify the multi-cluster mixed-data scenario (one legacy record + one new ID-stamped record) where the legacy record must still suppress nothing while the new record suppresses its own cluster.|Add a sub-case with two clusters and a findings slice containing one legacy (no ClusterID) and one new (ClusterID set) merged survivor; assert only the new-ID cluster's item is suppressed.|correctness|10|code-review|bruce|MEDIUM
LOW|internal/debate/debate.go:123|runDebate now passes clusterIdx into filterMergedClusters, but grayClusters is empty when there are no gray-zone members; indexClusters still allocates an empty map. This is a no-op cost but worth noting since the call sits on every reconcile path.|Inline a guard `if len(grayClusters)==0 { df.Items = filterMergedClusters(df.Items, findings, nil) }` or have filterMergedClusters accept nil and document it; current cost is negligible (empty map alloc) so this is purely a clarity note.|performance|3|code-review|bruce|MEDIUM
LOW|internal/reconcile/emit.go:66|The JSONFinding type doc comment still describes it as the AC 01-06 schema mentioning only the reserved Verification field. It was not updated as Epics 5.0/5.4/6.0/6.1/6.2 each appended an omitempty field (path_valid, path_warning, path_suggestion, cluster_merged, cluster_id), so the header materially understates the current schema.|Add one line to the type doc noting the schema is additively extended by later epics (path-validation 5.x, cross-exam 6.x) and that all such fields are omitempty for backward byte-compatibility.|maintainability|15|code-review|claude|MEDIUM
LOW|internal/reconcile/emit.go:122|No test pins the negative invariant that JSONFindings()/RenderJSON never emit cluster_id or cluster_merged. The AC1 byte-identity guarantee currently rests only on the Merged struct lacking those fields; a future maintainer who adds ClusterID to Merged and wires it into JSONFindings would silently break AC1 and no reconcile-package test would fail (existing tests only marshal a hand-built JSONFinding).|Add a test that builds a Result with findings and asserts RenderJSON/JSONFindings output contains neither cluster_id nor cluster_merged, locking the reconcile-path-never-stamps contract.|testing|30|code-review|claude|MEDIUM
HIGH|internal/debate/cluster.go:20|Misleading comment|Collapse to one exported helper in reconcile (e.g. reconcile.ClusterDisplayProblem) called by both grayZoneItem and indexClusters, eliminating the drift surface. Verify existing debate idempotency tests still pass.|maintainability|30|code-review|bruce|MEDIUM
LOW|internal/debate/cluster.go:20|clusterDisplayProblem duplicates reconcile.longestProblem (longest PROBLEM among members, strict-greater-than tie-break keeping the first). Idempotency correctness depends on the two staying identical forever: grayZoneItem sets it.Problem via longestProblem, indexClusters keys via clusterDisplayProblem, and the lookup matches only if they agree. The coupling is pinned by TestIndexClusters_RoundTripsBuildDisagreementsProblem but lives as two separate impls across packages.|Collapse to one exported helper in reconcile (e.g. reconcile.ClusterDisplayProblem) called by both grayZoneItem and indexClusters, eliminating the drift surface. Verify existing debate idempotency tests still pass.|maintainability|30|code-review|claude|MEDIUM
MEDIUM|internal/debate/cluster.go:43|filterMergedClusters now takes clusterIdx but no nil check; a nil/empty map is safe for reads (returns zero value, ok=false), but a caller passing nil by mistake silently treats every gray-zone item as not-suppressed, defeating idempotency on every re-run until noticed.|Fast-path also when no finding carries a non-empty ClusterID (i.e. mergedIDs is empty), and additionally short-circuit gray-zone scan when no item has a gray-zone cluster whose ID could match — though the current `len(mergedIDs)==0` check is the primary gate. Verify gate still triggers on legacy-only data.|correctness|5|code-review|bruce|MEDIUM
HIGH|internal/debate/cluster.go:43|filterMergedClusters returns items unchanged only when len(mergedIDs)==0; if legacy pre-6.2 merged records exist (ClusterMerged=true, ClusterID=""), filter still does a full pass instead of fast-pathing out, wasting work proportional to gray-zone count on every legacy-data re-run.|Fast-path also when no finding carries a non-empty ClusterID (i.e. mergedIDs is empty), and additionally short-circuit gray-zone scan when no item has a gray-zone cluster whose ID could match — though the current `len(mergedIDs)==0` check is the primary gate. Verify gate still triggers on legacy-only data.|correctness|5|code-review|bruce|MEDIUM
HIGH|internal/debate/cluster.go:55|Missing null check for clusterIdx lookup|Store cluster lookup result to avoid double map access|performance|10|code-review|bruce|MEDIUM
HIGH|internal/debate/cluster.go:55|Inefficient repeated clusterIdx lookup|Store cluster lookup result to avoid double map access|performance|10|code-review|bruce|MEDIUM
HIGH|internal/debate/cluster.go:55|Incorrect suppression logic|Store cluster lookup result to avoid double map access|performance|10|code-review|bruce|MEDIUM
HIGH|internal/debate/cluster.go:55|Unnecessary computation|Store cluster lookup result to avoid double map access|performance|10|code-review|bruce|MEDIUM
LOW|internal/debate/cluster.go:66|Potential for silent re-debate on problem drift|Make indexClusters value a slice (map[FindingKey][]AmbiguousCluster) and have filterMergedClusters suppress an item only when SOME cluster at that key carries a merged ID, or key the radar item to its cluster by the stable AmbiguousCluster.ID rather than File+Line+longestProblem. Add a test with two distinct clusters sharing File+Line+longest-problem asserting the non-merged one survives.|correctness|120|code-review|otto|MEDIUM
LOW|internal/debate/cluster.go:66|Potential nil map panic if indexClusters returns nil|Make indexClusters value a slice (map[FindingKey][]AmbiguousCluster) and have filterMergedClusters suppress an item only when SOME cluster at that key carries a merged ID, or key the radar item to its cluster by the stable AmbiguousCluster.ID rather than File+Line+longestProblem. Add a test with two distinct clusters sharing File+Line+longest-problem asserting the non-merged one survives.|correctness|120|code-review|bruce|MEDIUM
LOW|internal/debate/cluster.go:66|filterMergedClusters allocates a full-capacity out slice and copies every item whenever at least one merged ID exists, even though the typical re-run suppresses 0-1 of N items. The early return at line 68 only covers the no-merged-records case.|Make indexClusters value a slice (map[FindingKey][]AmbiguousCluster) and have filterMergedClusters suppress an item only when SOME cluster at that key carries a merged ID, or key the radar item to its cluster by the stable AmbiguousCluster.ID rather than File+Line+longestProblem. Add a test with two distinct clusters sharing File+Line+longest-problem asserting the non-merged one survives.|correctness|120|code-review|claude|MEDIUM
HIGH|internal/debate/cluster.go:66|Nil clusterIdx causes panic on gray-zone item|Make indexClusters value a slice (map[FindingKey][]AmbiguousCluster) and have filterMergedClusters suppress an item only when SOME cluster at that key carries a merged ID, or key the radar item to its cluster by the stable AmbiguousCluster.ID rather than File+Line+longestProblem. Add a test with two distinct clusters sharing File+Line+longest-problem asserting the non-merged one survives.|correctness|120|code-review|bruce|MEDIUM
MEDIUM|internal/debate/cluster.go:66|FindingKey lookup uses item.Problem which may not match cluster's representative problem|Make indexClusters value a slice (map[FindingKey][]AmbiguousCluster) and have filterMergedClusters suppress an item only when SOME cluster at that key carries a merged ID, or key the radar item to its cluster by the stable AmbiguousCluster.ID rather than File+Line+longestProblem. Add a test with two distinct clusters sharing File+Line+longest-problem asserting the non-merged one survives.|correctness|120|code-review|bruce|MEDIUM
