# Merged TD Stream from direct review
# SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|EVIDENCE|REVIEWER

MEDIUM|internal/fanout/reviewdir.go:340|backupCrossDevice vacate failure triggers rollback, overwriting successful new backup|Skip restore if swap succeeded or handle vacate error separately|correctness|15|restorePriorBackup called after backupCrossDevice fails on RemoveAll(path)|greta
LOW|internal/atomicfs/atomic.go:120|Unused variable in error message|Remove unused 'got' variable|maintainability|5|Error variable 'got' from ReadFile is unused|REVIEWER
LOW|internal/fanout/reviewdir.go:320|Inefficient directory cleanup|Use os.RemoveAll for empty dirs|performance|10|Empty dir removal uses custom logic, should use os.RemoveAll|REVIEWER
HIGH|internal/atomicfs/atomic.go:75|Missing error check on Lstat result|Check errors.Is for fs.ErrNotExist|correctness|5|Lstat error handling only checks for fs.ErrNotExist, ignores other errors|REVIEWER
HIGH|internal/fanout/reviewdir.go:295|Unsafe path concatenation|Use filepath.Join for backup paths|security|5|String concatenation for file paths may cause issues on different OS|REVIEWER
LOW|internal/atomicfs/atomic.go:135|Redundant error check|Remove duplicate error check|maintainability|3|Duplicate check for os.Lstat(bak) after already checking in if block|REVIEWER
MEDIUM|internal/fanout/reviewdir.go:310|Missing error context|Add context to RemoveAll error|error-handling|5|Error from os.RemoveAll lacks path context for debugging|REVIEWER
LOW|internal/fanout/reviewdir.go:300|Inefficient string operations|Use fmt.Sprintf for error messages|maintainability|4|Repeated string concatenation in error messages reduces readability|REVIEWER
HIGH|internal/atomicfs/atomic.go:85|Unsafe error handling|Check errors.Is for syscall.EXDEV|correctness|5|EXDEV error check uses direct comparison instead of errors.Is|REVIEWER
MEDIUM|internal/fanout/reviewdir.go:280|Missing error validation|Validate path before Rename|error-handling|5|Path validation missing before os.Rename call|REVIEWER
LOW|internal/atomicfs/atomic.go:110|Unused error variable|Remove unused error variable|maintainability|3|Error variable 'err' from os.Lstat is unused in if block|REVIEWER
MEDIUM|internal/atomicfs/atomic.go:138|Potential data loss on restore failure|Log or return error if restore fails|correctness|15|`_ = os.Rename(bakOld, bak)` ignores failure during critical recovery|otto
MEDIUM|internal/fanout/reviewdir.go:365|Potential data loss on restore failure|Log or return error if restore fails|correctness|15|`_ = os.Rename(backupOld, backup)` ignores failure during critical recovery|otto
MEDIUM|internal/atomicfs/atomic.go:112|staged variable may be used uninitialized if info.IsDir() and info.Mode().IsRegular() are both false|Add explicit else branch that sets staged or returns error for non-regular/non-directory|correctness|10|staged declared with `var staged string` but only set in if/else branches; if src is neither dir nor regular, staged is "" and passed to swapStagedBackup|bruce
MEDIUM|internal/atomicfs/atomic.go:149|swapStagedBackup does not clean up the staged temp file/dir on failure|Remove staged temp on failed swap to avoid leaking .bak.tmp-* artifacts|correctness|15|On renameFn failure, the staged temp (tmpDir or tmpFile) is not removed; caller only returns error|bruce
MEDIUM|internal/fanout/reviewdir.go:332|backupCrossDevice does not clean up backupNew on copy failure|Remove backupNew on copyTree/CopyPath failure to avoid stale staging artifact|correctness|10|If atomicfs.CopyPath fails, backupNew may be left behind; only entry-time reconcile cleans it later|bruce
MEDIUM|internal/fanout/reviewdir.go:343|backupCrossDevice leaves path unvacated if RemoveAll(path) fails after successful backup swap|Document or handle partial state; backup exists but path not vacated|correctness|10|If os.RemoveAll(path) fails after rename, backup is in place but path is not vacant — inconsistent postcondition|bruce
LOW|internal/atomicfs/atomic.go:89|bakOld RemoveAll error aborts entire backup even if prior .bak.old doesn't exist|Skip RemoveAll error when bakOld doesn't exist (ENOENT) to avoid unnecessary failure|error-handling|5|os.RemoveAll returns nil for non-existent path, but any other error (e.g. permission) aborts backup; could be overly strict|bruce
LOW|internal/fanout/reviewdir.go:305|backupOld/backupNew RemoveAll errors abort backup even if stragglers don't exist|Skip RemoveAll errors for non-existent paths to be resilient|error-handling|5|Same pattern as atomic.go; permission errors on stale cleanup should not block backup|bruce
MEDIUM|internal/atomicfs/atomic.go:94|Missing entry-time cleanup of .bak.tmp-* stragglers|Add glob/read-dir to remove .bak.tmp-* siblings at start|correctness|10|Sprint plan requires reconciling .bak.tmp-* at entry; only .bak.old is cleared|bruce
MEDIUM|internal/atomicfs/atomic.go:155|Staged temp file/dir leaks on swap failure|Add os.RemoveAll(staged) before returning error|error-handling|5|swapStagedBackup returns error without cleaning staged|bruce
