# atcr-findings/v1
LOW|cmd/atcr/home.go:127|"unavailable" with empty reviewID uses ambiguous message|See note in findings — the message "Latest review pointer is unreadable" is technically correct but conflates "pointer file unreadable" with "review directory unreadable"; the user may not understand whether they need to fix the pointer or simply run a new review|correctness|10|fmt.Fprintln(w, "Latest review pointer is unreadable — run `atcr review` to start a fresh one.")|bruce
MEDIUM|internal/report/home_test.go:63|Golden test hardcodes Unix forward-slash paths but relHome uses platform filepath.Separator — golden passes while real code path produces backslash paths on Windows|Use filepath.FromSlash("~/go/bin/atcr") for ExecPath in golden test data; use filepath.ToSlash on want string before assert, or compare parsed struct fields rather than raw string|portability|30|TestRenderHomeViewAXI_Golden hardcodes ExecPath:"~/go/bin/atcr" and want:"~/go/bin/atcr" but relHome returns "~\\go\\bin\\atcr" on Windows via filepath.Separator|mira
HIGH|cmd/atcr/home.go:148|No integration test exercises the `atcr --axi` bare invocation path; the AXI home view is only unit-tested at the renderer level, not end-to-end (AC4)|Add a test in `main_test.go` that runs `execute(t, "--axi")` and asserts the TOON header `home[1|]{...}:` and key fields|0|20/`runHome` calls `report.RenderHomeViewAXI` under `if axiFromContext(ctx)` but no test in `main_test.go` executes `atcr --axi`|dax
HIGH|cmd/atcr/main_test.go:96|AC5 requires a golden/snapshot test pinning the non-`--axi` home-view output, but no such test exists; the existing test only checks substrings, not the exact output|Add a golden test with mocked `homeExecutable`/`homeUserDir` asserting the full byte-for-byte output for the first-run state|testing|20|`TestRootCmd_BareInvocationShowsHomeView` uses `Contains`/`NotContains` instead of exact output match; AC5 mandates a golden test|dax
HIGH|cmd/atcr/main_test.go:96|TestRootCmd_BareInvocationShowsHomeView is not isolated from the filesystem; its output depends on whether `.atcr/latest` exists in the working directory, making it unreliable|Set up a temp directory with no `.atcr/latest` or mock `anchorDir` to ensure deterministic first-run state|testing|30|`execute(t)` runs in the current directory without isolating `.atcr/latest`; the test only checks for description and absence of "Usage:"|dax
MEDIUM|cmd/atcr/home.go:81|resolveHomeState error paths (anchorDir non-ErrNotExist, ReadReviewStatus failure) have zero test coverage; the "unavailable" degrade is never exercised|Add table-driven tests for resolveHomeState covering anchorDir permission error, corrupt pointer, and ReadReviewStatus failure|testing|25|`resolveHomeState` returns `homeState{unavailable: true}` on non-ErrNotExist errors and on ReadReviewStatus failure, but no test triggers these branches|dax
MEDIUM|cmd/atcr/home.go:44|relHome has no direct tests for edge cases (path under home, path outside home, home dir error); the integration test relies on the real home directory, making relativization nondeterministic|Add unit tests for relHome with mocked homeUserDir covering: path under home, path equals home, path outside home, home dir error, empty home dir|testing|20|`relHome` branches on `filepath.Rel` result and home dir error; no test pins these paths|dax
MEDIUM|cmd/atcr/home.go:46|relHome constructs paths using filepath.Separator, which produces backslashes on Windows, potentially breaking downstream TOON parsers or scripts that expect forward slashes in the exec_path field|Normalize path separators to forward slashes before rendering to ensure consistent cross-platform TOON payloads|portability|10|return "~" + string(filepath.Separator) + rel emits backslashes on Windows, conflicting with the forward-slash convention in the AXI/TOON spec examples|brad
LOW|cmd/atcr/home.go:126|runHome falls back to the literal string "atcr" when os.Executable() fails, which may not match the actual binary name or path, causing misleading exec_path output in edge cases (e.g., renamed binaries or embedded environments)|Use cmd.CalledAs() or os.Args[0] as a more accurate fallback when os.Executable() fails|reliability|5|execPath = "atcr" hardcodes the name instead of deriving it from the invocation or command metadata|brad
LOW|cmd/atcr/home.go:53|relHome uses a bespoke string concatenation for the home separator|Use filepath.Join("~", rel) or a consistent separator constant|style|5|return "~" + string(filepath.Separator) + rel|otto
MEDIUM|cmd/atcr/home.go:115|runHome uses a hardcoded fallback "atcr" for the executable path|Inject the command name from cmd.Name() to avoid hardcoding the binary name|structure|5|execPath = "atcr"|otto
