# atcr-findings/v1
MEDIUM|cmd/atcr/debt_resolve.go:54|Reason-only guard skips validation and silently falls through: `cmd.Flags().Changed("status")` does not guard --reason, so `--reason "text" --resolve` is required but `--reason "text"` alone bypasses the guard and proceeds to markDebtResolved which then errors on missing id (user gets an unhelpful "no open item" error instead of a clear usage hint). The --status case correctly uses `Changed("status")`. Align --reason guard with the --status pattern: `cmd.Flags().Changed("status") || cmd.Flags().Changed("reason")` |0| 10/strings.TrimSpace(mustFlag(cmd, "reason")) != "" should be cmd.Flags().Changed("reason")|bruce
MEDIUM|cmd/atcr/debt_resolve.go:67|The `cmd.Flags().Changed("status")` guard correctly rejects `--status` supplied without `--resolve`, but the error message says "--status/--reason require --resolve <id>" which conflates the two flags. If only `--status` was provided (no `--reason`), the error still mentions `--reason`, which is confusing. The error should mention only the flags that were actually supplied, not all gated flags.|Emit a targeted error listing only the flags that were provided without `--resolve`, e.g. "flag(s) require --resolve <id>" with a list of the offending flags|usability|10|return usageError(fmt.Errorf("--status/--reason require --resolve <id>"))|mira
MEDIUM|cmd/atcr/debt_resolve.go:71|The error message for invalid `--status` value uses `mustFlag(cmd, "status")` (original casing) while the lookup uses the lowercased `status` variable, so a user typing "--status RESOLVED" sees "invalid --status 'RESOLVED'" rather than the canonical lowercase form. Not a crash, but inconsistent with the lowercasing that actually controls the logic.|Use the already-lowercased `status` variable in the error message: fmt.Errorf("invalid --status %q: expected resolved|wontfix", status)|0|5/return usageError(fmt.Errorf("invalid --status %q: expected resolved/wontfix", mustFlag(cmd, "status")))|mira
LOW|cmd/atcr/debt_resolve_test.go:223|The new tests (`TestDebtResolve_WontfixStatusFoldsItemOutOfOpenList`, `TestDebtResolve_MarkWontfixSetsStatusAndFoldsOut`, etc.) cover the happy path for wontfix but do not include a test for the idempotency case: resolving an already-closed item with `--status wontfix` when a `resolved` record already exists (or vice versa). The existing `TestDebtResolve_MarkResolvedIsIdempotent` covers this for `--status resolved`, but the wontfix variant is missing, leaving the "already resolved" hardcoded-message regression (finding 1) untested for wontfix closures.|Add `TestDebtResolve_MarkWontfixIsIdempotentAgainstResolved` (and symmetric) to mirror the existing resolved idempotency test|test-coverage|20|TestDebtResolve_MarkResolvedIsIdempotent covers resolved; wontfix counterpart absent|mira
LOW|cmd/atcr/debt_resolve_test.go:355|`TestDebtResolve_NoReasonPreservesExistingJustification` verifies that omitting `--reason` preserves an existing justification, but does not test the edge case where the original record has an empty `Justification` and `--reason` is also omitted — does the new record get a blank `Justification` (zero-value field) or does it remain unset? This matters for clients that distinguish between "no justification provided" (nil/empty) and "justification is empty string".|Add assertion that `terminal.Justification == ""` (not uninitialized) when no `--reason` is supplied and original had no justification|test-coverage|10|assert.Equal(t, "original enrichment note", terminal.Justification, ...) // empty-string case not covered|mira
MEDIUM|cmd/atcr/debt_resolve.go:64|The guard rejecting --status/--reason without --resolve is only tested with --status wontfix. The case where the user explicitly passes the default value `--status resolved` without --resolve is untested, so a future change could break that error path.|Add a test case with `--status resolved` (no --resolve) and assert a usage error.|testing|10|TestDebtResolve_StatusOrReasonWithoutResolveIsUsageError only tests `--status wontfix`; the guard condition `cmd.Flags().Changed("status")` is value-agnostic.|dax
LOW|cmd/atcr/debt_resolve.go:67|The status validation rejects empty string, but no test covers `--status ""`.|Add a test with an empty --status value and assert a usage error.|testing|5|The validation `!resolveStatuses[status]` will reject empty string; only "bogus" is tested.|dax
LOW|cmd/atcr/debt_resolve.go:260|The reason trimming logic treats whitespace-only reason as empty (preserving existing justification), but no test covers `--reason "   "`.|Add a test with whitespace-only --reason and verify that an existing justification is preserved.|testing|10|Code uses `strings.TrimSpace(reason)`; whitespace-only yields empty string, which falls through to preserve existing.|dax
HIGH|cmd/atcr/debt_resolve.go:216|atcr debt resolve output changed from "Marked %s resolved." to "Marked %s %s." breaking scripts that parse the output string|Restore the original output string or document the change and update consumers|compatibility|10|fmt.Fprintf(..., "Marked %s %s.\n", id, status)|vera
HIGH|cmd/atcr/debt_resolve.go:250|No length validation on --reason allows multi-MB justification strings to exhaust disk and trigger OOM on subsequent ReadAll calls|Enforce a max length or truncate before assignment|exhaustion|10|rec.Justification = r accepts unbounded input directly from CLI flag|brad
MEDIUM|cmd/atcr/debt_resolve.go:216|markDebtResolved loads the entire append-only store into memory to locate a single finding ID|Replace ReadAll with a targeted seek or fail-fast ID scan|performance|30|recs, err := localdebt.ReadAll(dir, localdebt.ReadOpts{Writer: cmd.ErrOrStderr()}) scales linearly with history size and risks OOM on long-lived repos|brad
