# Merged TD Stream from direct review
# SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|EVIDENCE|REVIEWER

MEDIUM|internal/ghaction/render.go:115|Conclusion called on empty findings in early-return branch|Compute conclusion/failCount directly (neutral/success, 0) without calling Conclusion|performance|5|Conclusion(findings, failOn) called on empty slice when total==0|dax
MEDIUM|cmd/atcr/github.go:205|Potential for excessive API calls during fallback|Add a limit to the number of individual comments posted in fallback|performance|15|looping CreateReviewComment without a cap on comments length|otto
LOW|cmd/atcr/github_test.go:440|Fallback hard-error test does not verify exitFailure code|Assert codedError code equals exitFailure|correctness|3|require.Error passes for any error type, not specifically codedError|reviewer
MEDIUM|cmd/atcr/github.go:222|Fallback loop does not check context cancellation between iterations|Add ctx.Err() check before each CreateReviewComment call to fail fast|correctness|5|for _, c := range comments { client.CreateReviewComment(cmd.Context(), ...)|bruce
LOW|cmd/atcr/github_test.go:441|Hard-error test does not verify error is codedError with exitFailure|Use errors.As to assert codedError and check code == exitFailure|maintainability|5|_, _, err := postInlineComments(...); require.Error(t, err)|bruce
LOW|cmd/atcr/github.go:236|Log says "posted N via per-comment fallback" even when N=0 all-skipped|Only log when posted > 0; or rephrase to "fallback: 0 posted, N skipped"|maintainability|2|fmt.Fprintf(cmd.OutOrStdout(), "posted %d inline comment(s) ...|bruce
MEDIUM|cmd/atcr/github.go:222|Fallback loop does not check context cancellation between iterations|Add ctx.Err() check before each CreateReviewComment call to fail fast on cancellation|correctness|5|for _, c := range comments { client.CreateReviewComment(cmd.Context(), ...)|bruce
LOW|cmd/atcr/github_test.go:441|Hard-error test does not verify error is codedError with exitFailure|Use errors.As to assert codedError and check code == exitFailure|maintainability|5|_, _, err := postInlineComments(...); require.Error(t, err)|bruce
LOW|cmd/atcr/github.go:236|Log says "posted N via per-comment fallback" even when N=0 all-skipped|Only emit log when posted > 0, or rephrase to "fallback: 0 posted, N skipped"|maintainability|2|fmt.Fprintf(cmd.OutOrStdout(), "posted %d inline comment(s) ...|bruce
LOW|cmd/atcr/github.go:222|Fallback loop has no inter-call delay, regressing rate-limit safety from original 100ms delay|Add 100ms sleep between CreateReviewComment calls in fallback path|performance|3|for _, c := range comments { client.CreateReviewComment(cmd.Context(), ...)|bruce
MEDIUM|cmd/atcr/github.go:222|Fallback per-comment loop has no context-cancellation check between iterations|Add ctx.Err() check at the top of the loop to fail fast on cancellation|correctness|5|for _, c := range comments { client.CreateReviewComment(cmd.Context(), ...)|bruce
LOW|cmd/atcr/github_test.go:441|Hard-error propagation test does not verify error is a codedError with exitFailure|Use errors.As to assert *codedError and check code == exitFailure, and assert posted==0|maintainability|5|_, _, err := postInlineComments(...); require.Error(t, err)|bruce
LOW|cmd/atcr/github.go:236|Posted-count log is emitted even when posted==0 (all comments 422-skipped) which reads as "posted 0"|Only log when posted > 0, or rephrase to "fallback: 0 posted, N skipped"|maintainability|2|fmt.Fprintf(cmd.OutOrStdout(), "posted %d inline comment(s) ... via per-comment fallback|bruce
LOW|cmd/atcr/github.go:222|Fallback per-comment loop has no inter-call delay, regressing the rate-limit safety the original 100ms sleep provided|Add a 100ms sleep between CreateReviewComment calls in the fallback path|performance|3|for _, c := range comments { client.CreateReviewComment(cmd.Context(), ...)|bruce
LOW|cmd/atcr/github.go:228|422-skip count lost on hard error return|Include skipped count in error message or log before returning|error-handling|5|skipped++ in loop but warning only after loop; hard error returns early skipping warning|greta-backup
LOW|cmd/atcr/github_test.go:433|Test doesn't verify codedError exitFailure code|Assert error is codedError with exitFailure code|correctness|5|require.Error checks error exists, not that it carries exitFailure|greta-backup
LOW|cmd/atcr/github.go:227|Prints success message even when 0 comments posted|Wrap print in if posted > 0|maintainability|2|Fallback prints "posted 0..." when all comments are 422-skipped|bruce
MEDIUM|cmd/atcr/github.go:222|Fallback path posts N comments sequentially without delay, could hit GitHub API rate limits for PRs with many findings|Add a small delay (e.g., 100ms) between per-comment POSTs to mirror original rate-limit mitigation|correctness|10|postCommentsIndividually loops CreateReviewComment with no backoff; original 100ms delay removed|bruce
MEDIUM|cmd/atcr/github.go:222|Fallback path posts N comments sequentially without delay, could hit GitHub API rate limits|Add a small inter-call delay (e.g., 100ms) to mirror original rate-limit mitigation|correctness|10|postCommentsIndividually loops CreateReviewComment with no backoff between calls|bruce
MEDIUM|cmd/atcr/github.go:222|Fallback path posts N comments sequentially without delay, could hit GitHub API rate limits|Add a small inter-call delay (e.g., 100ms) to mirror original rate-limit mitigation|correctness|10|postCommentsIndividually loops CreateReviewComment with no backoff between calls|bruce
MEDIUM|cmd/atcr/github.go:222|Fallback path posts N comments sequentially without delay, risking GitHub secondary rate limits|Add a small inter-call delay (e.g., 100ms) to mirror original rate-limit mitigation|correctness|10|postCommentsIndividually loops CreateReviewComment with no backoff between calls|bruce
HIGH|cmd/atcr/github.go:214|posted count lost on hard error during fallback|Return posted count in error case is fine but skipped count discarded|correctness|5|return posted, deduped, &codedError — skipped count lost but non-fatal|bruce
