# atcr-findings/v1
MEDIUM|internal/history/shard.go:33|filepath.Glob treats the directory path as a pattern, so repo paths containing metacharacters like [ or ? are parsed as character classes and silently return zero matches|Use os.ReadDir(dir) and filter entries with strings.HasSuffix(name, ".jsonl")|correctness|15|matches, err := filepath.Glob(filepath.Join(dir, "*.jsonl"))|greta
HIGH|cmd/atcr/resume.go:210|recordResumeHistory hardcodes cwd-relative ./.planning/history, so running atcr review --resume from a subdirectory writes shards to a location that atcr history (which uses repoRoot()) never reads|Resolve repoRoot() once and pass it to recordResumeHistory instead of hardcoding "."|correctness|10|histPath := history.ShardPath(filepath.Join(".", ".planning", "history"), ts)|greta
HIGH|internal/history/shard.go:33|LoadShards uses filepath.Glob on the directory path, so a repo path containing glob metacharacters (e.g. a [1] segment) is parsed as a character class and silently returns empty history instead of the real records|Replace filepath.Glob with os.ReadDir + strings.HasSuffix(name, ".jsonl") so the directory path is treated literally|edge_cases|20|`matches, err := filepath.Glob(filepath.Join(dir, "*.jsonl"))` treats metacharacters in dir as glob syntax|dax
HIGH|internal/history/shard.go:43|A single unreadable shard (permission/IO error) aborts LoadShards and fails `atcr history` with exit 2, so one bad monthly file bricks all trend queries|Log-and-skip an unreadable individual shard so remaining shards stay queryable, mirroring Load's torn-line tolerance|error_paths|20|`if err != nil { return nil, err }` inside the shard loop hard-fails on the first unreadable shard|dax
MEDIUM|internal/history/shard.go:32|LoadShards loads every shard into memory before Filter applies --since, so a narrow time window still reads all shards (acceptable within 1-2yr bound but no month-prefix pruning)|Skip shard files whose YYYY-MM stem is entirely older than now-since before loading, to keep long histories fast|performance|30|`for _, path := range matches { recs, err := Load(path) ... }` loads all shards unconditionally|dax
LOW|internal/history/shard_test.go:1|No test exercises an unreadable shard file (permission error) to verify LoadShards behavior|Add a test case with a 000-permission .jsonl file and assert the error or skip behavior|error_paths|15|TestLoadShards_MergesAllMonthlyFiles and siblings only test happy paths and absent dir|dax
LOW|internal/history/shard_test.go:1|No test exercises LoadAll when the legacy file exists but is unreadable|Add a test with an unreadable legacy file and assert the error propagation|error_paths|15|TestLoadAll_MergesShardsAndLegacy only tests happy path; TestLoadAll_AbsentBothIsEmpty tests absent files|dax
LOW|internal/history/shard_test.go:1|No test exercises LoadShards with a dir path containing glob metacharacters|Add a test with a dir containing [brackets] and verify records are still found|edge_cases|15|TestLoadShards_MergesAllMonthlyFiles uses plain t.TempDir() paths|dax
LOW|cmd/atcr/history_test.go:84|TestHistoryCmd_MergesLegacyAndShards does not verify the merged order (shards before legacy) or that the legacy file is not mutated|Assert record ordering and verify legacy file content is unchanged after query|correctness|10|Test only asserts both packages appear in output, not order or non-mutation|dax
LOW|internal/history/shard.go:32|filepath.Glob interprets metacharacters in dir as pattern syntax (e.g. [ ] or *) causing silent empty matches or unexpected file loads|Replace filepath.Glob with os.ReadDir and filter using strings.HasSuffix(name, ".jsonl") to treat the directory path literally|input|15|matches, err := filepath.Glob(filepath.Join(dir, "*.jsonl"))|brad
MEDIUM|internal/history/shard.go:40|A single unreadable or corrupt shard aborts the entire LoadShards loop and fails atcr history, making one bad month brick all trend queries|Wrap Load in a conditional that logs the error and continues so remaining shards stay queryable|error|20|if err != nil { return nil, err } inside the for _, path := range matches loop|brad
MEDIUM|internal/history/shard.go:43|LoadShards loads every monthly shard into memory before any --since filtering is applied, causing unbounded heap growth on repos with long histories even for narrow queries|Parse the YYYY-MM stem from the filename and skip files older than now-since before calling Load|memory|25|var all []Record / for _, path := range matches { recs, err := Load(path) ... all = append(all, recs...) }|brad
HIGH|cmd/atcr/resume.go:211|recordResumeHistory hardcodes "." for the shard directory instead of resolving the repo root, so running atcr resume from a subdirectory writes to a path that atcr history never reads|Resolve repoRoot() in runResume and pass the absolute path to recordResumeHistory instead of using a relative dot|regression|20|histPath := history.ShardPath(filepath.Join(".", ".planning", "history"), ts)|brad
HIGH|cmd/atcr/review.go:285|Multiple concurrent atcr review processes will append to the same YYYY-MM.jsonl simultaneously without synchronization, causing interleaved JSON lines and ledger corruption|Acquire a file lock (flock) on the shard or a dedicated lockfile before opening for append|concurrency|40|histPath := history.ShardPath(filepath.Join(req.Root, ".planning", "history"), now) / history.RecordReview(histPath, dir, now)|brad
MEDIUM|cmd/atcr/resume.go:211|recordResumeHistory uses cwd-relative path for history shards|Pass repo root from runResume to recordResumeHistory to ensure shards are written to the project root rather than the current working directory|structure|15|histPath := history.ShardPath(filepath.Join(".", ".planning", "history"), ts)|otto
