# atcr-findings/v1
LOW|cmd/atcr/main_test.go:113|TestExitCode does not test authError wrapping a usageError|Add test case: {"auth error wrapping usage error", authError(usageError(errors.New("bad"))), 3}|correctness|10|authError(usageError(...)) should yield 3, not 2 — auth rejection must override exit-2 per AC 04-04 EC2|bruce
MEDIUM|cmd/atcr/flags.go:61|Warning check uses exact string equality after TrimSpace, so a trailing slash on --cloud-endpoint bypasses the placeholder warning and triggers a redirect-block failure|Use strings.TrimRight(endpoint, "/") or url.Parse to normalize before comparison|correctness|5|strings.TrimSpace(endpoint) == defaultCloudEndpoint misses "https://atcr.dev/dashboard/"|greta
HIGH|internal/scorecard/telemetry.go:19|HashPersonaID claims pseudonymization but unsalted SHA-256 over a small enumerable set is dictionary-reversible; the privacy contract is misleading and the Leaderboard cannot claim anonymized aggregation|Move to server-side keyed hashing or stop claiming pseudonymization in the contract|privacy|120|small, enumerable, often publicly-known set... UNSALTED digest does not defend against a dictionary/rainbow attack|kai
MEDIUM|internal/scorecard/export_test.go:592|Byte-for-byte SHA-256 checksum pins the entire serialized output, making the test fail on any formatting, ordering, or whitespace change and obscuring the actual semantic contract|Replace checksum with structured assertions against parsed JSON fields|extensibility|30|wantExportChecksum = "96231aeede4bec24132992b35bcf0a5c069619248ad720f319372517ee39625a"|kai
LOW|internal/scorecard/telemetry.go:31|HashPersonaID uses unsafe.StringData/unsafe.Slice to avoid a negligible allocation, trading memory safety guarantees for no meaningful performance gain on small strings|Replace with idiomatic []byte(raw) and remove unsafe import|safety|10|unsafe.Slice(unsafe.StringData(raw), len(raw))|kai
HIGH|internal/scorecard/telemetry.go:18|HashPersonaID uses unsalted SHA-256 vulnerable to dictionary/rainbow-table reversal of enumerable persona IDs|Add HMAC-SHA256 with a provisioned, rotatable application secret (server-side keyed hash acceptable per KB entry); add TD-007 tracking label to the function|Cryptography|30|SHA-256 without salt or HMAC over enumerable input set (persona names); digest is trivially reversible with a precomputed table|mira
HIGH|internal/scorecard/telemetry.go:25|unsafe.Slice/unsafe.StringData on potentially nil string will panic|Validate input or use standard []byte(raw) conversion; the allocation savings are not worth the panic surface in a hash function called on untrusted scorecard data|Reliability|15|unsafe.Slice(unsafe.StringData(raw), len(raw)) panics if raw is nil string|mira
LOW|cmd/atcr/flags.go:39|Hardcoded production endpoint URL in binary is a maintenance hazard if the backend migrates|Make the default configurable via build-time ldflags or a well-documented constant; document the migration path in the inline comment|Configuration|15|const defaultCloudEndpoint = "https://atcr.dev/dashboard"|mira
MEDIUM|cmd/atcr/config.go:30|Long help text warns about ATCR_DISABLE_AST_GROUPING direction but does not document what exit code an I/O failure (missing config file) produces|Add exit-code expectation to the Long doc: "on I/O failure (missing/unwritable .atcr/config.yaml) returns exit 1"|Observability|10|docs_audit_test.go already audits the Long text for env-var coverage; adding exit-code documentation closes the observability gap|mira
LOW|internal/scorecard/telemetry.go:32|NewTelemetryPersonaRecord comment documents HMAC hardening as TODO but no TODO comment or TD label appears in the code itself|Add a TD-007 inline reference so resolve-td can capture and track it|Operational|5|Comment notes HMAC hardening is deferred; no TD label in source for reconciler to act on|mira
HIGH|cmd/atcr/config.go:49|No tests for runConfigSet error branches (unsupported key, invalid bool, repoRoot, SetTelemetrySetting) and success path|Add config_test.go with table-driven tests covering each branch|testing|45|runConfigSet has four error returns and one success output; no config_test.go in diff|dax
HIGH|internal/scorecard/telemetry.go:12|HashPersonaID and NewTelemetryPersonaRecord have zero unit tests; determinism, uniqueness, empty string boundary untested|Add telemetry_test.go with known-answer, empty string, and record construction tests|testing|30|HashPersonaID is a pure function with no tests; NewTelemetryPersonaRecord untested|dax
MEDIUM|internal/scorecard/telemetry.go:12|Empty string input to HashPersonaID not tested despite unsafe.StringData edge case|Add test case for empty string to verify SHA-256("") digest|boundary|10|Comment claims safety for empty string but no test confirms|dax
MEDIUM|cmd/atcr/flags_test.go:28|No test verifies placeholder warning absent when --sync-cloud not set or endpoint overridden|Add test cases for warning absence to prevent false positive warnings|testing|15|TestAddSyncCloudFlags_DefaultEndpointWarns only checks positive case|dax
LOW|internal/telemetry/event.go:1|Event struct has no test for exact JSON field allowlist (privacy regression guard)|Add test marshaling Event and asserting keys are exactly [event,lang,lines,status]|testing|10|Comment references TestClient_Send_PayloadHasExactlyFourAllowlistedKeys but no such test in diff|dax
