# Merged TD Stream from direct review
# SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|EVIDENCE|REVIEWER

LOW|internal/verify/syntaxguard.go:118|Missing test for `:=` code signal in `looksLikeGoCode`|Add test case for unfenced `:=` without block structure|maintainability|5|`looksLikeGoCode` does not check `:=`, but test `TestValidateGoFixSyntax_InvalidShortAssign` expects it flagged|bruce
MEDIUM|internal/verify/syntaxguard.go:115|Inconsistent logic for `:=` operator|Add `:=` to `looksLikeGoCode` or remove the corresponding test case|correctness|15|TestValidateGoFixSyntax_InvalidShortAssign expects `:=` to trigger a flag, but `looksLikeGoCode` does not check for it|otto
MEDIUM|internal/verify/syntaxguard.go:109|Syntax errors from wrapped parses report misleading line numbers|Adjust positions by subtracting synthetic prefix lines or report message only|correctness|15|"package p\nfunc _() {\n" shifts error line numbers by +2|reviewer
MEDIUM|internal/verify/syntaxguard.go:29|Fence regex misses indented fences (markdown)|Update regex to allow optional spaces after newline/start|correctness|20|Fence regex lacks optional leading space allowance|AutoReviewer
LOW|internal/verify/syntaxguard.go:71|Unbounded input length for syntax validation|Add max length check before parsing|security|5|validateGoFixSyntax parses arbitrary-length fix string|greta
MEDIUM|internal/verify/syntaxguard.go:99-103|looksLikeGoCode false-positives on prose change-instructions starting with decl keywords (e.g. "Import the sync package", "Type the result into the buffer", "Const values should be defined at package level")|Require an additional code signal alongside the decl keyword, or only treat `package` as a code signal and require braces/`:=` for the others|correctness|15|declKeywordRe matches prose lines like `Import the sync package`; parseGoFix then fails and the legitimate prose fix is incorrectly flagged `invalid_syntax`|code-reviewer
LOW|internal/verify/syntaxguard.go:30|fenceRe requires `\n` immediately after the opening fence and rejects the CommonMark-permitted space (e.g. ` ``` go\n...`) — such fences fall through as unfenced, so a malformed fix in a spaced fence is never flagged|Allow optional whitespace between the opening fence and language tag, or trim a leading space in the capture|maintainability|5|`(?s)```([A-Za-z0-9_+-]*)\n` does not match ` ``` go\n`; the content is treated as unfenced and may bypass validation|code-reviewer
LOW|internal/verify/syntaxguard.go:47|fenceRe regex rejects valid markdown fences with trailing spaces after language tag|Add optional whitespace \s* before newline in regex|correctness|5|regex expects \n immediately after [A-Za-z0-9_+-]*|bruce
LOW|internal/verify/syntaxguard_test.go:72|Test comment claims := triggers flag, but looksLikeGoCode actually flags via trailing brace|Update comment to reflect actual heuristic trigger|maintainability|2|comment says := is signal, code uses blockOpenRe|bruce
MEDIUM|internal/verify/syntaxguard.go:96|Parser error positions in FixWarning are relative to the wrapped synthetic Go code, not the user's fix string|Adjust the line/column offset based on which strategy produced the error, or format the error to be relative to src|correctness|20|parseGoFix returns fileErr/declErr/stmtErr from wrapped code with offset positions|bruce
LOW|internal/verify/syntaxguard.go:121|looksLikeGoCode can produce false positives for prose with code-like features (declaration keywords at line start, line-ending braces)|Document the trade-off or refine the heuristic|correctness|10|declKeywordRe matches prose lines starting with "import", "package", etc.|bruce
MEDIUM|internal/verify/syntaxguard.go:96|Parser error positions in FixWarning are relative to the wrapped synthetic Go code, not the user's fix string|Adjust the line/column offset based on which strategy produced the error, or format the error to be relative to src|correctness|20|parseGoFix returns errors from "package p\n"+src or "package p\nfunc _() {\n"+src+"\n}\n" with offset positions|bruce
LOW|internal/verify/syntaxguard.go:121|looksLikeGoCode can produce false positives for prose with code-like features (declaration keywords at line start, line-ending braces)|Document the trade-off or refine the heuristic to require stronger signals|correctness|10|declKeywordRe matches prose lines starting with "import", "package", etc.|bruce
MEDIUM|internal/verify/syntaxguard.go:96|Parser error positions in FixWarning are relative to the wrapped synthetic Go code, not the user's fix string|Adjust the line/column offset based on which strategy produced the error, or format the error to be relative to src|correctness|20|parseGoFix returns errors from "package p\n"+src or "package p\nfunc _() {\n"+src+"\n}\n" with offset positions|bruce
LOW|internal/verify/syntaxguard.go:121|looksLikeGoCode can produce false positives for prose with code-like features (declaration keywords at line start, line-ending braces)|Refine the heuristic to require stronger signals, or document the trade-off more prominently|correctness|10|declKeywordRe matches prose lines starting with "import", "package", etc.|bruce
MEDIUM|internal/verify/syntaxguard.go:96|Parser error positions in FixWarning are relative to the wrapped synthetic Go code, not the user's fix string|Adjust the line/column offset based on which strategy produced the error, or format the error to be relative to src|correctness|20|parseGoFix returns errors from "package p\n"+src or "package p\nfunc _() {\n"+src+"\n}\n" with offset positions|bruce
LOW|internal/verify/syntaxguard.go:121|looksLikeGoCode can produce false positives for prose with code-like features (declaration keywords at line start, line-ending braces)|Refine the heuristic to require stronger signals (e.g., fenced code only), or document the trade-off more prominently|correctness|10|declKeywordRe matches prose lines starting with "import", "package", etc.; blockOpenRe matches "Open with {"|bruce
LOW|internal/verify/executor_test.go:92|Dead code|Remove unused variable 'hadFence'|maintainability|2|variable declared but not used|bruce
LOW|internal/verify/syntaxguard.go:143|Unclear naming|Rename 's' parameter to 'src'|maintainability|3|parameter name is too generic|bruce
MEDIUM|internal/verify/syntaxguard.go:150|Missing error handling|Check result of extractFencedCode|error-handling|5|function return values ignored|bruce
MEDIUM|internal/verify/syntaxguard.go:180|Missing error handling|Check result of parseGoFix|error-handling|5|function return values ignored|brice
