# Merged TD Stream - Reconciled
# SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|SOURCE|REVIEWERS|CONFIDENCE
HIGH|internal/fanout/review.go:343|Missing nil check for p.manifest.Review before dereference|Add nil check before setting fields|error-handling|5|code-review|ace|MEDIUM
HIGH|internal/fanout/review.go:344|Missing nil check for p.manifest.Review before dereference|Add nil check before setting fields|error-handling|5|code-review|ace|MEDIUM
HIGH|internal/fanout/review.go:345|Missing nil check for p.manifest.Review before dereference|Add nil check before setting fields|error-handling|5|code-review|ace|MEDIUM
MEDIUM|internal/fanout/review.go:290|Potential resource leak of snapshot worktree|The `cleanup()` function returned by `SnapshotFor` is deferred inside an `if` block. If `NewJail` fails, the function continues, but the `defer` is only registered if the snapshot succeeded. However, the `ExecuteReview` function is long-running. If `SnapshotFor` succeeds but `NewJail` fails, the snapshot is cleaned up at the end of `ExecuteReview`. While technically correct for a single run, if this logic were moved to a loop or if `ExecuteReview` is called frequently in a long-lived process, the deferred cleanup might accumulate. More critically, if `ExecuteReview` returns early due to an error in `WriteManifest` or other logic, the cleanup happens. The real issue is that `cleanup()` is deferred *inside* the `if` block, which is correct for the scope of the function, but if `ExecuteReview` is called in a loop (which the sprint plan implies it is part of an "agent loop"), the cleanup only happens when the function returns. If the "agent loop" is actually *outside* `ExecuteReview`, this is fine. If `ExecuteReview` is the loop, it's a leak. Given the context "wired into the agent loop", `ExecuteReview` seems to be the execution of a single review. However, the `defer` is inside the `if` block, meaning it will execute when `ExecuteReview` returns. This is safe. Wait, looking closer: the `defer cleanup()` is inside the `else` block of `if anyToolAgent...`. This is correct. I will retract this as a high/medium risk unless I see a loop *inside* `ExecuteReview`.*|None|correctness|0|code-review|otto|MEDIUM
MEDIUM|internal/fanout/review.go:298|head_sha may record non-SHA if p.Head unresolved|Assert p.Head is a full SHA or resolve it before stamping|correctness|15|code-review|bruce|MEDIUM
MEDIUM|internal/fanout/review.go:328|Defer cleanup() called even when SnapshotFor fails|Move defer inside else block after successful SnapshotFor|error-handling|3|code-review|ace|MEDIUM
MEDIUM|internal/fanout/review.go:653|Path comparison uses raw string equality|Normalize with filepath.Clean before comparing|correctness|10|code-review|bruce|MEDIUM
MEDIUM|internal/fanout/review.go:654|Snapshot mode path compare uses plain string equality without normalizing|Resolve both paths to absolute form with filepath.Abs or os.SameFile|correctness|15|code-review|bruce|MEDIUM
MEDIUM|internal/fanout/review.go:665|Path string comparison `root == repo` is fragile if paths are normalized differently (trailing slashes, symlinks, relative vs absolute)|Normalize both paths with `filepath.Clean` (and `filepath.EvalSymlinks` if applicable) before comparing, or compare canonicalized forms|maintainability|10|code-review|bruce|MEDIUM
MEDIUM|internal/payload/manifest.go:77|SnapshotWorktreePath always serialized even when no snapshot ran, indistinguishable from live mode despite comment claiming it distinguishes them|Use *string pointer so nil omits field and empty string serializes as ""|correctness|20|code-review|greta|MEDIUM
MEDIUM|internal/payload/manifest_review_test.go:0|No test covers the "no snapshot ran" case where `Review` is non-nil but `SnapshotMode`/`HeadSHA` are empty (snapshot failed or no tool agent)|Add a test asserting `snapshot_mode` and `head_sha` are absent from JSON while `snapshot_worktree_path` is present as "" in that case|maintainability|15|code-review|bruce|MEDIUM
LOW|internal/fanot/manifest_review_test.go:70|Unnecessary blank line after raw assignment|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanot/manifest_review_test.go:70|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanot/manifest_review_test.go:71|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanot/manifest_review_test.go:72|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanot/manifest_review_test.go:73|Unnecessary blank line after require.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanot/manifest_review_test.go:74|Unnecessary blank line after function|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanot/manifest_review_test.go:76|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanot/manifest_review_test.go:77|Unnecessary blank line after function|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanot/manifest_review_test.go:80|Unnecessary blank line after mode assignment|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
