LOW|go.mod:8|wazero marked indirect but is direct dependency|Run go mod tidy to fix directive|maintainability|1|code-review|bruce|MEDIUM
HIGH|go.mod:12|wazero marked as `// indirect` but `internal/astgroup` directly imports it (disagreement: MEDIUM vs HIGH)|Run `go mod tidy` to flip the marker to direct|correctness|5|code-review|bruce,dax|HIGH
MEDIUM|internal/astgroup/benchmark_test.go:85|Benchmark requires zero false positives (astFP == 0)|Relax to allow small FP rate (e.g., <1%) or document as strict AC3 gate for PoC|maintainability|5|code-review|bob|MEDIUM
MEDIUM|internal/astgroup/benchmark_test.go:85|Potential division by zero if corpus has no positives|Relax to allow small FP rate (e.g., <1%) or document as strict AC3 gate for PoC|maintainability|5|code-review|bruce|MEDIUM
MEDIUM|internal/astgroup/cover.go:45|coveringChain returns early on first covering child without verifying non-overlap|Add assertion or comment that AST children have non-overlapping line ranges|correctness|15|code-review|bob|MEDIUM
LOW|internal/astgroup/cover.go:55|coveringChain descends through non-block nodes but blockIdx increments for skipped blocks|blockIdx should only increment when isBlock(ch) and ch covers the line|correctness|10|code-review|dax|MEDIUM
HIGH|internal/astgroup/cover.go:70|coveringChain increments blockIdx only for block-typed children, and when the covering child is a non-block it returns subChain,subAddr (cover.go:70), discarding the accumulated blockIdx and recomputing descendant indices relative to that wrapper from 0. Two sibling non-block statements each wrapping one identically-shaped anonymous block (e.g. foo(func(){...}) and bar(func(){...}), exprstmt->call->funclit) both yield address segment funclit::0. Identical address + identical Merkle hash collapses two distinct blocks into one key, defeating the sibling-distinguishing guarantee the address was added for.|In coveringChain, carry the parent block-position into the non-block descent (prefix the wrapper's sibling index, or count covering-child position regardless of block-ness) so descendants under distinct non-block siblings get distinct addresses. Test two sibling exprstmts each holding an identical anonymous funclit and assert their CoveringBlock addresses differ.|correctness|120|code-review|claude|MEDIUM
MEDIUM|internal/astgroup/embed.go:5|go:embed pulls in pre-compiled go.wasm and python.wasm that the host compiles and executes (host.go:128-134) with no checksum, signature, or provenance verification, and per build.sh no CI rebuilds them from source. A tampered or stale committed binary passes code review (reviewers read src/*.go, not the opaque .wasm) and ships undetected.|Commit a SHA256SUMS manifest next to the .wasm files, regenerate it in build.sh, and verify it in CI (combined with the rebuild-diff). This makes the binary a verifiable function of the reviewed source.|security|60|code-review|claude|MEDIUM
LOW|internal/astgroup/grouper.go:51|Every caller passes Root="." (resume.go, review.go, reconcile.go, mcp/handlers.go) and resolvePath treats empty/"." root as the process cwd. The grouper parses files relative to whatever directory the process runs in, not the reviewed repo. For the MCP-server-without-a-checked-out-tree case the comment relies on ReadFile failing, but if the server cwd coincidentally contains a same-named file, GroupKey computes a structural key from an unrelated file and mis-groups findings, silently.|Resolve Root to the reviewed repo root explicitly rather than relying on cwd, and have the MCP path pass a concrete tree root or an empty Root that hard-disables file reads instead of falling through to cwd.|correctness|30|code-review|claude|MEDIUM
LOW|internal/astgroup/grouper.go:58|Path traversal check uses OS-specific separator|Use filepath.ToSlash(rel) and check for "../" prefix for cross-platform consistency|security|10|code-review|bob|MEDIUM
MEDIUM|internal/astgroup/grouper.go:62|resolvePath enforces containment purely lexically via filepath.Clean + filepath.Rel; it never resolves symlinks. A symlink committed inside root pointing outside it passes the .. check and is then read by os.ReadFile, so the cannot-become-a-file-existence-oracle guarantee in the doc comment is bypassable when an attacker can place a symlink in the tree. (disagreement: LOW vs MEDIUM)|Run filepath.EvalSymlinks on the joined path (and on root) before the Rel containment check, or stat with O_NOFOLLOW. Test a symlink under root pointing to an outside file and assert resolvePath rejects it.|security|30|code-review|claude,greta|HIGH
MEDIUM|internal/astgroup/grouper.go:80|Grouper caches parsed AST keyed by the cleaned `file`, but a symlink or relative-vs-absolute spelling pointing to the same on-disk file yields two cache entries and two parse runs|Normalize via `filepath.EvalSymlinks` after resolving (with containment check still enforced) and cache by that key|performance|15|code-review|onestone|MEDIUM
MEDIUM|internal/astgroup/grouper.go:93|GroupKey calls CoveringBlock (tree walk) and MerkleHash(block) (full recursive subtree sha256) on every finding. For N findings mapping to the same covering block, both are recomputed N times. The parsed tree is cached but the key/hash is not, so the dominant per-finding cost is a redundant whole-subtree walk, the opposite of the parse-once caching the package advertises. (disagreement: LOW vs MEDIUM)|Memoize the group key by line within parsedFile (map[int]string), or cache MerkleHash per node/structural-address, so repeated findings in one block reuse the computed hash. Verify with a benchmark over many findings in one large block showing flat per-finding cost.|correctness|30|code-review|dax,claude|HIGH
