# Merged TD Stream from direct review
# SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|EVIDENCE|REVIEWER

MEDIUM|internal/verify/pipeline.go:248|Potential memory leak or performance degradation with large prior files|The `priorByKey` map is populated by reading the entire `verification.json` into memory for every `runVerify` call. While acceptable for small sets, this could scale poorly. Consider a streaming JSON decoder if the file grows significantly.|performance|30|priorByKey := map[FindingKey]VerificationResult{} ... for _, r := range prior|otto
HIGH|internal/verify/pipeline.go:245|Nil pointer dereference on f.Verification for unverified findings|Guard with if f.Verification == nil before field access|correctness|5|Verdict: f.Verification.Verdict panics when f.Verification is nil|bruce
MEDIUM|internal/verify/pipeline.go:212|Missing error handling for ReadVerificationResults|Check perr before logging|error-handling|2|if prior, perr := ReadVerificationResults(...); perr != nil|bruce
MEDIUM|internal/verify/pipeline.go:242|Case-insensitive verdict comparison may be fragile|Use canonical verdict constants|correctness|3|strings.EqualFold(strings.TrimSpace(prior.Verdict), strings.TrimSpace(f.Verification.Verdict))|bruce
LOW|internal/verify/pipeline.go:350|Explicit base.Model = "" is redundant|Remove redundant assignment|maintainability|1|base.Model = "" after struct initialization|bruce
LOW|internal/verify/pipeline.go:356|Explicit base.Model = "" is redundant|Remove redundant assignment|maintainability|1|base.Model = "" after struct initialization|bruce
MEDIUM|internal/verify/pipeline.go:379|winningAttribution ignores nil skeptics check|Add nil check before accessing skeptics[i].Config.Model|correctness|3|if m := skeptics[i].Config.Model; skeptics[i] could be nil|bruce
MEDIUM|internal/verify/pipeline.go:249|Skipped-finding verdict comparison uses case-insensitive trim which may match different strings|Use exact equality or normalize both sides identically|correctness|5|`strings.EqualFold(strings.TrimSpace(prior.Verdict), strings.TrimSpace(f.Verification.Verdict))`|case-reviewer
MEDIUM|internal/verify/pipeline.go:391|Error path sets tripped to nil instead of empty slice, losing budget info from partial runs|Set tripped to a non-nil empty slice or nil consistently|error-handling|3|`tripped = nil` on invokeSkeptic error path|case-reviewer
MEDIUM|internal/verify/pipeline.go:386|Missing TrippedBudgets initialization|Set base.TrippedBudgets = []string{} after base.Model assignment|correctness|2|base.Model set but TrippedBudgets not initialized|reviewer
MEDIUM|internal/verify/pipeline.go:395|Missing TrippedBudgets initialization|Set base.TrippedBudgets = []string{} after base.Model assignment|correctness|2|base.Model set but TrippedBudgets not initialized|reviewer
MEDIUM|internal/verify/pipeline.go:243|TrippedBudgets may be nil (leading to null in JSON)|Add nil check and set to empty slice after the if block|correctness|3|rec.TrippedBudgets = prior.TrippedBudgets (could be nil)|reviewer
LOW|internal/verify/pipeline.go:228|Direct fmt.Fprintf to stderr bypasses codebase logger|Use logSkepticFailure-style logger or a structured log helper for consistency|maintainability|5|fmt.Fprintf(os.Stderr, ...) inconsistent with logSkepticFailure pattern used elsewhere|claude
LOW|internal/verify/emit_verification.go:25|Docstring claim "Skeptic names every participating voter" is ambiguous|Clarify Skeptic: all voters on tie, lead on decisive, single name from on-disk block on carry-forward|maintainability|5|Comment says Skeptic=every voter but for decisive/skip paths it may be a single name; only Model's behavior is fully documented|claude
LOW|internal/verify/pipeline.go:227|priorByKey always built even when no findings will be skipped|Guard with a defer-until-needed check or document as intentional|performance|3|Reads verification.json on every run even when no skip-path metadata is needed|claude
LOW|internal/verify/pipeline.go:435|winningAttribution with empty winner records all voters silently|Guard against empty winner or document as intentional fallback|error-handling|5|ver.Verdict=="" would cause decisive=false and dump every model with no attribution signal|claude
LOW|internal/verify/pipeline_test.go:362|1+1 tie case (1 confirmed + 1 refuted) not covered by tests|Add a test mirroring ThreeWayTie but with 2 skeptics, not 3|maintainability|10|TestRunVerify_ThreeWayTieRecordsAllParticipantModels covers 1+1+1 but not the 1+1 case the docstring also cites|claude
LOW|internal/verify/pipeline_test.go:362|Multi-vote tests assert Model but not Skeptic field|Add Skeptic assertions to lock the joinSkeptics contract the docstring promises|maintainability|10|Tests verify winning-attribution Model but never check Skeptic, so a regression in Skeptic emission would pass tests|claude
