# atcr-findings/v1
LOW|personas/community_test.go:274|Comment says "C(10,2)=45 pairs" but communityPersonas now has 13 entries; C(13,2)=78|Update comment to C(13,2)=78|correctness|5|C(10,2)=45 pairs|bruce
CRITICAL|internal/personas/drift.go:118|Drift exemption unconditionally skips `local/<model>` slugs so `atcr models check` returns green even when Ollama/llama.cpp is down, the model was never pulled, or `base_url` is unreachable — a broken local setup looks healthy until the runtime request fails|Probe the configured local `base_url` (and optionally `GET /api/tags`) before treating a `local/<model>` lock as drift-clean; emit a distinct `local-unreachable` or `local-model-missing` finding so the user gets a signal|observability|45|if isLocalProviderSlug(slug) { continue }|mira
HIGH|docs/personas-install.md:325|Docs give no timeout guidance for local personas — a 70B Llama on consumer hardware routinely takes 30–120s per completion; if the LLM client has a cloud-tuned default timeout (common in OpenAI/Anthropic SDKs) every local review aborts mid-stream|Document the expected per-tier latency and surface a configurable per-provider timeout for `local`, or warn users to raise it before first invoke|failure-handling|30|ollama pull llama3.3:70b # liam (64 GB+ heavyweight)|mira
HIGH|docs/personas-install.md:329|Model-id footgun — persona binds `local/gemma3-27b` but Ollama rejects that string (it answers to `gemma3:27b` or `gemma3-27b`); the docs explain the rewrite but a direct copy-paste of the persona `model` field into `registry.yaml` will 404 at runtime with no clear remediation|Validate the local-prefixed discovery id at persona load (strip `local/` and verify the tail against the server's model list) OR publish a side-by-side discovery-id↔server-tag table so the wire step is unambiguous|configuration|30|model: gemma3:27b # the tag you pulled with `ollama pull`|mira
HIGH|docs/personas-install.md:309|liam persona binds `local/llama3.3-70b` for a "64 GB+ heavyweight" tier but docs give no pre-flight VRAM/RAM check — attempting on insufficient hardware will OOM-kill the Ollama server mid-review and abort the whole panel with no per-persona isolation|Add a clear minimum-RAM callout AND wrap the local provider call in a per-request timeout/cancel that surfaces an actionable error (not a generic 500) when the upstream dies|failure-handling|25|llama3.3-70b 64GB+ heavyweight (dual-GPU / M4 Pro)|mira
HIGH|personas/community/testdata/gerald_fixture.patch:7|Fixture embeds the literal `sk-live-EXAMPLE-not-a-real-key` — the `sk-live-` prefix matches Stripe live-key patterns and the string ships in the binary via `//go:embed`; CI secret scanners (TruffleHog/Gitleaks rule sets that prefix-match) can intermittently fail the build or flag a committed test artifact as a real leak|Use an unambiguous synthetic marker that no scanner would prefix-match (e.g., `EXAMPLE-stripe-shape-only-not-a-key-`) and pin the prefix in a comment so reviewers know it is intentional|operational|15|const apiSecret = "sk-live-EXAMPLE-not-a-real-key"|mira
MEDIUM|personas/community_test.go:371|Locked `provider == "openrouter"` assertion is relaxed to an allowlist literal `{openrouter, local}` — any future sanctioned provider addition must touch this test plus the same literal; compile-time guarantee over routing keys is now weaker than for the rest of the persona contract|Move the allowed-providers set into a package-level `var` referenced by both production routing code and the test so the allowlist has a single source of truth and adding a provider is a one-line change|configuration|20|require.Containsf(t, []string{"openrouter", "local"}, e.Provider|mira
MEDIUM|internal/personas/drift.go:71|Prefix-match exemption `strings.HasPrefix(slug, "local/")` is unanchored beyond the slash — a future catalog slug like `local/foo` from any vendor would be silently swallowed; reasonable today but the exemption will not warn when the catalog ever grows such an id|Switch to a set of known local model identifiers (or require the prefix to be the entire first path segment with no further `/`) rather than a bare prefix check|configuration|15|return strings.HasPrefix(slug, localProviderSlugPrefix)|mira
MEDIUM|personas/community_test.go:126|New roster entries use `Tier: "local"` — if any downstream code switches on tier (selection logic, UI grouping, install defaults) it may have an unhandled case and silently demote or skip these personas|Audit tier switch sites and add an explicit `"local"` arm or a default branch that maps unknown tiers to a safe fallback|operational|30|{Slug: "gerald", VendorToken: "gemma", Tier: "local", Category: "secret"}|mira
MEDIUM|personas/community_test.go:371|The test relaxes the provider constraint to allow "local" but does not verify that local-provider personas use the "local/" model prefix required by the drift exemption in internal/personas/drift.go|Add a check that if provider is "local", model must have prefix "local/" to ensure consistency|testing|10|require.Containsf(t, []string{"openrouter", "local"}, e.Provider, ...) without a corresponding model prefix check|dax
MEDIUM|personas/community/gerald.md:45|Example evidence uses / as string delimiters, colliding with the / escape rule for literal | characters|Change the example to use standard quotes or escape the delimiter consistently|0|10/apiKey := /sk-live-EXAMPLE-not-a-real-key/ uses / as quotes, but rules say replace / with / — creates ambiguity for parsers or LLMs|brad
LOW|docs/personas-install.md:315|Placeholder api_key_env value assumes local server ignores auth headers, but vLLM/llama.cpp with auth enabled will 401 on dummy keys|Clarify that auth must be disabled locally or provide a valid local token|documentation|15|export OLLAMA_API_KEY=local-no-key-needed fails if local endpoint enforces header validation|brad
MEDIUM|internal/personas/drift.go:83|local/ prefix exemption is case-sensitive; Local/ or LOCAL/ slugs bypass the allowlist and trigger false missing drift reports|Use strings.EqualFold or normalize slug to lowercase before HasPrefix|reliability|10|isLocalProviderSlug uses strings.HasPrefix(slug, "local/") without case normalization|brad
LOW|docs/personas-install.md:312|`gerald` is listed as `local/gemma3-27b` in the table but the prompt refers to "Gemma dense model"|Consistency: use the same terminology (e.g. "Gemma 3 27B") in both the table and the persona prompt|style|5|Table uses bound model slug while prompt uses generic name|otto
