# atcr-findings/v1
HIGH|internal/fanout/grounding.go:88|Evidence-snippet fallback uses bidirectional substring match with 4-char floor, over-retaining short fabricated evidence|Use token-set Jaccard or raise evidenceMinMatch to tighten false-keep rate|correctness|30|strings.Contains(ev, cl) // strings.Contains(cl, ev) with evidenceMinMatch=12|dax
MEDIUM|internal/fanout/grounding.go:54|out-of-scope blanket exemption allows fabricated finding with category=out-of-scope to bypass AC2 in diff/blocks mode|Restrict exemption to files mode or require FILE:LINE/EVIDENCE anchor before honoring|correctness|30|strings.EqualFold(strings.TrimSpace(f.Category), reclib.CategoryOutOfScope) returns true unconditionally|dax
MEDIUM|internal/fanout/grounding.go:47|groundFindings ignores Result.Tools and Result.PayloadMode, dropping tool/files agents' legitimate citations outside changed range|Thread Tools/PayloadMode into gate and relax range/evidence requirement for tool/files agents|correctness|45|isGrounded only checks f.Category, f.File, f.Line, f.Evidence against changed map|dax
LOW|internal/fanout/artifacts.go:59|WritePool/findingsFor/writeResumedAgents accept grounding data via variadic changed ...payload.ChangedLines, allowing silent omission|Make Changed an explicit single nil-able parameter so grounding is a visible required argument|maintainability|30|func WritePool(poolDir string, results []Result, changed ...payload.ChangedLines)|dax
MEDIUM|internal/fanout/grounding_test.go:1|No test for evidence fallback with short boilerplate that should be rejected|Add case where evidence is "if err != nil {" (13 chars, above floor but ubiquitous) and assert it does NOT ground a finding|testing|15|evidenceMinMatch=12 allows 13-char boilerplate to pass|dax
MEDIUM|internal/fanout/grounding_test.go:1|No test for evidence fallback with whitespace/case normalization edge cases|Add case with mixed indentation, extra spaces, and case differences in evidence vs changed text|testing|15|collapseSpaces and strings.ToLower tested only with exact match in TestGroundFindings_KeepsViaEvidence|dax
LOW|internal/payload/grounding.go:1|No test for BuildChangedLines error path (validateRange failure, diffChunks failure)|Add test with invalid base/head refs asserting error return|testing|15|BuildChangedLines returns error from validateRange and diffChunks with no test coverage|dax
LOW|internal/payload/grounding_test.go:1|parseFileChange tests use synthetic chunks; no test with real git diff output for edge cases|Add integration test with merge commit, rename, or empty diff|testing|20|TestParseFileChange_RangesAndText and TestParseFileChange_CommentPrefixedContent use hand-crafted strings|dax
MEDIUM|internal/fanout/grounding_wiring_test.go:1|TestWritePool_DropsUngrounded only asserts one grounded finding survives; does not assert the ungrounded one is absent by count|Add explicit assertion that len(parsed.Findings)==1 and the dropped finding's line 999 is not present|testing|5|require.Len(t, parsed.Findings, 1) but no negative assertion on line 999|dax
LOW|internal/fanout/grounding_wiring_test.go:1|No test for WritePool with grounding data where all findings are ungrounded (empty pool)|Add case with all-unhallucinated findings and assert pool findings.txt is empty or has zero findings|testing|10|Only tests mixed grounded/ungrounded and no-grounding cases|dax
MEDIUM|internal/fanout/grounding.go:130|collapseSpaces uses strings.Fields which treats non-breaking spaces and other Unicode whitespace as fields; evidence with Unicode whitespace may not match|Use regexp whitespace collapse or document Unicode whitespace behavior|correctness|15|strings.Fields splits on unicode.IsSpace including \u00A0, \u2003, etc.|dax
