SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|SOURCE|REVIEWERS|CONFIDENCE
LOW|internal/astgroup/embed.go:56|.h and .hpp are unconditionally mapped to the cpp parser. .h is also used by plain C (fine, cpp config covers C) but also by Objective-C; those would be parsed under C++ brace rules. Low impact since cpp config is a reasonable superset for brace counting and any mismatch degrades to proximity.|No action needed for the current language set; if Objective-C is ever added, .h disambiguation will need content sniffing. Leave a one-line note on the .h case in LanguageForExt.|maintainability|5|code-review|claude|MEDIUM
MEDIUM|internal/astgroup/host_test.go:110|TestHost_BraceParsersLoadAndParse claims to verify the build-tag-selected per-language table reached the loaded binary, but every test source is language-generic: void f() / int f() / fun f() / void F() all recover a func via the shared funcParen path under ANY brace table. The test would still pass if all eight brace .wasm files were identical copies of one build, so it does NOT actually verify the correct per-language table was baked in.|Give each case a language-DISTINCTIVE source only the correct table classifies right, and assert the recovered kind AND name: kotlin when(x){} -> switch, csharp foreach(...){} -> for, cpp struct P{} -> class/Point, java record R(){} -> class; also assert java void f() -> func Name "f" so trailing-identifier naming is verified through the compiled wasm.|testing|60|code-review|claude|MEDIUM
LOW|internal/astgroup/parsers/build.sh:61|build.sh depends on GNU coreutils-only tools — sha256sum (line 61) and sort -V (line 21) — which are absent from a stock macOS install (ships shasum/md5 and historically a BSD sort lacking -V). With set -euo pipefail, a stock-mac contributor regenerating the binaries would abort. This dev box has coreutils, masking the gap. Pre-existing; the sprint added four new filenames to that same sha256sum line, extending reliance.|Detect the available tool (command -v sha256sum or fall back to shasum -a 256) and avoid sort -V for the version compare (numeric awk / sort -t. -k1,1n -k2,2n fallback), or document the GNU-coreutils prerequisite in the script header. Low priority — manual-only, non-CI script.|ops|30|code-review|claude|MEDIUM
LOW|internal/astgroup/parsers/src/braceparser/active_java.go:1|Each active_<lang>.go constrains only on the language tag (//go:build java) and not also on wasip1, even though the sole consumer of active (main.go) is //go:build wasip1. A host build invoked with two language tags (go build -tags "java kotlin") would hit a duplicate var active redeclaration. build.sh always passes exactly one tag so this never fires today, and the pattern matches the existing ts/php/rust/bash files.|Optionally tighten each constraint to //go:build wasip1 && java (and the same for the other seven) so the selector files only compile in the build that links active, making the single-tag invariant explicit. Cosmetic; safe to leave if matching the existing convention is preferred.|maintainability|15|code-review|claude|MEDIUM
LOW|internal/astgroup/parsers/src/braceparser/configs.go:207|C# 8+ allows a string literal nested inside an interpolation hole, e.g. $"{(b ? "y" : "n")}". The scanner enters stString on the outer ", ignores braces (good) but treats the first inner " as the closing delimiter, returning to normal mid-interpolation; subsequent braces/quotes then desync. Verbatim @"..." is called out as out-of-scope but nested interpolation is not. Grouping-only degrade.|Document nested-interpolation alongside verbatim in csharpConfig's comment as an accepted limitation; a real fix would require interpolation-hole state tracking (over-engineering for grouping). Verify by parsing $"{("x")}" and asserting no panic / degraded grouping only.|maintainability|15|code-review|claude|MEDIUM
MEDIUM|internal/astgroup/parsers/src/braceparser/configs_test.go:135|The epic added four per-language keyword tables but most kind mappings have zero coverage. Untested: kotlin class/object/interface/do; java enum/record/do; cpp class/union/namespace/enum/do; csharp struct/interface/enum/record/namespace/do. A typo'd kind or missing keyword in a new table (e.g. namespace omitted, record mismapped) would ship undetected, degrading grouping distinctness for those constructs.|Add table-driven cases per new language asserting kind for the class-family keywords distinctive to it (cpp namespace N{} -> class, union U{} -> class; csharp record R(){} -> class, interface I{} -> class; kotlin object O{} -> class; java enum E{} -> class, record R(){} -> class) plus one do {} -> while case each; assert Kind and Name for named class keywords.|testing|60|code-review|claude|MEDIUM
LOW|internal/astgroup/parsers/src/braceparser/configs_test.go:180|kotlinConfig sets funcParen=true specifically so keyword-less headers such as secondary constructors are still named, but no test exercises kotlin funcParen: TestKotlinConfig_FunAndMultilineString uses the fun keyword (keyword-table path, not funcParen). The only funcParen tests run against a synthetic method config, never the shipped kotlinConfig. If kotlin's funcParen flag were dropped, a constructor(x: Int) { block would silently lose its name with no failing test.|Add a kotlinConfig test with a keyword-less call-shaped header (e.g. constructor(name: String) {) asserting the block is recovered as a named func via funcParenName, confirming the per-language flag is wired.|testing|15|code-review|claude|MEDIUM
LOW|internal/astgroup/parsers/src/braceparser/main.go:7|The shared-source header comments still enumerate only the original four brace languages. main.go says "once per language (-tags ts/php/rust/bash)" and parse_core.go says "build tag ts/php/rust/bash", but epic 13.6 added java/kotlin/cpp/csharp tags. embed.go was updated to say "eight builds" while these guest-source headers were left stale, so the next reader is told the wrong set of build tags. No build/runtime impact.|Update both header comments to list all eight tags (ts/php/rust/bash/java/kotlin/cpp/csharp) or generalize the wording to "one tag per language" so the comment cannot drift again as languages are added.|maintainability|5|code-review|claude|MEDIUM
LOW|internal/astgroup/parsers/src/braceparser/parse_core.go:168|stTripleString closes on the first """ with no escape awareness. A Java text block legally containing an escaped \""" closes the triple string early; the remainder of the real block body is then scanned in stNormal, so its braces re-enter depth counting and can desync the stack until the next real """. Per the risk model this only degrades the affected finding to proximity. C# 4+-quote raw strings are documented; Java escaped \""" is not.|In stTripleString, when the config is a Java text block, honor a backslash before """ (skip one char on backslash). Cheaper alternative: extend the doc comment to list Java escaped \""" alongside the C# 4-quote limitation. Verify with a text block whose body contains \""".|correctness|30|code-review|claude|MEDIUM
LOW|internal/astgroup/parsers/src/braceparser/parse_core.go:261|Bash arithmetic tracking keys on (( / )) adjacency and keeps arithDepth and parenDepth in lockstep. A malformed or single-paren-closed arithmetic span ((( ... ) then newline) leaves arithDepth>0 indefinitely, suppressing heredoc detection for the rest of the file and skewing parenDepth-based ;/header reset. Self-inflicted only by broken input; degrades to proximity. Pre-existing (from 13.4).|Optionally reset arithDepth/parenDepth at a hard statement boundary (top-level newline with parenDepth imbalance) as a recovery valve, or accept as degrade-only. Verify with a deliberately unbalanced (( line followed by a real function with a heredoc.|error-handling|30|code-review|claude|MEDIUM
