HIGH|go.mod:12|wazero marked as `// indirect` but `internal/astgroup` directly imports it|Run `go mod tidy` to flip the marker to direct|correctness|5|`internal/astgroup/host.go` imports `github.com/tetratelabs/wazero` directly while require line says `// indirect`|bruce
HIGH|internal/astgroup/parsers/src/goparser/go.mod:5|go.mod requires Go 1.26 which is unreleased/uncertain|Use the actually-installed Go version (e.g. 1.23) so `build.sh` can regenerate the .wasm|correctness|5|`go 1.26` directive; current stable Go is 1.23.x, breaking parser rebuild|onestone
HIGH|internal/astgroup/parsers/src/pyparser/go.mod:3|go.mod requires Go 1.26 which is unreleased/uncertain|Use the actually-installed Go version so `build.sh` can rebuild pyparser.wasm|correctness|5|`go 1.26` directive blocks the manual regeneration path for the Python plugin|onestone
MEDIUM|internal/astgroup/host.go:181|Host.Close() is not idempotent and will error on double-close|Track a `closed bool` and return nil on subsequent calls|error-handling|10|`h.runtime.Close(h.ctx)` errors if runtime is already closed; tests + production both call Close via defer|onestone
MEDIUM|internal/reconcile/gate.go:222|Wazero runtime + WASI imports are eagerly created for every reconcile even when no Go/Python files are present|Lazy-init the grouper on first GroupKey call (or skip construction when opts.Root is empty / no relevant findings)|performance|15|`astGrouperFor(opts.Root)` runs `NewHost()` + `wasi_snapshot_preview1.Instantiate` unconditionally|onestone
MEDIUM|internal/astgroup/host.go:218|maxSourceBytes silently downgrades files >8 MiB to proximity grouping with no log|Log a warning (e.g. `slog.Warn("astgroup: source too large, falling back to proximity", "size", n)`) so users know why AST grouping dropped|maintainability|10|`return Node{}, fmt.Errorf("astgroup: source too large (%d bytes > %d)", ...)` is swallowed by `grouper.treeFor` returning `pf.ok = false`|onestone
MEDIUM|internal/astgroup/host.go:152|wasmParser.mu serializes all parses for the same language, so concurrent findings in one Go/Python file are single-threaded|Maintain a small pool of instantiated wasm modules per language and round-robin calls|performance|30|`p.mu sync.Mutex` wraps every `Parse`; one wasm instance per language caps throughput at one parse at a time|onestone
MEDIUM|internal/astgroup/grouper.go:80|Grouper caches parsed AST keyed by the cleaned `file`, but a symlink or relative-vs-absolute spelling pointing to the same on-disk file yields two cache entries and two parse runs|Normalize via `filepath.EvalSymlinks` after resolving (with containment check still enforced) and cache by that key|performance|15|`filepath.Clean(f.File)` does not collapse `subdir/./x.go` vs `subdir/x.go` symlink targets|onestone
LOW|internal/astgroup/parsers/src/pyparser/main.go:79|scanTripleQuotes heuristic treats `\"\"\"` inside a regular string as opening/closing a triple-quoted block|Mark as known limitation in a comment; this is a PoC parser but the docstring comment overstates correctness|maintainability|5|heuristic does not model backslash escapes; `r"""`/`f"""` work but `\"\"\"` does not|onestone
LOW|internal/astgroup/parsers/src/goparser/main.go:47|`unsafe.Pointer(&b[0])` captured into an int32 key assumes a wasip1 reactor only; a future native build would yield a non-zero-segment pointer|Add a build-tag or `runtime.GOOS == "wasip1"` guard around the wasmexport code so misuse fails fast at build time|correctness|5|host relies on `pins[p] = b` + `int32(uintptr(unsafe.Pointer(&b[0])))`; no assertion this is a wasm context|onestone
LOW|internal/reconcile/astgrouping.go:25|astGrouperFor returns `nil, noop` when disabled but its cleanup is named identically to the active path; readers can confuse them|Rename the disabled branch's cleanup to `noopCleanup` or document the contract inline|maintainability|3|`return nil, func() {}` — cleanup is correct but the indirection obscures intent at the call site|onestone
