SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|SOURCE|REVIEWERS|CONFIDENCE
LOW|internal/boundaries_test.go:1|Missing package documentation|Add package comment describing purpose|maintainancy|3|code-review|Reviewer|MEDIUM
LOW|internal/boundaries_test.go:5|Unnecessary blank line after package declaration|Remove blank line|maintainancy|1|code-review|Reviewer|MEDIUM
LOW|internal/boundaries_test.go:38|Unnecessary blank line after verify entry|Remove blank line|maintainancy|1|code-review|Reviewer|MEDIUM
LOW|internal/boundaries_test.go:45|Missing final newline|Add newline at end of file|maintainancy|1|code-review|Reviewer|MEDIUM
LOW|internal/fanout/postprocess.go:1|Missing package documentation|Add package comment describing purpose|maintainancy|3|code-review|Reviewer|MEDIUM
LOW|internal/fanout/postprocess.go:5|Unnecessary blank line after package declaration|Remove blank line|maintainancy|1|code-review|Reviewer|MEDIUM
LOW|internal/fanout/postprocess.go:25|Unnecessary blank line after function declaration|Remove stream.NormalizeSeverity call|maintainancy|3|code-review|Reviewer|MEDIUM
LOW|internal/fanout/postprocess.go:25|Comparison lacks braces for single-line if|Remove stream.NormalizeSeverity call|maintainancy|3|code-review|Reviewer|MEDIUM
MEDIUM|internal/fanout/postprocess.go:25|Redundant normalization adds overhead (disagreement: LOW vs MEDIUM)|Remove stream.NormalizeSeverity call|maintainancy|3|code-review|Reviewer|MEDIUM
LOW|internal/fanout/postprocess.go:36|Comparison lacks braces for single-line if|Remove stream.NormalizeSeverity call|maintainancy|3|code-review|Reviewer|MEDIUM
MEDIUM|internal/fanout/postprocess.go:36|Redundant normalization adds overhead (disagreement: LOW vs MEDIUM)|Remove stream.NormalizeSeverity call|maintainancy|3|code-review|Reviewer|MEDIUM
LOW|internal/fanout/postprocess.go:62|Missing final newline|Add newline at end of file|maintainancy|1|code-review|Reviewer|MEDIUM
LOW|internal/reconcile/disagree.go:1|Missing package documentation|Add package comment describing purpose|maintainancy|3|code-review|Reviewer|MEDIUM
LOW|internal/reconcile/disagree.go:5|Unnecessary blank line after package declaration|Remove blank line|maintainancy|1|code-review|Reviewer|MEDIUM
MEDIUM|internal/reconcile/disagree.go:282|Epic 3.5 normalized severity lookups only at the scoped boundary sites (merge.go:104 grayZoneItem disagree.go:338/360) but left disagree.go sibling finding-level lookups raw: spreadFromDisagreement (248-249) severitySplitItem (282) soloItem (298) verificationItem (322) sortDisagreements tiebreak (463) - severity is never normalized at parse time (parser.go:193 stores f[0] verbatim). On mixed-case input a real HIGH solo scores rank 0 and sorts dead-last and the radar-JSON ordering diverges from the normalized report-view ordering. Latent desync on the exact non-canonical-casing surface the epic set out to eliminate.|Wrap each raw SeverityRank lookup in disagree.go in stream.NormalizeSeverity: lines 248-249 (replace strings.TrimSpace with stream.NormalizeSeverity which trims and upper-cases) 282 298 322 and 463. Add a radar test feeding a lowercase-severity JSONFinding and asserting a non-zero solo score plus an ordering that matches render.go. Either normalize all reconcile lookup sites or none - do not leave the file half-migrated.|correctness|30|code-review|claude|MEDIUM|intent_note: deferred per epic §Clarifications - other reconcile lookup sites operate on provably-canonical data by design; normalization at lines 248-249/282/298/322/463 was explicitly scoped out
LOW|internal/reconcile/disagree.go:336|Unnecessary blank line after variable declaration|Assign stream.NormalizeSeverity(f.Severity) to maxSev for consistency with merge.go|maintainancy|5|code-review|Reviewer|MEDIUM
LOW|internal/reconcile/disagree.go:336|Comparison lacks braces for single-line if|Assign stream.NormalizeSeverity(f.Severity) to maxSev for consistency with merge.go|maintainancy|5|code-review|Reviewer|MEDIUM
MEDIUM|internal/reconcile/disagree.go:336|maxSev stores raw f.Severity instead of normalized form|Assign stream.NormalizeSeverity(f.Severity) to maxSev for consistency with merge.go|maintainancy|5|code-review|greta|MEDIUM
HIGH|internal/reconcile/disagree.go:336|Double normalization wastes cycles (disagreement: LOW vs HIGH)|Assign stream.NormalizeSeverity(f.Severity) to maxSev for consistency with merge.go|maintainancy|5|code-review|Reviewer|MEDIUM
LOW|internal/reconcile/disagree.go:355|Unnecessary blank line after variable declaration|Add braces for consistency|maintainancy|2|code-review|Reviewer|MEDIUM
HIGH|internal/reconcile/disagree.go:360|Double normalization wastes cycles (disagreement: MEDIUM vs HIGH)|Use stream.NormalizeSeverity(maxSev) consistently|performance|10|code-review|Reviewer|MEDIUM
MEDIUM|internal/reconcile/disagree.go:360|Potential rank lookup failure for maxSev|Use stream.NormalizeSeverity(maxSev) consistently|performance|10|code-review|otto|MEDIUM
LOW|internal/reconcile/disagree.go:365|Missing final newline|Add newline at end of file|maintainancy|1|code-review|Reviewer|MEDIUM
LOW|internal/reconcile/merge.go:1|Missing package documentation|Add package comment describing purpose|maintainancy|3|code-review|Reviewer|MEDIUM
LOW|internal/reconcile/merge.go:5|Unnecessary blank line after package declaration|Remove blank line|maintainancy|1|code-review|Reviewer|MEDIUM
HIGH|internal/reconcile/merge.go:103|Returning normalized severity breaks caller expectations (disagreement: LOW vs HIGH)|Remove the per-finding NormalizeSeverity call; normalize only at the true boundary (merge.go:104 raw reviewer stream.Finding)|maintainancy|30|code-review|Reviewer|MEDIUM
MEDIUM|internal/reconcile/merge.go:103|NormalizeSeverity called on every finding in mergeSeverity loop but findings already arrive canonical from upstream|Remove the per-finding NormalizeSeverity call; normalize only at the true boundary (merge.go:104 raw reviewer stream.Finding)|maintainancy|30|code-review|bruce|MEDIUM
LOW|internal/reconcile/merge.go:103|Unnecessary blank line and comparison lacks braces for single-line if|Remove the per-finding NormalizeSeverity call; normalize only at the true boundary (merge.go:104 raw reviewer stream.Finding)|maintainancy|30|code-review|Reviewer|MEDIUM
LOW|internal/reconcile/merge.go:124|Missing final newline|Add newline at end of file|maintainancy|1|code-review|Reviewer|MEDIUM
