# Merged TD Stream from direct review
# SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|EVIDENCE|REVIEWER

LOW|internal/fanout/review.go:236|Potential stderr noise in loop|Move stderr warning outside of PrepareReview/PrepareReviewFromDiff if called in a loop|maintainability|10|fmt.Fprintln(os.Stderr, "warn: "+scopeWarn) is called during review preparation|otto
HIGH|internal/payload/sprintplan.go:38|Unbounded file read before size cap enables DoS via large file|Use io.LimitReader or read with a fixed-size buffer|security|15|os.ReadFile(path) loads entire file into memory before truncation|greta
MEDIUM|internal/payload/sprintplan.go:82|Prompt injection via delimiter collision in sprint plan content|Sanitize plan content to escape or remove BEGIN/END markers|security|10|b.WriteString(plan) injected verbatim without escaping delimiter strings|greta
MEDIUM|internal/payload/sprintplan.go:45|Unbounded file read before size cap|Use io.LimitReader capped at MaxSprintPlanBytes to avoid OOM|performance|10|os.ReadFile loads whole file before 16KiB cap; violates 5ms NFR|bruce
MEDIUM|internal/payload/sprintplan.go:32|Incorrectly trimming plan content before capping|Trimming removes meaningful whitespace; should only check emptiness via trim|correctness|15|Trimming removes meaningful whitespace; should only check emptiness via trim|reviewer
MEDIUM|internal/fanout/resume.go:287|Resume path silently drops sprint plan constraint|Call resolveScopeConstraint(req) in PrepareResume and pass result to buildSlots so resumed agents honor --sprint-plan|correctness|15|buildSlots called with "" constraint, req.SprintPlanPath ignored on resume|bruce
MEDIUM|internal/payload/sprintplan.go:38|Reads entire file into memory before capping|Use io.LimitReader with os.Open to cap read at MaxSprintPlanBytes|performance|10|os.ReadFile allocates full file size, risking OOM on large inputs|CodeReviewer
LOW|cmd/atcr/review.go:94|Ignores error from cmd.Flags().GetString|Handle error or assert flag existence|maintainability|2|v, _ := cmd.Flags().GetString ignores potential flag lookup failure|CodeReviewer
MEDIUM|internal/fanout/review.go:240|Redundant scope resolution call|Call resolveScopeConstraint once in PrepareReviewFromDiff|correctness|10|Called in both PrepareReview and PrepareReviewFromDiff with same logic|bruce
MEDIUM|internal/fanout/resume.go:287|Sprint plan constraint dropped on resume|Load and pass constraint from req.SprintPlanPath in PrepareResume, or load it from persisted slots|maintainability|15|buildSlots called with empty scopeConstraint during resume; SCOPE CONSTRAINT may not survive resume|mira
MEDIUM|internal/fanout/resume.go:287|Sprint plan SCOPE CONSTRAINT not applied during resume|Thread scopeConstraint from req.SprintPlanPath through PrepareResume → buildSlots, or document that slots persist the constraint|correctness|15|buildSlots receives "" for scopeConstraint during resume; constraint may be lost if payloads rebuilt from raw diff|mira
MEDIUM|internal/fanout/resume.go:287|Sprint plan SCOPE CONSTRAINT not threaded through PrepareResume → buildSlots|If payloads are loaded from persisted slots (which contain the constraint), this is fine. If payloads are rebuilt from raw diff, the constraint is lost on resume. Verify and either thread the constraint from req.SprintPlanPath or document that slots are loaded with constraint already applied.|correctness|15|buildSlots called with "" for scopeConstraint during resume; sprint plan constraint may be lost if payloads rebuilt from raw diff instead of persisted slots|mira
MEDIUM|internal/fanout/resume.go:287|Sprint plan SCOPE CONSTRAINT may not survive resume|Verify how `payloads` is loaded in PrepareResume and either thread scopeConstraint from req.SprintPlanPath or rely on persisted slot prompts (which would already carry the constraint)|correctness|15|buildSlots called with "" for scopeConstraint; SprintPlanPath is on req but not threaded through|mira
HIGH|internal/payload/sprintplan.go:38|Path trimmed for empty check but untrimmed for os.ReadFile|Trim path before passing to os.ReadFile or use trimmed value consistently|correctness|5|strings.TrimSpace(path)=="" check uses trimmed path but os.ReadFile(path) uses raw path with possible whitespace|base-code-reviewer
