# atcr-findings/v1
MEDIUM|internal/verify/localvalidate_pgroup_unix.go:27|ESRCH is matched with == rather than errors.Is - correct today because syscall.Kill returns a bare Errno, but a future wrapped return would misreport the already-exited race as a hard kill error instead of ProcessDone|Use errors.Is(err, syscall.ESRCH) to stay robust to wrapping and match the errors.Is convention used elsewhere in localvalidate.go|error_paths|5|err == syscall.ESRCH|greta
HIGH|internal/verify/localvalidate_pgroup_unix.go:26|Cancel returns non-ESRCH kill errors directly to exec.CommandContext, which ignores cancel errors and proceeds to Wait; the kill error is discarded and never reaches the caller, so a failed group kill (e.g. EPERM from a privilege-dropped child) is silent and indistinguishable from a clean kill|Return nil on non-ESRCH errors so the cancel is acknowledged but don't surface the kill failure; surface the failure separately via a result field (e.g. ReapError) or log it at minimum|error-handling|20|Cancel returns err directly; exec.CommandContext.cancel does not propagate cancel errors|mira
MEDIUM|internal/verify/localvalidate_pgroup_unix.go:26|The group SIGKILL fires only when runCtx.Done() triggers Cancel; if the command exits 0 or non-zero before the timeout, Cancel never fires and any orphaned grandchildren survive indefinitely|Acceptable within the timeout-only epic scope but leaves a leak path if a validation command backgrounds children and exits; document the limitation explicitly|under-engineering|15|No mechanism for the clean-exit case|mira
LOW|internal/verify/localvalidate_pgroup_unix.go:33|errors.Is not used — bare `err == syscall.ESRCH` works today but breaks if Kill wraps the error in a wrapped sentinel (e.g. os.(*PathError) wrapping syscall.Errno)|Use errors.Is(err, syscall.ESRCH) and add a comment that this must track any future wrapping|error-paths|5|bare == comparison on line 33|mira
MEDIUM|internal/verify/localvalidate_pgroup_unix_test.go:47|processAlive uses bare PID without any uniqueness guarantee across the 5s Eventually window — OS PID recycling can flip the assertion to a false-negative failure or, if a new process happens to appear at that PID, a false-positive pass|Use kill(-pid, 0) to probe the whole group rather than a single recycled PID, or capture the child start-time via os.FindProcess and compare to confirm it's the original process|edge-cases|15|processAlive probes a single PID that may be recycled|mira
LOW|internal/verify/localvalidate_pgroup_unix.go:29|Non-ESRCH errors from syscall.Kill (e.g., EPERM if a group member drops privileges) propagate up through cmd.Run() and bypass the TimedOut branch in RunConfiguredValidation, masking a failed reap as a clean timeout|Log or record the error when it is neither nil nor ESRCH so RunConfiguredValidation can surface reap failures instead of masking them|OBSERVABILITY|15|err := syscall.Kill(-cmd.Process.Pid, syscall.SIGKILL) ... if err == syscall.ESRCH { return os.ErrProcessDone } return err|dax
LOW|internal/verify/localvalidate_pgroup_unix_test.go:47|processAlive relies on the reaped grandchild PID not being recycled by the OS within the 5s Eventually window; PID reuse flips the assertion to a false-negative failure|Accept the low probability as documented, or additionally probe the whole group (kill(-pid, 0)) or capture the child start time to detect reuse|EDGE_CASES|15|return syscall.Kill(pid, syscall.Signal(0)) != syscall.ESRCH|dax
MEDIUM|internal/verify/localvalidate_pgroup_unix_test.go:68|The happy-path test only covers exit-0; AC2 requires pass/fail runs to be unaffected, but no test verifies that a clean non-zero exit preserves ExitCode and sets Passed()=false under the new cancel override|Add a case running a command that exits non-zero (e.g., sh -c "exit 1") and assert ExitCode matches and Passed() is false|testing|10|require.False(t, res.TimedOut, "a command that exits within the timeout must not be marked timed out")|dax
LOW|internal/verify/localvalidate_pgroup_unix.go:22|If the context is cancelled before cmd.Start() finishes, cmd.Process is nil. The override returns nil, but this race condition is untested and could mask start errors or interact unpredictably with future Go versions that call Cancel differently|Add a test that cancels the context immediately after invoking RunConfiguredValidation to verify no panic and correct handling of pre-start cancellation|testing|10|if cmd.Process == nil { return nil }|dax
MEDIUM|internal/verify/localvalidate.go:108|Timeout path returns res, nil unconditionally when context is done, silently discarding runErr — if the process-group Cancel fails (e.g. EPERM from setuid grandchildren or LSM restrictions), the kill is incomplete and orphans survive without any signal|Inspect runErr on the timeout branch or log non-nil/non-ESRCH cancel errors so incomplete reaps are observable and can fail-closed|correctness|20|if errors.Is(runCtx.Err(), context.DeadlineExceeded) // errors.Is(runCtx.Err(), context.Canceled) { res.TimedOut = true; return res, nil } masks the error returned by cmd.Run() which includes Cancel failures|brad
LOW|internal/verify/localvalidate_pgroup_unix_test.go:53|250ms timeout races with shell scheduling under CI load: sh may be preempted before echo $! executes, leaving res.Stdout empty and causing require.NotEmpty to fail before the Eventually reaping assertion can run|Increase the fixture timeout to 1s or add a synchronous barrier before wait to guarantee PID emission within the deadline|testing|10|sh -c "sleep 100 & echo $! ; wait" with 250ms deadline can be interrupted before the background job is registered and PID printed|brad
LOW|internal/verify/localvalidate_pgroup_unix.go:33|ESRCH matched with == instead of errors.Is|Use errors.Is(err, syscall.ESRCH)|idiom|5|if err == syscall.ESRCH|otto
