# Merged TD Stream from direct review
# SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|EVIDENCE|REVIEWER

MEDIUM|internal/atomicfs/atomic.go:44|WriteJSON appends newline unconditionally, doubling newlines on re-write|Strip trailing newline before appending or document that callers must not include one|correctness|10|data = append(data, '\n') — if v marshals to "{\n}\n" the file gets "{\n}\n\n"|bruce
MEDIUM|internal/atomicfs/atomic.go:83|copyFile reads entire file into memory; large backups may OOM|Use io.Copy with buffered I/O for files above a threshold|performance|15|data, err := os.ReadFile(src) — no size limit; backup of large review dirs could exhaust memory|bruce
LOW|internal/atomicfs/atomic.go:102|copyTree skips symlinks silently; no diagnostic for unexpected entries|Log or return error when encountering non-regular, non-directory entries|maintainability|5|if !info.Mode().IsRegular() { return nil } — silently drops symlinks, devices, named pipes|bruce
MEDIUM|internal/fanout/reviewdir.go:210|ScaffoldReviewDir collision error uses full path, leaking filesystem layout in MCP mode|Use the id string only, not the resolved path, in the error message|security|5|fmt.Errorf("review directory %s already exists...", dir) — exposes absolute .atcr path to MCP clients|bruce
LOW|internal/fanout/reviewdir.go:266|ScaffoldOutputDir collision error uses full path, leaking filesystem layout|Use a relative or sanitized path in the error message|security|5|fmt.Errorf("output directory %q already exists...", dir) — exposes absolute path to MCP clients|bruce
LOW|internal/fanout/reviewdir.go:306|guardForeignBackup uses os.ReadDir on a path that may be a regular file, causing confusing error|Stat first to distinguish file vs directory, then decide|correctness|10|os.ReadDir(backup) on a regular file returns an error, but the message says "exists and was not created by atcr" which is misleading|bruce
MEDIUM|internal/reconcile/gate.go:188|BackupToDotBak called while holding no lock; concurrent reconcile runs may race on backup|Acquire a file lock before backup, or document that callers must serialize|correctness|15|Two concurrent reconcile runs could both try to backup/overwrite reconciled.bak/ simultaneously|bruce
LOW|internal/verify/emit_verification.go:159|BackupExistingVerification exported but only used internally; unnecessary API surface|Unexport the function or move it to an internal helper|maintainability|5|func BackupExistingVerification — exported but only called from emit_verification.go and pipeline.go in the same package|bruce
MEDIUM|internal/atomicfs/atomic.go:75|Unbounded file read in copyFile risks OOM/DoS|Use io.Copy with fixed buffer for streaming copy|security|10|data, err := os.ReadFile(src) loads entire file into memory|greta
LOW|internal/atomicfs/atomic.go:52|BackupToDotBak follows symlinks via os.Stat|Use os.Lstat to detect symlinks and abort or skip|security|15|info, err := os.Stat(src) dereferences symlinks before backup|greta
MEDIUM|internal/verify/pipeline.go:353|Redundant backup call|Remove call to BackupExistingVerification in pipeline.go|performance|5|BackupExistingVerification is called both in runVerify (pipeline.go:353) and again inside WriteVerification (emit_verification.go:149)|otto
MEDIUM|internal/verify/pipeline.go:352|Backup called in both pipeline and emit risks overwriting .bak with new data|Consolidate backup to single write path|correctness|15|BackupExistingVerification invoked before writeGroupAtomic and in WriteVerification|code-reviewer
LOW|internal/fanout/reviewdir.go:284|os.RemoveAll before os.Rename loses backup on rename failure|Rename to temp, remove old, then rename temp|correctness|10|os.RemoveAll(backup) executes before os.Rename(path, backup)|code-reviewer
