SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|SOURCE|REVIEWERS|CONFIDENCE
MEDIUM|internal/astgroup/parsers/src/braceparser/configs.go:86|Missing 'use strict' or module-level strict for JS|Document TS/JS config covers strict mode implicitly|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/astgroup/parsers/src/braceparser/main.go:1|Wasm ABI (alloc/free/parse/emit/pins) duplicated across three parser modules|Extract shared ABI into common guest package|maintainability|60|code-review|bruce|MEDIUM
LOW|internal/astgroup/parsers/src/braceparser/main.go:41|Potential memory leak in pins map|Implement a mechanism to limit the growth of the pins map or ensure all allocated memory is freed by the host|resource-management|30|code-review|otto|MEDIUM
MEDIUM|internal/astgroup/parsers/src/braceparser/main.go:46|The parse(ptr,n) bounds guard is !ok or int(n) > len(buf); a negative n (int32 < 0) is not > len(buf), so it passes and buf[:n] panics with slice bounds out of range. A guest panic is worse than a misparse. The host currently always passes a real byte length so it is unreachable in practice, but the ABI validation itself misses the sign check. (disagreement: LOW vs MEDIUM)|At main.go:46-49 change the guard to !ok or n < 0 or int(n) > len(buf) and return the bad pointer error node. Verify parse(ptr,-1) returns the error node instead of panicking.|error-handling|5|code-review|claude,bruce,greta|HIGH
LOW|internal/astgroup/parsers/src/braceparser/main.go:46|Empty source returns EndLine=1 instead of 0|At main.go:46-49 change the guard to !ok or n < 0 or int(n) > len(buf) and return the bad pointer error node. Verify parse(ptr,-1) returns the error node instead of panicking.|error-handling|5|code-review|bruce|MEDIUM
LOW|internal/astgroup/parsers/src/braceparser/parse_core.go:140|Bash param expansion state ignores quotes, braces in quoted strings affect depth|Add quote tracking in stParamExp state|correctness|30|code-review|bruce|MEDIUM
MEDIUM|internal/astgroup/parsers/src/braceparser/parse_core.go:167|No bounds check before unsafe pointer cast|Add length check before unsafe.Pointer(&b[0])|security|5|code-review|bruce|MEDIUM
LOW|internal/astgroup/parsers/src/braceparser/parse_core.go:174|Shadowed variable name|Rename inner 'line' variable|correctness|5|code-review|bruce|MEDIUM
MEDIUM|internal/astgroup/parsers/src/braceparser/parse_core.go:185|TS/JS regex literals are unhandled by the stNormal scanner (only /* and // are recognized after a slash), so every { or } inside a regex is counted as a real brace. function f(){ const re=/^}/; } pops f early; the quantifier form /\d{3}/g fabricates a spurious empty child block. The ts table has no regex flag (configs.go:19-37), so this is a whole unhandled brace-desync class for TS/JS.|Add minimal regex-literal skipping in stNormal: enter a regex state on / when the previous significant token is an operator / ( / , / = / return, exit on the unescaped closing / (ignoring [...] char classes). Or explicitly document regex-as-unhandled. Verify const re = /^}{2}[{]/g; inside a function stays one balanced block.|correctness|120|code-review|claude|MEDIUM
LOW|internal/astgroup/parsers/src/braceparser/parse_core.go:220|Rust char literal Unicode escapes with braces not handled|Inherent to a brace-only heuristic: either document the limitation, or special-case an open-brace immediately followed by a comma-list (no surrounding whitespace) as expansion in bash mode. Verify f(){ cp a{1,2}; echo done; } stays a single func with no child block.|correctness|60|code-review|bruce|MEDIUM
LOW|internal/astgroup/parsers/src/braceparser/parse_core.go:220|Bash brace expansion is unhandled, so echo {a,b,c}, cp file{1,2}, mkdir -p {x,y}, and for i in {1..10} each hit case c == open-brace / case c == close-brace. Balanced forms create a spurious empty child block (low harm); a one-sided or line-split expansion can pop the enclosing function early. These forms are very common in shell scripts.|Inherent to a brace-only heuristic: either document the limitation, or special-case an open-brace immediately followed by a comma-list (no surrounding whitespace) as expansion in bash mode. Verify f(){ cp a{1,2}; echo done; } stays a single func with no child block.|correctness|60|code-review|claude|MEDIUM
LOW|internal/astgroup/parsers/src/braceparser/parse_core.go:260|Arrow function detection uses > bestIdx, could prefer => over preceding keyword|Change to >= or validate => not preceded by function keyword|correctness|15|code-review|bruce|MEDIUM
MEDIUM|internal/astgroup/parsers/src/braceparser/parse_core.go:274|classifyHeader returns func whenever LastIndex(h, =>) beats the best keyword index, regardless of arrow position. A control header with an inline arrow — for (const x of items.map(i => i.id)) {, switch (pick(() => v)) {, while (xs.some(x => x>0)) { — is classified func instead of for/switch/while, and () => ({...}) tags the returned object literal as func. Wrong-kind classification that can false-merge a loop body with a real arrow function.|At parse_core.go:274-278 only honor => when it is the trailing significant token of the header (no introducing keyword and => at paren-depth 0 near the end), not merely present-and-later-than-a-keyword. Verify for (... i => ...) { classifies as for.|correctness|30|code-review|claude|MEDIUM
LOW|internal/astgroup/parsers/src/braceparser/parse_core.go:283|Scanner does not handle \r line ending, may miscount lines on Windows files|Exclude reserved control words (catch, with, switch) from funcParenName, or only apply funcParen inside class bodies. Verify try { } catch (e) { } yields two anonymous blocks, not a func named catch.|correctness|15|code-review|reviewer|MEDIUM
LOW|internal/astgroup/parsers/src/braceparser/parse_core.go:283|With funcParen on for ts and no catch keyword, classifyHeader falls through to funcParenName(catch (e)) which sees a single identifier before ( and a trailing ) and returns func named catch. Every catch clause becomes a func named catch — a wrong kind that can false-merge a catch block with an actual function and pollutes func-level grouping.|Exclude reserved control words (catch, with, switch) from funcParenName, or only apply funcParen inside class bodies. Verify try { } catch (e) { } yields two anonymous blocks, not a func named catch.|correctness|15|code-review|claude|MEDIUM
MEDIUM|internal/astgroup/parsers/src/braceparser/parse_core.go:289|Unused 'heredocPending' tracking|Remove heredocPending variable or use it|maintainability|3|code-review|bruce|MEDIUM
LOW|internal/astgroup/parsers/src/braceparser/parse_core.go:320|identAfter skips only spaces then reads identifier bytes, so for impl<T> Foo<T> it lands on < immediately after impl and returns an empty name. Generic impls and impl<T> Trait for Foo are very common in Rust, so they classify as class with empty name and can false-merge across unrelated generic impls of identical shape.|At parse_core.go:320-329 when the byte after the keyword is <, skip the balanced <...> generic list before reading the name (and for impl ... for X, prefer the type after for). Verify impl<T> Foo<T> { yields class/Foo.|maintainability|30|code-review|claude|MEDIUM
MEDIUM|internal/astgroup/parsers/src/braceparser/parse_core.go:334|funcParenName requires the entire text before the first ( to be a single identifier, so any TS method modifier defeats it: async foo() {, public bar() {, static baz() {, get x() {, private async qux() { all classify as anonymous block instead of func with a name. Most real TS class methods carry a modifier, so the naming precision this parser exists for is lost and structurally-identical modifiered methods can false-merge.|At parse_core.go:334-353 take the LAST identifier token immediately preceding the ( (after trimming a leading run of modifier words and whitespace) as the name, rather than rejecting on any embedded space. Verify async foo() and public static bar() yield func/foo and func/bar.|maintainability|30|code-review|claude|MEDIUM
LOW|internal/astgroup/parsers/src/braceparser/parse_core.go:444|charLiteralLen returns 0 for multi-byte escapes like '\u{7f}', so the lone quote is dropped and the following \u{7f} is scanned in normal state — its { calls openBlock and } calls closeBlock, fabricating a spurious empty child block on that line (balanced, no swallow). The comment at 439-443 claims this is safe but only addresses string state, not brace depth.|Recognize the '\u{...}' and '\x..' escape forms in charLiteralLen (or skip a backslash-escape run up to the closing quote) so their braces never reach openBlock; at minimum correct the comment. Verify let c = '\u{7f}'; produces no child block.|correctness|30|code-review|claude|MEDIUM
LOW|internal/astgroup/parsers/src/braceparser/parse_core.go:456|Inefficient string allocation|Use bytes.Equal instead of string conversion|performance|3|code-review|bruce|MEDIUM
MEDIUM|internal/astgroup/parsers/src/braceparser/parse_core.go:466|isHeredocStart accepts any non-digit identifier byte after <<, so bash arithmetic like $(( 1 << n )) or x=$((a<<bits)) is treated as a heredoc with tag n/bits. heredocPending then flips to stHeredoc on the next newline and the scanner swallows every following line to EOF (the tag is never seen), emitting no further blocks. The doc comment claims it guards bit-shift a << b but only rejects the digit form a << 2.|Tighten isHeredocStart to require << in command position (preceded by whitespace / pipe / ampersand / semicolon / start, not inside $(( or (( ), or track arithmetic-context depth so << there is never a heredoc. Verify f(){ echo $((1<<n)); echo done; } stays a single func ending at its real brace.|correctness|60|code-review|claude|MEDIUM
