# Merged TD Stream from direct review
# SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|EVIDENCE|REVIEWER

LOW|internal/tdmigrate/generate.go:45|Potential column misalignment in Markdown table|Use a consistent number of spaces or a dedicated table library for alignment|maintainability|15|The wide table has 11 columns but the loop uses a fixed format string that may not align visually|otto
MEDIUM|internal/tdmigrate/run.go:66|migrate validates shards but doesn't validate items before writing|Add item-level validation call before WriteShards|correctness|10|Item validation exists but isn't called in the migrate path|bruce
MEDIUM|internal/tdmigrate/run.go:96|migrate validates shards but doesn't validate items before writing|Add item-level validation call before WriteShards|correctness|10|Item validation exists but isn't called in the migrate path|bruce
MEDIUM|internal/tdmigrate/shard.go:91|WriteShards prunes *.yaml files without confirming they're shard files|Check file content prefix before deletion|correctness|15|Glob removes all *.yaml in dir; non-shard YAML files would be silently deleted|bruce
HIGH|internal/tdmigrate/shard.go:78|WriteShards deletes all *.yaml files in directory|Restrict prune to files matching shard naming pattern (YYYY-MM-DD_*.yaml)|correctness|10|filepath.Glob("*.yaml") removes any .yaml file, not just shards|bob
MEDIUM|internal/tdmigrate/parse.go:58|splitRow doesn't handle escaped pipes (\|) in markdown cells|Support escaped pipes or document that source table must not contain them|correctness|15|strings.Split(line, "|") splits on literal pipes only
LOW|internal/tdmigrate/generate.go:49|cell() only sanitizes pipes and newlines, not other markdown|Escape backticks, asterisks, brackets for safer markdown table cells|maintainability|5|Markdown table cells can contain *, _, `, [, ] without breaking structure|bob
LOW|internal/tdmigrate/item.go:63|Item.File field accepts arbitrary strings without validation|Add optional path format validation (file:line pattern) for consistency|maintainability|10|File field is free text but used in markdown table as file:line reference|bob
MEDIUM|internal/tdmigrate/parse.go:39|Section regexes fail on trailing whitespace or CRLF|Trim lines before regex matching|correctness|5|Regex `$` fails on `\r` or trailing spaces, mis-routing table rows|base
LOW|internal/tdmigrate/item.go:120|Validate iterates over map for required fields|Use an ordered slice of structs instead|maintainability|3|Map range order is randomized, causing flaky error messages|base
LOW|internal/tdmigrate/parse.go:16|Drift regex misses malformed headers without colon|Add catch-all for any `### [date] From` line|correctness|5|Missing colon bypasses detection and silently drops rows|base
MEDIUM|internal/tdmigrate/parse.go:43|Section header regex fails on CRLF line endings due to trailing \r|Strip \r from lines before regex matching or update regex to allow \r|correctness|5|FindStringSubmatch(line) fails if line ends with \r|greta
MEDIUM|internal/tdmigrate/shard.go:75|Unconditional deletion of all *.yaml in target directory risks data loss|Restrict deletion to files matching a specific prefix or pattern owned by the tool|correctness|10|os.Remove(f) for all *.yaml in dir|greta
MEDIUM|internal/tdmigrate/shard.go:76|WriteShards blindly deletes all *.yaml files in target dir|Restrict deletion to tool-managed filenames or verify dir ownership|correctness|10|filepath.Glob("*.yaml") then os.Remove(f) wipes unrelated files|bruce
LOW|internal/tdmigrate/parse.go:48|splitRow ignores escaped pipes \| which breaks column count|Handle \| escaping or use a markdown table parser|correctness|15|strings.Split(line, "|") splits on \| corrupting cell count|bruce
LOW|internal/tdmigrate/run.go:59|newFlags defines --readme for generate/validate where unused|Use subcommand-specific flag sets to avoid confusion|maintainability|5|fs.String("readme", ...) defined but ignored by generate/validate|bruce
MEDIUM|internal/tdmigrate/shard.go:67|Prite ALL YAML files in dir, including manually created shards|Only delete files written by this tool; use a marker file or track written names|correctness|15|WriteShards uses Glob *.yaml and RemoveAll; manual shards are silently deleted|patricia
MEDIUM|internal/tdmigrate/fixtures_test.go:96|Test expects tabs rejected but yaml.v3 allows tab indentation|Add custom tab-checking before decode, or configure decoder to reject tabs|correctness|5|TestStrictLoad_RejectsTabIndentation will fail - yaml.v3 permits tabs by default|patricia
MEDIUM|internal/tdmigrate/validate.go:44|Missing directory existence check|Add os.Stat check before Glob; error if dir missing|error-handling|10|filepath.Glob on missing dir returns nil; ValidateDir reports "0 shard(s) OK"|bruce
LOW|internal/tdmigrate/run.go:42|Unused args parameter in newFlags|Remove args parameter from function signature|maintainability|3|args string parameter never referenced in body|bruce
