HIGH|internal/verify/syntaxguard.go:55|jsonKeyLineRe (`^\s*"[^"]*"\s*:`) uses a non-escape-aware character class, so a JSON object whose ONLY member key contains an escaped quote (e.g. "a\"b": 1) does not match. looksLikeNonGoBraces then returns false, the block-brace signal fires, and the single-key escaped-quote JSON object is spuriously flagged invalid_syntax — the same false-positive class Epic 7.5 set out to close. Verified empirically: validateGoFixSyntax returns "illegal label declaration". Multi-key objects are unaffected because a sibling clean-key line still matches, so blast radius is narrow. (disagreement: LOW vs HIGH)|Widen jsonKeyLineRe to tolerate backslash-escapes in the key using an escape-aware character class (allow a non-quote/non-backslash char OR a backslash-escaped char between the quotes; RE2-safe, no backtracking). Add a single-key fixture {\n  "a\"b": 1\n} to syntaxguard_test.go asserting NoError. Alternatively accept and document the boundary as a known narrow limitation.|maintainability|15|code-review|agent,otto,greta,Residual FP for `{"a\"b":1}`; conservative-recall tolerant,bruce,claude,Regex `[^"]*` cannot match `\"` in keys like `"foo\"bar":`|HIGH
LOW|internal/verify/syntaxguard.go:167|jsonKeyLineRe does not match keys with escaped quotes|Either accept limitation or use `"(?:[^"\\]|\\.)*"`|5|code-review|`[^"]*` won't match `"key\"with\"escapes"` which is rare but valid JSON|MEDIUM
LOW|internal/verify/syntaxguard.go:167|Inefficient regex re-execution|Either accept limitation or use `"(?:[^"\\]|\\.)*"`|5|code-review|bruce|MEDIUM
HIGH|internal/verify/syntaxguard.go:167|looksLikeGoCode logic unclear without comments|Either accept limitation or use `"(?:[^"\\]|\\.)*"`|5|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard.go:172|looksLikeNonGoBraces may suppress valid Go with string keys|Order is correct per design but could be clearer|maintainability|5|code-review|agent|MEDIUM
MEDIUM|internal/verify/syntaxguard.go:172|looksLikeNonGoBraces called before block brace check but after decl keyword|Order is correct per design but could be clearer|maintainability|5|code-review|bruce|MEDIUM
LOW|internal/verify/syntaxguard.go:190|The looksLikeNonGoBraces comment states it suppresses when there is "no Go declaration keyword", reading as if the JSON is structurally key-checked. In reality declKeywordRe is a coarse whole-input line-anchored scan, so a JSON value line beginning with a Go keyword (func/type/var/...) defeats suppression and re-arms the block-brace flagging. This is benign — it only re-arms pre-existing 7.1 behavior and never adds new flagging beyond 7.1 (AC2 intact) — but the comment over-promises and could mislead a future maintainer.|Tighten the comment at syntaxguard.go:183-189 to note the keyword check is a coarse whole-input line scan (not key-aware), so a JSON value line starting with a Go keyword defeats suppression — acceptable because it only re-arms 7.1 behavior, never adds flagging. No code change.|maintainability|5|code-review|claude|MEDIUM
LOW|internal/verify/syntaxguard.go:190|Redundant declKeywordRe.MatchString — already checked at line 174|Tighten the comment at syntaxguard.go:183-189 to note the keyword check is a coarse whole-input line scan (not key-aware), so a JSON value line starting with a Go keyword defeats suppression — acceptable because it only re-arms 7.1 behavior, never adds flagging. No code change.|maintainability|5|code-review|base-code-reviewer|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:218|Missing header comment for Epic 7.5 tests|Add epic reference in test file header|maintainability|2|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:224|Inconsistent test function spacing|Add blank line before test function|maintainability|3|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:224|Test uses assert.NoError instead of require.NoError|Add blank line before test function|maintainability|3|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:231|Inconsistent test function spacing|Add blank line after test function|maintainability|5|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:231|Missing test for empty JSON object {}|Add blank line after test function|maintainability|5|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:238|Inconsistent test function spacing|Add test for trailing comma in JSON|maintainability|5|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:238|Missing test for JSON with trailing comma|Add test for trailing comma in JSON|maintainability|5|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:245|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
LOW|internal/verify/syntaxguard_test.go:252|Test name references AC4 but doesn't assert conservative-recall policy|Rename to TestValidateGoFixSyntax_BrokenGoMapSuppressed|maintainability|5|code-review|bruce|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:252|Test name too long and unclear|Rename to TestValidateGoFixSyntax_BrokenGoMapSuppressed|maintainability|5|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:252|Inconsistent test function spacing|Rename to TestValidateGoFixSyntax_BrokenGoMapSuppressed|maintainability|5|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:259|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:266|Test for looksLikeNonGoBraces misses edge cases|Add test for mixed Go/non-Go lines|maintainability|5|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:266|Inconsistent test function spacing|Add test for mixed Go/non-Go lines|maintainability|5|code-review|agent|MEDIUM
LOW|internal/verify/syntaxguard_test.go:271|looksLikeNonGoBraces not tested with content having both JSON key line and Go decl keyword|Add table cases to TestLooksLikeNonGoBraces (syntaxguard_test.go:274) for "": 1 (expect true), "café": 1 (expect true), and "a\"b": 1 (pin the chosen behavior after the regex decision). Verify via go test ./internal/verify/.|maintainability|15|code-review|bruce|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:271|Inconsistent test function spacing|Add table cases to TestLooksLikeNonGoBraces (syntaxguard_test.go:274) for "": 1 (expect true), "café": 1 (expect true), and "a\"b": 1 (pin the chosen behavior after the regex decision). Verify via go test ./internal/verify/.|maintainability|15|code-review|agent|MEDIUM
LOW|internal/verify/syntaxguard_test.go:271|The Epic 7.5 tests exercise only plain ASCII keys; they never probe escaped-quote, empty, or unicode keys — the regex boundary cases where jsonKeyLineRe behavior is non-obvious. Empty-key ("": 1) and unicode keys ("café": 1) suppress correctly, but the single-escaped-quote case silently regresses (see syntaxguard.go:62 finding) and nothing in the suite would catch a regression at this boundary.|Add table cases to TestLooksLikeNonGoBraces (syntaxguard_test.go:274) for "": 1 (expect true), "café": 1 (expect true), and "a\"b": 1 (pin the chosen behavior after the regex decision). Verify via go test ./internal/verify/.|maintainability|15|code-review|claude|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:280|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:287|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:294|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:301|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:308|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
